run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,CsplineN,relu,8,-16,0,None,0.5483952111103133,0.2976805320231709,0.2184211401629831,0.0644485499986714,0.0239838913825154,0.0104135783345672,0.025026384891416,0.0108433355522989,0.0225382650264986,0.0064249565760862,128-128-128,512,1000,310,8690.510488428175
2,0,4,100000,corr,5,CsplineN,relu,8,-16,0,None,0.4565335161993945,0.330029446149631,0.200017685182682,0.0848994522357901,0.0273937068518996,0.0145002121743468,0.0294591229147897,0.0127540846030363,0.0239825267767113,0.0074183386919056,256-256-256,512,1000,345,11449.423982182052
3,0,4,100000,corr,5,CsplineN,relu,8,-16,0,None,0.2731198857901431,0.2568811666327783,0.1470061944292758,0.0969764771352226,0.0343806307393312,0.0131960732278485,0.0332811621117489,0.0174235370536664,0.0220289154560843,0.0060933959066173,512-512-512,512,1000,294,7245.8259145906195
4,0,4,100000,corr,5,CsplineN,relu,12,-16,0,None,0.3345138339010732,0.2802379637659998,0.1793390656216953,0.0944904654304984,0.0325947970831394,0.012739292496922,0.032326616916582,0.0145088713835837,0.0399030613661133,0.0138751717976724,128-128-128,512,1000,432,14123.680186445825
5,0,4,100000,corr,5,CsplineN,relu,12,-16,0,None,0.3703412406510139,0.295012040659954,0.1801164928886635,0.0870557703921279,0.0294970666736364,0.0113430771201442,0.0296532456845336,0.0135428974974449,0.0410276451394416,0.0125654534931658,256-256-256,512,1000,213,6390.129636884201
6,0,4,100000,corr,5,CsplineN,relu,12,-16,0,None,0.45701161801501,0.2744848554875936,0.2023953898582509,0.0693857351035335,0.0326650040084123,0.0135712280120419,0.0315276902372629,0.0168763490408888,0.0540282651007403,0.0141588657343432,512-512-512,512,1000,252,10458.967107159086
7,0,4,100000,corr,10,CsplineN,relu,8,-16,0,None,0.4442226578935813,0.2922279560274679,0.2033216448502369,0.0805172850559489,0.0240605012238025,0.007868775537477,0.0242419390667078,0.0099998107304697,0.0242307773689899,0.0116013764387685,128-128-128,512,1000,289,14023.30254831398
8,0,4,100000,corr,10,CsplineN,relu,8,-16,0,None,0.4473165458571607,0.2749270284378697,0.1943476362280136,0.0815955649505887,0.0270150133347511,0.0103710352918267,0.0269073036467094,0.0124553400275068,0.0329592767463937,0.0130701784489489,256-256-256,512,1000,217,13462.37095541507
9,0,4,100000,corr,10,CsplineN,relu,8,-16,0,None,0.4655380447873239,0.2848599738916951,0.1963622204961178,0.0784851692354093,0.032834171707034,0.0116226102533752,0.0317585817531199,0.0166894569980854,0.0426677461754163,0.0149554938993763,512-512-512,512,1000,221,16107.593597849833
10,0,4,100000,corr,10,CsplineN,relu,12,-16,0,None,0.3722236057064039,0.3194773399422599,0.1667691387890202,0.1075604109142088,0.0253820920225977,0.0095698794471599,0.0258662299112405,0.0100505660062384,0.0205927006160742,0.0099651869908133,128-128-128,512,1000,252,12248.27820474794
11,0,4,100000,corr,10,CsplineN,relu,12,-16,0,None,0.1939394483654866,0.2726623955802092,0.0879537526220967,0.1032669407661421,0.0350662189596891,0.0180939159345509,0.0371453866702054,0.0183405565496818,0.019589348775046,0.0117818533577752,256-256-256,512,1000,255,12782.269576573744
12,0,4,100000,corr,10,CsplineN,relu,12,-16,0,None,0.3546299403716691,0.3154581282716842,0.1607690257387145,0.0913218431553502,0.0254622390431165,0.0109366830171749,0.0272871635019256,0.0121270127828338,0.0407582356476837,0.0116596772375125,512-512-512,512,1000,309,16517.57444022596
13,0,8,100000,corr,5,CsplineN,relu,8,-16,0,None,0.1693381240002291,0.2204454279035149,0.0971944536011825,0.0976369852141306,0.0479066161657426,0.0230980689945555,0.0522944683167251,0.0218612001204809,0.0807591740843044,0.0213850340462503,128-128-128,512,1000,175,3888.337025907822
14,0,8,100000,corr,5,CsplineN,relu,8,-16,0,None,0.0440019852577626,0.0687025084880532,0.0297824656116846,0.053116643730845,0.063162531303046,0.0274925383373248,0.0651849298990486,0.0285660339718742,0.1083049888578887,0.0218786681038869,256-256-256,512,1000,161,3721.5212528486736
15,0,8,100000,corr,5,CsplineN,relu,8,-16,0,None,0.0434519723636735,0.0681675291076713,0.0265278864488135,0.0355035640766565,0.0462970033985457,0.0204480973121941,0.0458337430170862,0.021647084580208,0.1681541141614903,0.0342513183053399,512-512-512,512,1000,154,3520.844779617153
16,0,8,100000,corr,5,CsplineN,relu,12,-16,0,None,0.2126015428395457,0.2516910568694603,0.1235713539333228,0.1056428795651045,0.0378080536207097,0.0213002679212889,0.0396670735374665,0.0202578336481807,0.0798760296758359,0.0230025734552404,128-128-128,512,1000,198,5022.062891594134
17,0,8,100000,corr,5,CsplineN,relu,12,-16,0,None,0.1915070141705947,0.2864919239071513,0.0897082862940771,0.1019483200683595,0.0540626260747887,0.0364648115865664,0.0570979251970376,0.0304775500720134,0.1081609310814682,0.0139406479317227,256-256-256,512,1000,160,4175.440282620955
18,0,8,100000,corr,5,CsplineN,relu,12,-16,0,None,0.1000740097555032,0.1618798923677519,0.0540758675368796,0.0778894407884932,0.0505709934771982,0.0220384106323407,0.0539440535013795,0.0242423821738032,0.1907965141464997,0.0280083333572362,512-512-512,512,1000,126,3268.884138065856
19,0,8,100000,corr,10,CsplineN,relu,8,-16,0,None,0.100013240189046,0.1306713653457253,0.064941805004782,0.0778886325879659,0.0448151175862476,0.0203043417158051,0.046037574125515,0.0203561062939748,0.0873702975207676,0.0214256263516359,128-128-128,512,1000,182,8568.089568727184
20,0,8,100000,corr,10,CsplineN,relu,8,-16,0,None,0.0564127915543328,0.0889160293213497,0.0538413797544558,0.0647353494816839,0.0674878995883337,0.0407159739794601,0.0706231809836266,0.0405853254232265,0.1247024000725571,0.0162665874348447,256-256-256,512,1000,148,8209.481474929024
21,0,8,100000,corr,10,CsplineN,relu,8,-16,0,None,0.0248664623638986,0.0613739251541339,0.0235932882018155,0.0581778220356264,0.0734962163949152,0.0347975776698584,0.0758895460309257,0.0368838150762743,0.1451726535336168,0.0238740379456417,512-512-512,512,1000,139,8608.74258287577
22,0,8,100000,corr,10,CsplineN,relu,12,-16,0,None,0.1570456132922085,0.2234066486580605,0.0959328953779693,0.1113750443880571,0.0649849825157333,0.0449892552733624,0.068826609445614,0.0397591684824148,0.0956502425335842,0.0318052381792411,128-128-128,512,1000,124,8104.16482716985
23,0,8,100000,corr,10,CsplineN,relu,12,-16,0,None,0.0356795862105401,0.0884827204108823,0.0459950705890779,0.0860907554022406,0.0845878370845572,0.0461163517121679,0.0918664836392214,0.0482602011776478,0.2764715207755579,0.0186602478831493,256-256-256,512,1000,139,10108.363442455884
24,0,8,100000,corr,10,CsplineN,relu,12,-16,0,None,0.0637009546374588,0.1192251418515482,0.0416199800346761,0.0710604941797959,0.0546445775735746,0.0253584947359469,0.0543256638233465,0.0245063843253589,0.1035066594222478,0.0198487368687276,512-512-512,512,1000,129,7423.457988178823
25,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,0.0661976686318696,0.1634481291582719,0.0324188765801433,0.0729570783305893,0.0400740081698293,0.0230968808435491,0.0410884680980832,0.0230420998107917,0.3615388648331862,0.0490783781803943,128-128-128,512,1000,148,2937.68474297598
26,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,0.1127187108942482,0.2012222887603071,0.058274349786199,0.0873755661986861,0.0414768039406926,0.0224476029012657,0.0467946536534068,0.0211342866644166,0.9354713622584144,0.1783067567047475,256-256-256,512,1000,114,2150.791004823055
27,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,0.0564763004033547,0.1230515421854862,0.0385557935393056,0.0720370283013372,0.0419970758018711,0.0227973450892494,0.0415441332846731,0.0189628251059556,0.7956630171599535,0.1749232288945885,512-512-512,512,1000,100,1976.075011912733
28,0,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.0499342955828883,0.1439791680855608,0.0240558159138803,0.0641063344376719,0.0452769486367029,0.0263653372560593,0.0485045271151336,0.0225276599642631,0.5791991277435674,0.0760182777601961,128-128-128,512,1000,116,2540.833720492199
29,0,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.0824058391476046,0.1520514878002167,0.0563797983828724,0.0821432103531945,0.0397812710076382,0.0242960221398974,0.0437786083106512,0.0234333968453243,0.4149275177709999,0.0855856888845587,256-256-256,512,1000,94,2109.73848254513
30,0,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.0516669794985187,0.125520316628954,0.0226585144334656,0.0544089005437741,0.0509635982172082,0.0279379548989324,0.0528241485846217,0.0273608314107312,0.4245942707583762,0.0950056594972621,512-512-512,512,1000,89,2672.728132288903
31,0,16,100000,corr,10,CsplineN,relu,8,-16,0,None,0.001100997054497,0.0065580873427863,0.0022294139465654,0.0043064897924298,0.0994605288809787,0.077638763877197,0.1088290145609208,0.0675692632975228,0.4935204354008158,0.1428740025317635,128-128-128,512,1000,160,7539.945714349858
32,0,16,100000,corr,10,CsplineN,relu,8,-16,0,None,0.0511758630892,0.1598404003233214,0.0240938398407221,0.0645640171572595,0.0480272848269456,0.0228724838482757,0.0461127091966275,0.021522058636742,0.8055921248663163,0.1678399577805858,256-256-256,512,1000,95,4667.878027976491
33,0,16,100000,corr,10,CsplineN,relu,8,-16,0,None,0.0484506270149639,0.1090324342907595,0.0291927647545244,0.0678264962570757,0.0474437119687078,0.0313831492454382,0.0496893167245367,0.0261919900797607,0.3559710954344132,0.0920280748509247,512-512-512,512,1000,96,4436.812670927495
34,0,16,100000,corr,10,CsplineN,relu,12,-16,0,None,0.0287232983938691,0.0803171621887486,0.0170163523667087,0.0423846828508949,0.0557751811535653,0.0245523837980247,0.0555040854459403,0.0250367455715081,0.9387916038383934,0.1753679404006337,128-128-128,512,1000,115,5793.912948425859
35,0,16,100000,corr,10,CsplineN,relu,12,-16,0,None,0.0374028445892626,0.1232612857206097,0.0203112749740297,0.056382678762188,0.0558663482349423,0.0259805304126466,0.0525894452696159,0.0234680066800292,0.8966617656705804,0.1738973453024862,256-256-256,512,1000,77,4014.398757695221
