run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,batch_size,activation,eps_regulariser,regulariser,dist_seed,test_seed
1,0.0,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
1,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
1,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
1,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
2,187.0,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
2,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
2,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
2,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
2,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
2,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
3,377.0,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
3,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
4,440.0,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
4,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
4,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,520.0,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
5,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
6,541.0,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
6,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
6,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
6,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
6,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
6,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
6,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
