run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.056629586456383454,0.10159163240948367,0.02503319741834571,0.046900905006135314,0.042235541429826565,0.020859482843632666,0.042969197021150506,0.018962223046746714,0.5920768958639584,0.13190579859658272,256-256-256,512,1000,90,3171.107069566031
2,187,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.01535685169389378,0.045147016162925845,0.015137892761241509,0.04147113198445926,0.06668130890944197,0.03597292298647281,0.06489907451716938,0.03471771967974225,0.9013665918067316,0.13876680990219425,256-256-256,512,1000,92,3074.0209880679613
3,377,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.066618811648781,0.18414637514447305,0.03105401391535268,0.07377626769802478,0.043220115783833515,0.01705107493057457,0.043550272625633095,0.018873157828808683,0.5334541245664681,0.1236560568041761,256-256-256,512,1000,98,3314.927285919024
4,440,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.043729158451993634,0.11920496079663545,0.023520352821781543,0.052637086756574594,0.06330043937357666,0.05195369665384516,0.06601030400116815,0.042678416748235116,0.36284653460069116,0.03443048926623252,256-256-256,512,1000,106,3561.7882734769955
5,520,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.013866015231512183,0.04596633447334033,0.013955535478892053,0.04162347610763145,0.0574030222942636,0.03321741396146926,0.06018846514940684,0.030411932686639494,0.5953454136022105,0.1321426587396889,256-256-256,512,1000,93,3082.6371422229568
6,541,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.07742955115772672,0.17805946364068703,0.035477382082670886,0.07291022380353351,0.048248992707006874,0.024366228133080783,0.050313629009786295,0.02373918863494523,0.9895301074559292,0.15113867843414416,256-256-256,512,1000,87,2847.422209787008
7,721,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.0742980074961888,0.1866546458572692,0.041826729541264415,0.08680706707252765,0.06054251537992429,0.0310018025609898,0.060217461038904165,0.031643750911034135,0.7379131403136311,0.14174222727381114,256-256-256,512,1000,88,3010.760602051043
8,869,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.080972541796361,0.1723913718531717,0.03950575918904412,0.07491168808933284,0.05559798975587382,0.03696832264618589,0.0570719029939376,0.030708560547652287,0.7990659941612093,0.1430978657810517,256-256-256,512,1000,100,3441.269591888995
9,926,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.15318666730440295,0.2549874513265914,0.07473605057257794,0.10015191235371268,0.043017753508614184,0.03378901309365826,0.04844118882642563,0.023530328481258554,0.8757447784507469,0.15358334189978382,256-256-256,512,1000,93,3247.6282596330275
10,933,16,100000,corr,5,CsplineN,relu,12,-16,0,None,0.0038682669041484605,0.020835415563832137,0.004256651882023078,0.011632868633898341,0.10131988158290942,0.06838499001324014,0.10775285595385009,0.06310945080212153,1.0537100213122161,0.15201271191057297,256-256-256,512,1000,82,2861.86522412498
