run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,sliced_Wasserstein_mean,sliced_Wasserstein_std,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.2933032466672449,0.3150442757131267,0.1551784903749562,0.1469507456651072,0.0523027558255195,0.0523027558255195,0.0747679452772245,0.0398679213439637,0.2168403386159449,128-128-128,512,1000,147,3527.408487412147
2,187,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.3652164152189965,0.3735669052516751,0.190593243062806,0.1811269124286341,0.0424401613323867,0.0424401613323867,0.064407546432577,0.0341085030561493,0.6119224302880649,128-128-128,512,1000,144,2881.114315212704
3,377,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.3366065645627817,0.3510689450717338,0.1786575177960909,0.1609722438851952,0.0409931466836226,0.0409931466836226,0.0426355430690169,0.0210438611299088,0.2616662153267309,128-128-128,512,1000,126,2768.125615885947
4,440,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.3460749791142813,0.3891038617604788,0.189922377293392,0.167377962365308,0.0323569529550032,0.0323569529550032,0.0375496761000414,0.0161951495005156,0.4328135982598362,128-128-128,512,1000,135,2709.034201514907
5,520,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.3738509582912956,0.3808397080729466,0.1911743728117312,0.1740044548685282,0.0462080086771142,0.0462080086771142,0.0685314059802199,0.031895928788267,0.808471371392208,128-128-128,512,1000,125,2778.595011765603
6,541,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.2540278921200005,0.2488947807167847,0.1339812115990069,0.1309522190240479,0.0671285704612732,0.0671285704612732,0.0851249290541608,0.048676870362608,0.3330419193693104,128-128-128,512,1000,121,2148.937767927069
7,721,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.432519340853659,0.4512677768585409,0.2039300234364711,0.1974006395056198,0.0220158960241079,0.0220158960241079,0.0262074041860092,0.0096375842397459,0.2377571268644528,128-128-128,512,1000,147,2947.180724204984
8,869,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.3595978592988086,0.3807316555927658,0.189652846290136,0.1691416759639221,0.0221099788311612,0.0221099788311612,0.0463452586313504,0.023632429160844,0.3155607646786341,128-128-128,512,1000,122,2840.0427690092474
9,926,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.4199132435070977,0.4389215972257953,0.2073123967713961,0.189850724563804,0.0352120522805547,0.0352120522805547,0.0383541717180773,0.0147561727539797,0.5771741325455874,128-128-128,512,1000,139,3159.6445803074166
10,933,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.4663537213798575,0.466116733532691,0.2084699553345315,0.2070212329415962,0.0215711915707588,0.0215711915707588,0.0254238384844136,0.0108747555617577,0.4479981477284304,128-128-128,512,1000,150,2953.129484090954
