run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.28372219079065264,0.3009214682242531,0.13497592439216405,0.10745954854073292,0.02870474433824708,0.01431269336972612,0.028896308652191192,0.012645137279756342,0.39623539156185533,0.050045187036368385,128-128-128,512,1000,203,5685.036603246001
2,187,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.2360857532441262,0.2674427199209941,0.11693341311659027,0.10051887226409027,0.03476710947711657,0.01642718056186698,0.03383851540269888,0.01603561426048516,0.49916906620406687,0.09203810770657678,128-128-128,512,1000,207,5678.969649381994
3,377,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.23429572532364845,0.26127650679760955,0.12742702615204685,0.10316860818092835,0.036225360574365276,0.018606605968841117,0.036250912182817716,0.019216283455611775,0.4572209576271611,0.07032384481420426,128-128-128,512,1000,247,6646.748590188043
4,440,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.06091717058001642,0.13575049213479987,0.031411091660375555,0.06667944644109806,0.055049714417850185,0.027703251145070527,0.0521708572736743,0.02483883266227611,0.7205906080830574,0.07857058321209327,128-128-128,512,1000,146,3715.7916131200036
5,520,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.08390236615238508,0.16997250552612386,0.04749074417894023,0.07928749315491285,0.05537399229114748,0.02861338399531697,0.05760273567176722,0.02928294780499913,0.9161803852578416,0.04504622205130692,128-128-128,512,1000,147,3626.600494258979
6,541,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.045114277879963076,0.12917746399548585,0.024689512604598604,0.058398984601928924,0.05104354063311254,0.023840618324160557,0.04999404259253651,0.02362426302499218,0.6484199338684569,0.05224039318574185,128-128-128,512,1000,150,3668.082125201996
7,721,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.057201765935472396,0.12408773717758122,0.03140906439282948,0.059076600329578774,0.060243778260023376,0.02870337158371129,0.05924586564685052,0.028942480465423442,1.019364572828852,0.07466901092588765,128-128-128,512,1000,170,4040.7458657930256
8,869,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.09935333190851584,0.1893406465583101,0.05387677167235523,0.08648695350738615,0.04740955028422246,0.02773222139650967,0.049271949075914465,0.022773990909231965,0.7275624835361414,0.048128960508027875,128-128-128,512,1000,148,3485.683505393972
9,926,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.007622356641483299,0.02897675360942301,0.007323375677093983,0.021078895924962,0.11050118680628995,0.05415239153218549,0.10791779516212807,0.058462883978374944,1.1465568123830432,0.1041805277461543,128-128-128,512,1000,147,3474.753771140997
10,933,32,100000,corr,5,CsplineN,relu,8,-16,0,,0.05071958027202801,0.1290330162409085,0.030177434196367658,0.06636001751783714,0.07733938860551708,0.04086754240826324,0.07965949866119035,0.03718394667124822,0.9037393848781676,0.06094408093148488,128-128-128,512,1000,157,3676.4434169490123
