run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,1,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.37137198922711,0.3025190683782167,0.1814192368551944,0.1006424889104444,0.0251270811867273,0.0090720100445684,0.0260593591743216,0.0101707130518968,0.0290763000765085,0.013424561135814,128-128-128,512,2,289,311.29817976000777
2,187,188,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3279695621282347,0.2836313506874474,0.1794015495587099,0.097346402268802,0.0325151836340753,0.0123485682636198,0.0329600546651699,0.0125158465308047,0.0312681365544328,0.009281261528152,128-128-128,512,2,359,340.9275509230065
3,377,378,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.1451048346430492,0.1343543182258043,0.1249899289261114,0.0971603270481213,0.0315109570218923,0.0137487384480007,0.0317888114103453,0.0139112002536447,0.0231067460318056,0.008249314277217,128-128-128,512,2,340,346.71443586499663
4,440,441,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.1631748190024078,0.1663290037568978,0.1373923794362936,0.0990749757456382,0.0308135200289339,0.012042186341848,0.0308764566505101,0.0128369926928561,0.028382746797279,0.0090433792712081,128-128-128,512,2,267,340.0037507410016
5,520,521,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3228564547807775,0.2865571914052455,0.169789816650255,0.0955938243918417,0.0300651920057692,0.0135999457372015,0.0289158164024776,0.0146213502131882,0.0273328301574403,0.0165603577607595,128-128-128,512,2,278,333.0292418490135
6,541,542,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3462783441874297,0.2935035179462766,0.202283910033526,0.0692528839096598,0.0250062878387377,0.0081311184622332,0.0263194133973981,0.0096387564299331,0.0355091801503027,0.0109380557592873,128-128-128,512,2,313,314.8577882160025
7,721,722,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.2758741071102396,0.2349507625342839,0.1726787796143903,0.0910658904688416,0.0345123454209869,0.0147922061709154,0.0328415681347481,0.0173472474653125,0.0246597689436087,0.0176605448820633,128-128-128,512,2,466,331.44922430600855
8,869,870,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3193195415060969,0.2810219252686309,0.1526686807469086,0.097408384124732,0.0298254653272053,0.0097618632992507,0.0305704876110627,0.0134534951875863,0.0274025649360244,0.01052384895174,128-128-128,512,2,411,301.78173040100955
9,926,927,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3609840875947813,0.3156859721944124,0.141377731046409,0.112010261950994,0.0239819018742993,0.0129987807984036,0.0263678355508466,0.0109889973396631,0.0300247307875186,0.0057033830036531,128-128-128,512,2,215,274.0990218000079
10,933,934,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3110521146618609,0.2723677289912523,0.1578253043127081,0.10360259013339,0.0314107539219758,0.0127547814350526,0.0295744196014619,0.0160588882197824,0.0366651113343822,0.0169622297369183,128-128-128,512,2,379,272.1300089540018
