run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,1,64,100000,,5,CsplineN,relu,12,-16,0,,0.05172809806222576,0.1256377428329167,0.03128266167414136,0.0670891581801357,0.06428728504743475,0.030517636978074185,0.06109292327724833,0.030574772886648147,1.034978103127453,0.07257595923993469,"128-128-128",512,2,241,153.04219709616154
2,187,188,64,100000,,5,CsplineN,relu,12,-16,0,,0.07865989402875695,0.16044953042898805,0.059216641154907726,0.08157193305910092,0.07122862966860734,0.040374733417748214,0.07057415781371561,0.04414734528065403,1.0744795193092256,0.18746642202924554,"128-128-128",512,2,392,165.05907728802413
3,377,378,64,100000,,5,CsplineN,relu,12,-16,0,,6.244232617400445e-06,9.678554651968684e-05,0.0010000000000000002,2.168404344971009e-19,0.27859630788026274,0.15488791576516422,0.2887866369246074,0.12507381290001748,6.994635948765241,0.049960705622103675,"128-128-128",512,2,29,169.73632409144193
4,440,441,64,100000,,5,CsplineN,relu,12,-16,0,,0.3036923737334185,0.271046281415334,0.1530199893894811,0.10093771565799786,0.0364595997052634,0.018219493252805193,0.03612561228630613,0.01859129690243931,0.623697379233402,0.04436604165400656,"128-128-128",512,2,348,140.8269823268056
5,520,521,64,100000,,5,CsplineN,relu,12,-16,0,,0.10907341270280405,0.17171480740885098,0.07325869675023752,0.09312759612528643,0.06568382097482403,0.03488816288110477,0.06249525717750394,0.03918474950005863,1.4311251438301689,0.10383007020824674,"128-128-128",512,2,344,130.1291618635878
6,541,542,64,100000,,5,CsplineN,relu,12,-16,0,,0.1807989661651897,0.21342307962533205,0.1151691634756995,0.10342572579572358,0.04832713283180038,0.03051348250792141,0.0497213779124332,0.02686679253262438,0.8334618259699198,0.11690975417455887,"128-128-128",512,2,280,129.6605107234791
7,721,722,64,100000,,5,CsplineN,relu,12,-16,0,,0.17689989586506227,0.20093260151059342,0.11686366439175264,0.10203160040779036,0.05183080916182403,0.03302756195540015,0.052686020691622135,0.028275796170038205,0.799019569976519,0.09074653318649514,"128-128-128",512,2,451,150.65289817750454
8,869,870,64,100000,,5,CsplineN,relu,12,-16,0,,0.08602528557939207,0.1672795471448027,0.0630244274619148,0.08595039475514754,0.07420868268265883,0.04034789043316907,0.0721416131450818,0.04512709105865781,0.9145666886201775,0.12969636382436292,"128-128-128",512,2,300,148.1831435430795
9,926,927,64,100000,,5,CsplineN,relu,12,-16,0,,0.2803858926901726,0.26563368110162877,0.14511958546291898,0.10245179325307044,0.036268505864611125,0.018442553624978267,0.03689657589495461,0.018188001801773934,1.0277400840463586,0.05359605140387363,"128-128-128",512,2,262,152.20795031636953
10,933,934,64,100000,,5,CsplineN,relu,12,-16,0,,0.2716284585810621,0.29167290816762464,0.12835036866669014,0.10804936625150013,0.040946281927598825,0.025621311461289296,0.039210339881292224,0.024879214153949156,0.5626377237059651,0.16646685880684814,"128-128-128",512,2,452,153.68047131039202
