run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
1,0,1,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3268535329474542,0.2896400106357034,0.16055893266942656,0.10024477535569487,0.02489124342367511,0.007296252686713061,0.024099677777342003,0.009550307598637855,0.031618351401760836,0.015138897755925987,128-128-128,512,1000,383,10003.734036966984,5.313802176009631,10075.784547799005,NVIDIA A40
2,0,1,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.533695696085885,0.24015033088935667,0.2362812263571195,0.03592645972262824,0.023698435684344467,0.008127948858749385,0.023772831951245445,0.010023048707637452,0.023064695582699513,0.010077112193846991,256-256-256,512,1000,274,7357.034867837996,5.659388353989925,7435.7726869820035,NVIDIA A40
3,0,1,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.4480090954911923,0.27035318562997596,0.19230840436669433,0.08563991695628126,0.028056453465992077,0.01004698562692517,0.029146759656886897,0.011539905291184946,0.02571272633279754,0.009754663961177716,128-128-128,512,1000,269,8285.335718376009,5.74020910798572,8366.240564613981,NVIDIA A40
4,0,1,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.4854227818615174,0.2862994581114499,0.20971618740797612,0.06770843743727367,0.02745910064558089,0.009623533457857037,0.028637997605081313,0.011136828127384252,0.0375895486564049,0.012635437324131908,256-256-256,512,1000,261,8076.191405193007,5.975310820009327,8156.983975954994,NVIDIA A40
5,0,1,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.150293521460353,0.17862971696173544,0.11428647889471091,0.08375958063881174,0.041934504145697465,0.013764427306506575,0.04007464375523746,0.019034311993330118,0.026457442962392337,0.009058636653568368,128-128-128,512,1000,235,12621.627113191993,5.919734619994415,12827.578939489991,NVIDIA A40
6,0,1,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.3638750423628494,0.314481051271841,0.1857417819180435,0.08879727759540372,0.029518208532482236,0.008290043066266335,0.02958849915040379,0.011183755308305525,0.022018139723659798,0.00951958043052803,256-256-256,512,1000,292,15675.35426939401,5.8381118629768025,15871.61209580701,NVIDIA A40
7,0,1,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.2084253865045219,0.24145330464169457,0.10646169800945379,0.09932558167725107,0.04178992383623455,0.014111111480274607,0.04140047507001964,0.019091215118456455,0.02738808137691019,0.009982464131956982,128-128-128,512,1000,288,18243.576483251993,4.916123690985842,18475.807815770007,NVIDIA A40
8,0,1,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.37663108110146803,0.22137399747565614,0.20832967696266386,0.0619069592767137,0.03169605065140588,0.010198983151868714,0.02987250994907901,0.013878262888425802,0.023313466441609018,0.010193293628902754,256-256-256,512,1000,298,17650.07317567701,4.76261135895038,17878.010428469017,NVIDIA A40
9,187,188,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.31725078511705307,0.2510604111819133,0.19667267048993836,0.0708147705362236,0.027895768276427903,0.008913876227466139,0.026629407026745894,0.009415097599159653,0.03631672213064686,0.016804229920741407,128-128-128,512,1000,401,10456.390382412006,4.812834177981131,10521.291066319973,NVIDIA A40
10,187,188,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.4796885308859447,0.2967983827635922,0.19951918516016387,0.08343739909846114,0.023047693181096045,0.005170214458770882,0.02312101169332853,0.006852472191963014,0.04028476398826021,0.012624305827924643,256-256-256,512,1000,260,6734.710083691985,4.833897650009021,6799.6630665130215,NVIDIA A40
11,187,188,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.4653053869782706,0.2976255936821591,0.21836337850241244,0.05840250710914311,0.022841998675102067,0.007600046607230473,0.022413091819858625,0.007718799758593053,0.022395439824870543,0.008477333903170984,128-128-128,512,1000,311,9561.958808546013,4.795013889030088,9644.776994023006,NVIDIA A40
12,187,188,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.3608963161382158,0.27056851537381466,0.17576786160833496,0.09056903747634873,0.03563494903625636,0.010961525976598848,0.03447895472705243,0.01640467165797685,0.023184521394568364,0.008658494987056219,256-256-256,512,1000,221,6757.68001035403,6.000377235992346,6847.276476983039,NVIDIA A40
13,187,188,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.21820160240344796,0.23310340256236675,0.13632027619897266,0.10432261006702993,0.024683347566819093,0.008861581779849888,0.02556040858213998,0.008835394823927027,0.031169411102796037,0.011057204120575821,128-128-128,512,1000,290,15056.325317158015,4.926820842025336,15257.463099313027,NVIDIA A40
