run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
1,0,1,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3268535329474542,0.2896400106357034,0.1605589326694265,0.1002447753556948,0.0248912434236751,0.007296252686713,0.024099677777342,0.0095503075986378,0.0316183514017608,0.0151388977559259,128-128-128,512,1000,383,10003.734036966984,5.313802176009631,10075.784547799003,NVIDIA A40
2,0,1,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.533695696085885,0.2401503308893566,0.2362812263571195,0.0359264597226282,0.0236984356843444,0.0081279488587493,0.0237728319512454,0.0100230487076374,0.0230646955826995,0.0100771121938469,256-256-256,512,1000,274,7357.034867837996,5.659388353989925,7435.7726869820035,NVIDIA A40
3,0,1,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.4480090954911923,0.2703531856299759,0.1923084043666943,0.0856399169562812,0.028056453465992,0.0100469856269251,0.0291467596568868,0.0115399052911849,0.0257127263327975,0.0097546639611777,128-128-128,512,1000,269,8285.335718376009,5.74020910798572,8366.240564613981,NVIDIA A40
4,0,1,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.4854227818615174,0.2862994581114499,0.2097161874079761,0.0677084374372736,0.0274591006455808,0.009623533457857,0.0286379976050813,0.0111368281273842,0.0375895486564049,0.0126354373241319,256-256-256,512,1000,261,8076.191405193007,5.975310820009327,8156.983975954994,NVIDIA A40
5,0,1,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.150293521460353,0.1786297169617354,0.1142864788947109,0.0837595806388117,0.0419345041456974,0.0137644273065065,0.0400746437552374,0.0190343119933301,0.0264574429623923,0.0090586366535683,128-128-128,512,1000,235,12621.627113191991,5.919734619994415,12827.578939489991,NVIDIA A40
6,0,1,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.3638750423628494,0.314481051271841,0.1857417819180435,0.0887972775954037,0.0295182085324822,0.0082900430662663,0.0295884991504037,0.0111837553083055,0.0220181397236597,0.009519580430528,256-256-256,512,1000,292,15675.35426939401,5.8381118629768025,15871.61209580701,NVIDIA A40
7,0,1,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.2084253865045219,0.2414533046416945,0.1064616980094537,0.099325581677251,0.0417899238362345,0.0141111114802746,0.0414004750700196,0.0190912151184564,0.0273880813769101,0.0099824641319569,128-128-128,512,1000,288,18243.576483251996,4.916123690985842,18475.807815770007,NVIDIA A40
8,0,1,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.376631081101468,0.2213739974756561,0.2083296769626638,0.0619069592767137,0.0316960506514058,0.0101989831518687,0.029872509949079,0.0138782628884258,0.023313466441609,0.0101932936289027,256-256-256,512,1000,298,17650.07317567701,4.76261135895038,17878.010428469017,NVIDIA A40
9,187,188,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.317250785117053,0.2510604111819133,0.1966726704899383,0.0708147705362236,0.0278957682764279,0.0089138762274661,0.0266294070267458,0.0094150975991596,0.0363167221306468,0.0168042299207414,128-128-128,512,1000,401,10456.390382412006,4.812834177981131,10521.291066319973,NVIDIA A40
10,187,188,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.4796885308859447,0.2967983827635922,0.1995191851601638,0.0834373990984611,0.023047693181096,0.0051702144587708,0.0231210116933285,0.006852472191963,0.0402847639882602,0.0126243058279246,256-256-256,512,1000,260,6734.710083691985,4.833897650009021,6799.6630665130215,NVIDIA A40
11,187,188,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.4653053869782706,0.2976255936821591,0.2183633785024124,0.0584025071091431,0.022841998675102,0.0076000466072304,0.0224130918198586,0.007718799758593,0.0223954398248705,0.0084773339031709,128-128-128,512,1000,311,9561.958808546013,4.795013889030088,9644.776994023006,NVIDIA A40
12,187,188,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.3608963161382158,0.2705685153738146,0.1757678616083349,0.0905690374763487,0.0356349490362563,0.0109615259765988,0.0344789547270524,0.0164046716579768,0.0231845213945683,0.0086584949870562,256-256-256,512,1000,221,6757.68001035403,6.000377235992346,6847.276476983039,NVIDIA A40
