run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,batch_size,activation,eps_regulariser,regulariser,dist_seed,test_seed,training_device
176,187,188,16,100000,,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,188,NVIDIA A40
177,377,378,16,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,378,NVIDIA A40
178,377,378,16,100000,,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,378,NVIDIA A40
179,377,378,16,100000,,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,378,NVIDIA A40
180,377,378,16,100000,,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,378,NVIDIA A40
181,377,378,16,100000,,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,378,NVIDIA A40
182,377,378,16,100000,,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,378,NVIDIA A40
183,377,378,16,100000,,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,378,NVIDIA A40
184,377,378,16,100000,,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,378,NVIDIA A40
185,440,441,16,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,441,NVIDIA A40
186,440,441,16,100000,,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,441,NVIDIA A40
187,440,441,16,100000,,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,441,NVIDIA A40
188,440,441,16,100000,,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,441,NVIDIA A40
189,440,441,16,100000,,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,441,NVIDIA A40
190,440,441,16,100000,,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,441,NVIDIA A40
191,440,441,16,100000,,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,441,NVIDIA A40
192,440,441,16,100000,,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,441,NVIDIA A40
193,520,521,16,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,521,NVIDIA A40
194,520,521,16,100000,,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,521,NVIDIA A40
195,520,521,16,100000,,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,521,NVIDIA A40
196,520,521,16,100000,,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,521,NVIDIA A40
197,520,521,16,100000,,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,521,NVIDIA A40
198,520,521,16,100000,,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,521,NVIDIA A40
199,520,521,16,100000,,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,521,NVIDIA A40
200,520,521,16,100000,,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,521,NVIDIA A40
201,541,542,16,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,542,NVIDIA A40
202,541,542,16,100000,,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,542,NVIDIA A40
203,541,542,16,100000,,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,542,NVIDIA A40
204,541,542,16,100000,,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,542,NVIDIA A40
205,541,542,16,100000,,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,542,NVIDIA A40
206,541,542,16,100000,,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,542,NVIDIA A40
207,541,542,16,100000,,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,542,NVIDIA A40
208,541,542,16,100000,,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,542,NVIDIA A40
209,721,722,16,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,722,NVIDIA A40
210,721,722,16,100000,,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,722,NVIDIA A40
211,721,722,16,100000,,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,722,NVIDIA A40
212,721,722,16,100000,,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,722,NVIDIA A40
213,721,722,16,100000,,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,722,NVIDIA A40
214,721,722,16,100000,,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,722,NVIDIA A40
215,721,722,16,100000,,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,722,NVIDIA A40
216,721,722,16,100000,,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,722,NVIDIA A40
217,869,870,16,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,870,NVIDIA A40
218,869,870,16,100000,,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,870,NVIDIA A40
219,869,870,16,100000,,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,870,NVIDIA A40
220,869,870,16,100000,,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,870,NVIDIA A40
221,869,870,16,100000,,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,870,NVIDIA A40
222,869,870,16,100000,,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,870,NVIDIA A40
223,869,870,16,100000,,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,870,NVIDIA A40
224,869,870,16,100000,,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,870,NVIDIA A40
