run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
245,0,1,0,0,32,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,826720,0,512,relu,,0.0,NVIDIA A40,1000
245,0,1,0,0,32,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,826720,0,512,relu,,0.0,NVIDIA A40,1000
245,0,1,0,0,32,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,826720,0,512,relu,,0.0,NVIDIA A40,1000
339,377,378,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
339,377,378,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
345,440,441,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
347,440,441,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
347,440,441,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
353,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
354,520,521,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,256-256-256,1645920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
365,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
366,541,542,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
368,541,542,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,4278720,0,512,relu,,0.0,NVIDIA A40,1000
