run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.45343962624661427,0.45888428076669024,0.2079302531976165,0.20845092328300283,0.0224661407058391,0.0224661407058391,0.03054247263767097,128-128-128,512,1000,323,745.2409844081849
2,0,4,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.47657152130151825,0.4867237309021442,0.22153343429744055,0.22013698735970738,0.02391471566467148,0.02391471566467148,0.025185419400659288,256-256-256,512,1000,361,833.3986034211703
3,0,4,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.502905314158856,0.5232467376249392,0.21188962447987914,0.21032362426200188,0.02937467828412603,0.02937467828412603,0.014161431930397445,128-128-128,512,1000,288,1834.018883374054
4,0,4,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.424711716311007,0.4418607140764923,0.19287249888270575,0.19072176626590628,0.03851453750061551,0.03851453750061551,0.039395817460438444,256-256-256,512,1000,202,901.4232357088476
5,0,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.5009655768482437,0.5011139290955857,0.22133423805613173,0.21776183413699546,0.019246249447584664,0.019246249447584664,0.0468886590616514,128-128-128,512,1000,327,752.5823480649851
6,0,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.39101331926947797,0.37535730509246096,0.18931209191708837,0.1969150639311502,0.044104769083881064,0.044104769083881064,0.04752154576467365,256-256-256,512,1000,191,532.0120826298371
7,0,8,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.49334716505775544,0.49570795517841937,0.21523294868355847,0.21414228692133366,0.02201227425445796,0.02201227425445796,0.05182316707780829,128-128-128,512,1000,296,1794.2984203281812
8,0,8,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.4259575786196511,0.42630282267111824,0.20059132640995603,0.19696310148208487,0.03725666342071739,0.03725666342071739,0.06810863424939086,256-256-256,512,1000,155,808.5281691718847
9,0,16,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.43466147830444074,0.45763475902641937,0.20484188941932685,0.19543712018487766,0.038592438167777195,0.038592438167777195,0.6533790335435259,128-128-128,512,1000,216,571.4447497301735
10,0,16,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.47268183854200807,0.4756201578424576,0.20689489977585307,0.20796902857633845,0.027468553416918784,0.027468553416918784,0.5807255361223028,256-256-256,512,1000,326,914.7369282832369
11,0,16,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.4048519042440451,0.4526531280120665,0.20086779215165404,0.18371077731438235,0.023356741730687365,0.023356741730687365,0.24911506172504747,128-128-128,512,1000,153,1203.6609686729498
