run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.2112241358563778,0.2539179980226731,0.123831175391865,0.0993213864998544,0.030263581353724,0.0118798277270383,0.0293939265712778,0.0127139100040996,0.0439736446046183,0.0131594405634779,128-128-128,512,1000,323,745.2409844081849
2,0,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.3192400527738676,0.2356549894831738,0.1969692961550797,0.0767905965724367,0.0276479717636108,0.0111481984559099,0.0273066695117014,0.0113575388188527,0.0349742598100734,0.0140840358855009,256-256-256,512,1000,361,833.3986034211703
3,0,4,100000,corr,10,MAFN,relu,8,-5,0,None,0.3891987798024289,0.3244461410371994,0.160469341616276,0.1002334911443935,0.0333487074881792,0.0116827741622332,0.0329415383452678,0.0153159601254998,0.0257573311409621,0.0071263662406514,128-128-128,512,1000,288,1834.018883374054
4,0,4,100000,corr,10,MAFN,relu,8,-5,0,None,0.1045130489877898,0.1104961522241741,0.0557304969268046,0.0609203564920869,0.0422077061840891,0.0126529342543759,0.0404387097017414,0.0180650144139471,0.0545666674025656,0.0142977030115935,256-256-256,512,1000,202,901.4232357088476
5,0,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.4301833658340929,0.2738508982303116,0.2017374564094012,0.0741415616500452,0.0380889430053959,0.0232407979760738,0.0412121988947654,0.0223236987587075,0.078752399383905,0.0202085682739265,128-128-128,512,1000,327,752.5823480649851
6,0,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.144349944330302,0.2298282319503749,0.0761717948957377,0.1022693783486257,0.0515956209319863,0.023581005564406,0.0539891265339556,0.0244436204727217,0.084827172633791,0.0239094525578146,256-256-256,512,1000,191,532.0120826298371
7,0,8,100000,corr,10,MAFN,relu,8,-5,0,None,0.2760083810281763,0.2646425212148161,0.1490061684092502,0.101630062567507,0.0343910363897652,0.0181390375060728,0.0357636086749906,0.0176567142008494,0.0820781144495914,0.0243075403373123,128-128-128,512,1000,296,1794.2984203281812
8,0,8,100000,corr,10,MAFN,relu,8,-5,0,None,0.1317704712707213,0.1865964084538784,0.0830415978614805,0.0940518780874289,0.0460420240881394,0.026534855230435,0.0480140323514104,0.0235319639446328,0.1063928228156401,0.0343389930284387,256-256-256,512,1000,155,808.5281691718847
9,0,16,100000,corr,5,MAFN,relu,8,-5,0,None,0.2266355888726487,0.2652260811762301,0.1168241802883147,0.1071026082728989,0.036716066866219,0.0244489676310899,0.0389434841747733,0.0218672372503847,0.8762267878317822,0.1823148238578817,128-128-128,512,1000,216,571.4447497301735
10,0,16,100000,corr,5,MAFN,relu,8,-5,0,None,0.3220956526645096,0.2901659660307873,0.1446240310452116,0.0988372631158702,0.0291157261281452,0.0188470938217497,0.0300648429635081,0.0176410708266236,0.7741976237088342,0.1807878431070256,256-256-256,512,1000,326,914.7369282832368
11,0,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.1567143374522195,0.218286429392844,0.0845490286264118,0.1003650287103762,0.0316708873615329,0.021635066170277,0.0337204085589796,0.0170485451131066,0.3372533605018281,0.1468235081244009,128-128-128,512,1000,153,1203.6609686729498
12,0,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.1616270491596422,0.2480069362333033,0.0807360720264759,0.1022190941493492,0.0406928415378881,0.0307018053749328,0.0441682394613406,0.0218500302301601,0.6146976308363897,0.1721298348946652,256-256-256,512,1000,115,770.9066249378957
13,0,32,100000,corr,5,MAFN,relu,8,-5,0,None,0.3131821907757848,0.284884932590348,0.1621190582018142,0.099238785788636,0.0329478429640882,0.0201950800233318,0.0329566844326206,0.0190422248713695,0.3494916543259846,0.1183929770204094,128-128-128,512,1000,276,734.2820834699087
14,0,32,100000,corr,5,MAFN,relu,8,-5,0,None,0.3171944805503279,0.2949277783058295,0.1589982602530579,0.1015929945954202,0.0288554245066451,0.0165859302415079,0.0279757255709033,0.0141593199913485,0.3005957223177414,0.1154913615744014,256-256-256,512,1000,176,493.7440116740763
15,0,32,100000,corr,10,MAFN,relu,8,-5,0,None,0.0998215919629017,0.1736991947412137,0.0626511608993272,0.0879356951967125,0.0605093973590677,0.0346044580049274,0.0583600907817351,0.0313917812443115,0.7344965687882183,0.1796053088109894,128-128-128,512,1000,176,1378.8324167658575
16,0,32,100000,corr,10,MAFN,relu,8,-5,0,None,0.0701017278420177,0.1580863738823209,0.0391328251046548,0.0736310226911175,0.0641254024567157,0.0308674244424434,0.0601635960636254,0.0316992923316395,0.9138859130840242,0.2055982599128295,256-256-256,512,1000,103,754.9146209643222
17,0,64,100000,corr,5,MAFN,relu,8,-5,0,None,0.2898625385437222,0.2576971331767033,0.1564475747864245,0.0968794897654351,0.0410368763539729,0.0204909128901308,0.0405379878076205,0.0221660683829671,0.5005075067050113,0.0410406171465695,128-128-128,512,1000,317,903.7257059398108
18,0,64,100000,corr,5,MAFN,relu,8,-5,0,None,0.134908232037738,0.2231625020617106,0.0685233695459074,0.0943735048148676,0.0477536696137414,0.0220403921722747,0.0455882193818583,0.0241058115328268,0.7419002246954142,0.1011926245214486,256-256-256,512,1000,145,416.1655931789428
19,0,64,100000,corr,10,MAFN,relu,8,-5,0,None,0.3100496844613897,0.2935499512623724,0.1503945467568584,0.1019016484215292,0.0395712501929465,0.0237243658349656,0.0384575958873395,0.0235596973047542,0.586574375306174,0.0969005484945954,128-128-128,512,1000,224,1383.6682037268763
20,0,64,100000,corr,10,MAFN,relu,8,-5,0,None,0.0476096671827645,0.1135563416834032,0.0283150372400717,0.0577783214455106,0.073464238852714,0.0375092347731711,0.0704437502451004,0.0373666815798689,1.016229647194496,0.1247703904499506,256-256-256,512,1000,125,713.5080581917427
21,0,100,100000,corr,5,MAFN,relu,8,-5,0,None,0.0278935083538206,0.0781444759106336,0.0193330715291853,0.0478906640775872,0.1211730656390008,0.0659316816243565,0.11815576691848,0.0773083625653946,1.540280978492032,0.2827015331537326,128-128-128,512,1000,388,1016.4842754099518
22,0,100,100000,corr,5,MAFN,relu,8,-5,0,None,0.0078393419586635,0.0566863681965456,0.0074060590059287,0.0325636792824829,0.1715187972206199,0.0919089170290958,0.1669400059476022,0.1059468954267122,2.8819703152356717,0.4013619784362758,256-256-256,512,1000,173,462.3382122050971
23,0,100,100000,corr,10,MAFN,relu,8,-5,0,None,0.0464073703508672,0.1184322037182268,0.0342139727793922,0.0653237207332477,0.0901246143841246,0.0525425099416329,0.0883626573955927,0.0607938025950026,2.46292386882429,0.446581315311388,128-128-128,512,1000,291,1432.8155924999155
24,0,100,100000,corr,10,MAFN,relu,8,-5,0,None,0.0843727498627066,0.1605408377842279,0.0502195011298929,0.0801665322321308,0.0586056440569904,0.0308604149084306,0.0576477147867455,0.03324636503328,1.2768022603638358,0.2278700164774006,256-256-256,512,1000,141,692.7646695086733
25,0,200,100000,corr,5,MAFN,relu,8,-5,0,None,0.0853939416463013,0.1765167887369297,0.0586448964219397,0.0861523106979138,0.0824675708622958,0.0515975574692334,0.0777006457131627,0.0506414158628334,4.608798448867612,0.9783251112848618,128-128-128,512,1000,484,1258.813851559069
26,0,200,100000,corr,5,MAFN,relu,8,-5,0,None,0.0878830419424476,0.1525517300130167,0.0629493407701981,0.0838322712950693,0.0753488678509667,0.0433463048639944,0.0691698331801467,0.0462562582985326,4.165035240686882,0.9203119095937644,256-256-256,512,1000,346,888.9506561951712
27,0,200,100000,corr,10,MAFN,relu,8,-5,0,None,0.0174194614151496,0.0722332922547113,0.0134751568404459,0.044976612706473,0.1357467138232407,0.081377578452557,0.1259025987119745,0.0851189761629429,9.989203741209186,1.0430284700333086,128-128-128,512,1000,307,1461.6347537720576
28,0,200,100000,corr,10,MAFN,relu,8,-5,0,None,0.0141074006893051,0.0600754626721548,0.0097906041175387,0.033608122221411,0.1251101196908055,0.0665952311381348,0.1169615179384952,0.0722535214430957,6.902136328508524,0.9648315672909268,256-256-256,512,1000,134,973.653111029882
29,0,400,100000,corr,5,MAFN,relu,8,-5,0,None,0.1908387709467057,0.2173927766308974,0.094987741544186,0.0969535600436912,0.0539875558974272,0.031114145718114,0.053309326031703,0.0339994370176804,19.058361711787,1.62659082744617,128-128-128,512,1000,365,1447.374315240886
30,0,400,100000,corr,5,MAFN,relu,8,-5,0,None,0.0013157054759367,0.018963865139418,0.0013051476967979,0.0064960072095189,0.420769006678898,0.272526207889718,0.411068637205314,0.2844121850204307,56.25602844547577,1.081024108156506,256-256-256,512,1000,33,93.24427003506572
31,0,400,100000,corr,10,MAFN,relu,8,-5,0,None,0.0007298510853102,0.0072785339463434,0.0011311728440783,0.0022990451597325,0.4995327358847897,0.3266826619046196,0.4898215558116661,0.3438502475010363,57.01080368481665,1.4524360441187962,128-128-128,512,1000,83,375.3248280212283
32,0,400,100000,corr,10,MAFN,relu,8,-5,0,None,0.0015070354248686,0.0158085345551945,0.0014971017748317,0.0061587732721814,0.3138060599178293,0.1984780011724037,0.3093266285730934,0.2125738062827531,34.25154132999319,1.4689141936829275,256-256-256,512,1000,42,212.97214004397392
