run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,sliced_Wasserstein_mean,sliced_Wasserstein_std,frob_norm
1,0,100,100000,corr,10,MAFN,relu,8,-5,0,None,0.1598160672556448,0.2060951721238151,0.0924779411971672,0.0960770197609935,0.0603335719197988,0.0327428373876638,0.0604970104957766,0.0367430216226636,2.2273485394786787,0.4463710475434115,256-256-256,512,1000,393.0,8126.526075653,,,,,,,,,,
2,187,100,100000,corr,10,MAFN,relu,8,-5,0,None,0.0618761366053779,0.1191560192274416,0.05174677323648,0.0790991248194529,0.0844634211313841,0.0464948614653084,0.0838115136823299,0.0517250400780068,2.9752886322482053,0.4491938883306924,256-256-256,512,1000,344.0,6870.484316093,,,,,,,,,,
3,None,100,100000,corr,10,MAFN,relu,8,-5,0,None,,,,,,,,,,,256-256-256,512,1000,457.0,2762.453662714921,-1.0,0.5040681183137599,0.5176940398746328,0.2190678502417596,0.2160694278810815,0.0267156782868419,0.0267156782868419,0.0298941969290103,0.0171531136809632,0.2774788921012492
4,None,100,100000,corr,10,MAFN,relu,8,-5,0,None,,,,,,,,,,,256-256-256,512,1000,459.0,2741.484833185096,-1.0,0.4249871852045917,0.4334150883942888,0.199615138123345,0.1968306088719309,0.0644515486588856,0.0644515486588856,0.0688090321978452,0.0458650925315559,1.3807843415660317
5,None,100,100000,corr,10,MAFN,relu,8,-5,0,None,,,,,,,,,,,256-256-256,512,1000,351.0,2169.8463520342484,-1.0,0.3748390732220089,0.3858820804186854,0.1929109765257378,0.1826156809164234,0.0628510620175227,0.0628510620175227,0.0653119859111579,0.0341093094475545,1.6712247469893473
6,541,100,100000,corr,10,MAFN,relu,8,-5,0,None,0.1380534931259921,0.2018458566903296,0.0862362110759783,0.095507845355687,0.0635949448400174,0.0355258679060609,0.0621701177757747,0.0399707879592467,1.298358204317884,0.3080085217344598,256-256-256,512,1000,356.0,7260.538239657002,,,,,,,,,,
7,721,100,100000,corr,10,MAFN,relu,8,-5,0,None,,,,,,,,,,,256-256-256,512,1000,,,,,,,,,,,,
8,869,100,100000,corr,10,MAFN,relu,8,-5,0,None,,,,,,,,,,,256-256-256,512,1000,,,,,,,,,,,,
9,926,100,100000,corr,10,MAFN,relu,8,-5,0,None,0.000390982566019,0.0031078539852111,0.0012305580040244,0.0019353153439755,0.2507988786792458,0.1330127793689088,0.2456140756115852,0.1587983156893807,2.978113381825459,0.300855507488056,256-256-256,512,1000,493.0,9504.125387210996,,,,,,,,,,
10,933,100,100000,corr,10,MAFN,relu,8,-5,0,None,,,,,,,,,,,256-256-256,512,1000,,,,,,,,,,,,
