run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.3058037358885289,0.2524200881845934,0.1492175178707586,0.0944271117519024,0.0319393350842803,0.0192331365012434,0.0329896349206961,0.0185760913225915,0.7800812779012359,0.1834901981075485,128-128-128,512,1000,523,10185.966846496998
2,187,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.4397085169098085,0.2949314975610547,0.1737975338126717,0.0925617741970046,0.0296520961618349,0.0173533878158241,0.0301331400638671,0.016804152111249,1.1680841449896957,0.1790565534718228,128-128-128,512,1000,492,9749.848777079998
3,377,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.342805753028328,0.2610488545786739,0.1580981047783958,0.0950245216676163,0.0343999596534433,0.0195078865219286,0.0344715313767794,0.019105545297911,1.1614714814578406,0.180596106025507,128-128-128,512,1000,550,10648.732808182
4,440,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.3025097030084951,0.2717128524170915,0.1458327762588747,0.0945013008536101,0.0370398792712373,0.0224747379192714,0.0381699151192426,0.0207289483337132,1.2363709344944327,0.1736948724743072,128-128-128,512,1000,537,10213.285180661998
5,520,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.3541661062523333,0.2719198992276412,0.1557172802824742,0.0960138018213107,0.031443363205666,0.0178466807599443,0.0313693942113452,0.0162660637978668,1.2620804782965842,0.1768652827783177,128-128-128,512,1000,536,8429.033223070997
6,541,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.2920291625672727,0.2721430561897504,0.1462943242990094,0.0965765802576077,0.03936866029083,0.0278426700118576,0.0416389078687127,0.0252181259052066,1.1797227524529157,0.15325415265714,128-128-128,512,1000,490,2569.127294512
7,721,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.3612076179387659,0.2623849236544052,0.1381779984042848,0.0947243512425237,0.0344711624706656,0.0187931207800674,0.0345421184234301,0.018769844422733,1.4875356014122236,0.1549013151440746,128-128-128,512,1000,624,3313.8760337310378
8,869,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.4048664220188843,0.2966871575752844,0.1831106697017635,0.0871544829568761,0.0268500758778063,0.0153086870387341,0.0274134242862194,0.0133493465451733,0.7595949924531246,0.1529527115998665,128-128-128,512,1000,547,2886.7342025479884
9,926,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.3644925500844891,0.2539676131477859,0.1366650738832088,0.0931092399542866,0.0356817640012417,0.0210692477281191,0.0365323461231143,0.0212743459272946,1.5976576563512712,0.1537812256894867,128-128-128,512,1000,549,2927.9614862289745
10,933,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.1227036569408559,0.1706674699149701,0.0808001489296586,0.0864330240338538,0.0514985096708813,0.0381982167503151,0.05385445796525,0.0322458822850287,1.0972234316294416,0.1525064162319648,128-128-128,512,1000,516,2769.431128914992
