run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,1,200,100000,None,5,MAFN,relu,8,-5,0,None,0.0355209882051474,0.0946843352932585,0.0339241565884457,0.0661739793466356,0.1067859725599292,0.0627588166469869,0.1021684997082815,0.0646449595959641,9.12290084797154,1.3305591731392272,256-256-256,512,2,403,24.75986876099978
2,187,188,200,100000,None,5,MAFN,relu,8,-5,0,None,0.017516718567693,0.0605233959831204,0.015469484203764,0.0421450373404214,0.1213387629171354,0.0653964964628051,0.1185407770358835,0.0737181101539207,5.461153043390139,0.9485810365809756,256-256-256,512,2,403,21.49155921100009
3,377,378,200,100000,None,5,MAFN,relu,8,-5,0,None,0.2926588826784645,0.282445979364228,0.1461695696478676,0.1033677028444787,0.0389197663513955,0.0255487008950855,0.0382769247076645,0.0240685449688162,1.8125061274374628,0.3337929323108587,256-256-256,512,2,356,24.582184959000188
4,440,441,200,100000,None,5,MAFN,relu,8,-5,0,None,0.0235742590756708,0.0810915549228293,0.0172072634782069,0.0457001241783992,0.1239213796978666,0.0681264717730952,0.1173764605696337,0.0738567297970634,5.113796568343625,0.8882803383303178,256-256-256,512,2,489,21.30881706699984
5,520,521,200,100000,None,5,MAFN,relu,8,-5,0,None,0.0192590612276726,0.0722639156932959,0.0161991829708844,0.0441325700727314,0.1203288610785379,0.0652279744812318,0.1139098599893715,0.0729041409702742,4.3511362334747,0.630795960698957,256-256-256,512,2,446,22.800411396000072
6,541,542,200,100000,None,5,MAFN,relu,8,-5,0,None,0.3204881800484189,0.2742666038562305,0.1587463050816338,0.0987467389440894,0.0437728788787146,0.0260577370276292,0.0438354924509326,0.0281453287499816,3.122017488450118,0.7302869015888741,256-256-256,512,2,425,22.84402520599997
7,721,722,200,100000,None,5,MAFN,relu,8,-5,0,None,0.0332148583307475,0.106020390767311,0.0259943298303236,0.0566690066758448,0.0981454565570109,0.0537972716707773,0.0945090318593951,0.0595381486777203,3.302005948102802,0.7477740512397593,256-256-256,512,2,360,22.246466335999685
8,869,870,200,100000,None,5,MAFN,relu,8,-5,0,None,0.0925977867854973,0.1678487660728426,0.0667562550716115,0.0856110343359349,0.0751216625698878,0.0424011167855011,0.0756041150558654,0.0465510021402854,2.894535642749378,0.5170526412116055,256-256-256,512,2,375,24.74960028300029
9,926,927,200,100000,None,5,MAFN,relu,8,-5,0,None,0.0764479116259595,0.1795455253260931,0.0576118984081064,0.0844372398208514,0.0814105211408534,0.0503183871660914,0.0790464410070537,0.0545787462967518,2.239670372756909,0.3510548911179775,256-256-256,512,2,538,22.19312146500033
10,933,934,200,100000,None,5,MAFN,relu,8,-5,0,None,0.0325828445054674,0.0937393793008494,0.0242293037244378,0.0534297617429936,0.1100614041076836,0.0611207588433651,0.1043317534222548,0.0668234746843655,5.569623140662777,1.0251182477267788,256-256-256,512,2,418,23.68484872999943
