run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,200,100000,corr,5,MAFN,relu,8,-5,0,,0.034094513166026574,0.10570072821779702,0.03182758384933353,0.06600813795861325,0.10669623663033137,0.06275081791376015,0.1003518612017198,0.06580999291181455,8.970300911103562,0.841109998358653,256-256-256,512,1000,399,1065.8548836640548
2,187,200,100000,corr,5,MAFN,relu,8,-5,0,,0.012783330924912675,0.05847245046565879,0.010738583557280332,0.034461484970132863,0.13304747429666383,0.07077439457257996,0.12733553008570753,0.07846116537779144,5.362498926493077,0.7259178822263948,256-256-256,512,1000,401,1096.5522074020118
3,377,200,100000,corr,5,MAFN,relu,8,-5,0,,0.25306008181105744,0.25289393132962334,0.1366951208966298,0.10306173632603112,0.04407467674909247,0.0267973731451927,0.043354442165982096,0.025789436256760088,2.531090867260962,0.6438950982793038,256-256-256,512,1000,354,934.7536063250154
4,440,200,100000,corr,5,MAFN,relu,8,-5,0,,0.01732805784663786,0.07181617155581432,0.012167044946572706,0.03646085839466235,0.12434862868883033,0.06633499575932947,0.11890198976694609,0.07426205567250137,4.557576627059023,0.732771682896342,256-256-256,512,1000,487,1315.701461646997
5,520,200,100000,corr,5,MAFN,relu,8,-5,0,,0.04418795097742844,0.11173721767560725,0.03195820270372488,0.06178764505760911,0.0979282152691146,0.05370183244891763,0.09559229518900321,0.058922089419964324,4.898128663966306,0.7591988838859661,256-256-256,512,1000,444,1209.0108959930367
6,541,200,100000,corr,5,MAFN,relu,8,-5,0,,0.051671855447286204,0.1507679064592413,0.03926517061879052,0.07366112608002033,0.09427528122409652,0.057132494244327994,0.09376647372021839,0.060493854408364744,6.819235254340526,0.8282245666233012,256-256-256,512,1000,423,1135.5214128959924
7,721,200,100000,corr,5,MAFN,relu,8,-5,0,,0.04159259110621392,0.11129319807579607,0.032857623436606004,0.06503627908298382,0.09830919401102861,0.05644028393063783,0.09617281791773337,0.0619513352796384,5.615930068716806,0.8036988007447967,256-256-256,512,1000,358,955.7412069429993
8,869,200,100000,corr,5,MAFN,relu,8,-5,0,,0.06398400333074902,0.15946371349859303,0.04941677691518285,0.0798047870512813,0.08677471424948036,0.053004335100514784,0.08323480518197385,0.057449081560801835,2.5141055910988173,0.3886604279973056,256-256-256,512,1000,373,1035.1772220669664
9,926,200,100000,corr,5,MAFN,relu,8,-5,0,,0.07752988447136222,0.17502225064314236,0.05282413806176056,0.08083175195705507,0.08533395176780494,0.05078020742351747,0.08057269433998923,0.05519254534946786,2.7087579442560403,0.5472094972629431,256-256-256,512,1000,536,1323.6989063560031
10,933,200,100000,corr,5,MAFN,relu,8,-5,0,,0.04241094007623698,0.12023354314846948,0.036855993103325914,0.06820438915788977,0.09526894348026141,0.05689648588915609,0.09100602456324812,0.0608743297781576,6.545411966345124,0.8397544616666278,256-256-256,512,1000,416,1045.5436028529657
