run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.28561654318154445,0.2699952454589178,0.1539548474674124,0.10471170617541642,0.0319162851231075,0.012015831969794456,0.030536635838415052,0.011563677325595097,0.023181610781569405,0.008264560676656341,256-256-256,512,1000,473,1210.0245673059835
2,187,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.48163636459514036,0.22366440644955177,0.24067975228171207,0.03015998183585028,0.023344436857596546,0.004291442401862305,0.02479289650208939,0.009076960425187092,0.027121983990802633,0.007845083254907882,256-256-256,512,1000,382,999.9826838510344
3,377,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.5741086938494571,0.2449314916307938,0.22947508139378595,0.04355961070841272,0.026875214384002512,0.010489281958356434,0.027431675774002906,0.013452001264892061,0.048080300004509566,0.0193855420138517,256-256-256,512,1000,371,982.8517896530102
4,440,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.20632798760361531,0.20944348786367947,0.12361980010564286,0.09106122033319965,0.04336025204983248,0.01638266797892324,0.04214574456952764,0.021273931085510726,0.0259677824455385,0.006710627092412555,256-256-256,512,1000,395,1010.2238226679619
5,520,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.12295968398314669,0.10945168484108246,0.07024668742728868,0.06907705401295354,0.039999730765486095,0.007849892665768613,0.03845852425171606,0.013011437742332033,0.02845224713551948,0.006484968726209181,256-256-256,512,1000,353,907.3510840170202
6,541,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.36141183922207293,0.29533499666755025,0.17808073145617415,0.10666194245810322,0.024796572200431195,0.008258710574358282,0.02473557303307468,0.011016660046579573,0.025181878080818787,0.01386735880745014,256-256-256,512,1000,388,1001.4068443980068
7,721,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.6033606918837368,0.23826306777468212,0.24130195900344625,0.03682478604808823,0.022938069619634953,0.006664056922112588,0.021797518715479334,0.0074369478195462696,0.02585963143858679,0.006878077087832378,256-256-256,512,1000,351,894.8265523900045
8,869,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.3243637297820721,0.261753651147522,0.18133665560756496,0.08393246920230531,0.03795962798489559,0.012697973915340714,0.03698663080994442,0.01860164397913324,0.04274409030658079,0.019261219039059554,256-256-256,512,1000,352,906.3407496490399
9,926,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.47867246992981843,0.30373725613389396,0.19048840947761847,0.08027695657935674,0.028020365902405076,0.010478073192911157,0.028036679042421304,0.012002145625544679,0.04203797057440763,0.016341252350565775,256-256-256,512,1000,385,998.3104737710091
10,933,4,100000,corr,5,MAFN,relu,8,-5,0,None,0.43143096769165235,0.2530793683389813,0.20259319411223045,0.07063232184707934,0.026608505755383573,0.008916644499738658,0.026411348071138617,0.012109532145574196,0.05743235592647457,0.019880775481905602,256-256-256,512,1000,471,1205.882801980013
