run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.47225990060192,0.46022248250357123,0.20925262265519695,0.20644750290660496,0.024091057120245278,0.024091057120245278,0.021690283112610516,128-128-128,512,1000,361,3734.720065441
2,187,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.4922069575428189,0.48437034291679315,0.21975774954195015,0.2189742498586427,0.03095469307411814,0.03095469307411814,0.03428910977133349,128-128-128,512,1000,445,5138.473021735001
3,377,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.4814049771375931,0.49243385854805366,0.21488080108512597,0.21036353407513114,0.027171598721391053,0.027171598721391053,0.014979088420558494,128-128-128,512,1000,385,4284.767639954
4,440,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.44847473320522857,0.4374318489239602,0.20748854897528124,0.20750146376024828,0.04092441810905766,0.04092441810905766,0.04672221445476986,128-128-128,512,1000,428,4876.8410225669995
5,520,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.4800449825144705,0.4890397117978613,0.21358139943076965,0.21661596577765269,0.024771541889568163,0.024771541889568163,0.00919012861247404,128-128-128,512,1000,652,7184.605105254999
6,541,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.4843947194089469,0.4772211477679897,0.21437706220680058,0.21223910127049198,0.04333404894399988,0.04333404894399988,0.0218417953179229,128-128-128,512,1000,536,5892.676273787998
7,721,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.4965030874900076,0.49585693027646394,0.2188470289741174,0.21862335516568338,0.03327571636603725,0.03327571636603725,0.03867946280680318,128-128-128,512,1000,1000,10261.482524411
8,869,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.4854291840456004,0.4869234976479987,0.21071190260767464,0.2095893050516734,0.01702154740200043,0.01702154740200043,0.0180258285648155,128-128-128,512,1000,625,5596.535989430995
9,926,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.43744568695904074,0.43688997388858636,0.198317798047566,0.1998447805202695,0.021564254760059562,0.021564254760059562,0.02481792112115327,128-128-128,512,1000,514,4920.120306312005
10,933,4,100000,corr,5,MAFN,relu,8,-5,0,,-1,0.4998460222930946,0.5042471976720813,0.21811755440982336,0.21372261540652823,0.031830707851047205,0.031830707851047205,0.049376137399188724,128-128-128,512,1000,492,4407.7950170740005
