run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,1,4,100000,None,5,MAFN,relu,8,-5,0,None,0.3298286465163261,0.3064963070318577,0.1384399135200817,0.1093289210432367,0.0280388201537867,0.0098226501878773,0.0294369214338645,0.0108884064102284,0.049817690238484,0.0180039908960708,256-256-256,512,2,475,27.006275206018472
2,187,188,4,100000,None,5,MAFN,relu,8,-5,0,None,0.3045513229223126,0.2710148727420861,0.152375327122516,0.111490562566004,0.0341326988664604,0.0148808121101285,0.033776335869795,0.0176685587803163,0.0332668733793628,0.0083920483887303,256-256-256,512,2,384,38.73092984399409
3,377,378,4,100000,None,5,MAFN,relu,8,-5,0,None,0.2039238017612847,0.2362830339887574,0.1313800369669627,0.1039593951765958,0.0304231719834959,0.0174174714566612,0.0319424017751535,0.0166466438731159,0.0301871530140425,0.0107762771251365,256-256-256,512,2,373,39.00111956297769
4,440,441,4,100000,None,5,MAFN,relu,8,-5,0,None,0.2370568239545178,0.2707280391506395,0.1288253505336797,0.0990870999407518,0.0313297448296203,0.0119861973871958,0.0324416655122049,0.0131074304388045,0.0271475207384799,0.0128962972805378,256-256-256,512,2,397,38.23482944100397
5,520,521,4,100000,None,5,MAFN,relu,8,-5,0,None,0.275996307943547,0.2642219075706017,0.1353455173968,0.1025674593785656,0.029157692488285,0.0090407141309946,0.0280723340067155,0.0107408040792577,0.0420383345900646,0.0147906917081518,256-256-256,512,2,355,23.360045308974804
6,541,542,4,100000,None,5,MAFN,relu,8,-5,0,None,0.4288394163325438,0.236831094146802,0.2029494043352932,0.0587280369702303,0.0267960469518254,0.0071185724016878,0.0262245707149956,0.010466772419248,0.0437884323239202,0.009479081901043,256-256-256,512,2,390,27.13840116199572
7,721,722,4,100000,None,5,MAFN,relu,8,-5,0,None,0.2968087278794645,0.2757470668639415,0.1563302801173931,0.0949359995897152,0.0291777478056432,0.0088119322453788,0.0294544422159495,0.0113074783548276,0.0367940368845159,0.0119524152444996,256-256-256,512,2,353,36.15860205297941
8,869,870,4,100000,None,5,MAFN,relu,8,-5,0,None,0.3144064009488519,0.2476191422600683,0.1936651796507829,0.0780829614312251,0.0306022223253495,0.012771794263397,0.0295640594348333,0.0170046054424714,0.0294065682102941,0.0132844087538057,256-256-256,512,2,354,24.980257368995808
9,926,927,4,100000,None,5,MAFN,relu,8,-5,0,None,0.2325704280326162,0.2031224198485686,0.1324822572903473,0.0979895534948903,0.0308605919279457,0.0076939697178744,0.0303576761699582,0.0108632574397353,0.0441581280867535,0.0115060710273117,256-256-256,512,2,387,22.501888063998194
10,933,934,4,100000,None,5,MAFN,relu,8,-5,0,None,0.3624462077433318,0.3005745067492117,0.1664911759723178,0.090578064674144,0.0244245511925155,0.0091940428913766,0.0251372732290098,0.0098904364275162,0.0329342109085349,0.0133620361043869,256-256-256,512,2,473,39.49001014599344
