run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.5222382541051361,0.5282074392609828,0.22441930301749213,0.22313136100926753,0.022091900174516104,0.022091900174516104,0.3206907676994012,128-128-128,512,1000,478,5699.70983921
2,187,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.36811371173709106,0.39094060347190157,0.18983614670440097,0.18077333367521578,0.06718861725076082,0.06718861725076082,0.7364754021669973,128-128-128,512,1000,427,4810.949314947001
3,377,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.45231094325864835,0.4618982186223648,0.21085201555619798,0.20803035361427813,0.026015979976147435,0.026015979976147435,0.23734421194869937,128-128-128,512,1000,564,6489.821502779001
4,440,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.48857116850752935,0.4961098416832689,0.2152444652706269,0.21355811768247193,0.027250996935765645,0.027250996935765645,0.2830298510692345,128-128-128,512,1000,461,5208.471076153997
5,520,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.3635779263325734,0.3903736900518633,0.19359109156536342,0.18083512088838416,0.051232511365608635,0.051232511365608635,0.6917072687488809,128-128-128,512,1000,451,5137.689531177999
6,541,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.3641925215876235,0.3637121561437672,0.17733942686037968,0.17808832871606442,0.09354004212628099,0.09354004212628099,0.7873447058760529,128-128-128,512,1000,511,5701.7468831199985
7,721,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.49586316758982285,0.5010838125123888,0.2125525739977468,0.21489576697614804,0.03776416711558833,0.03776416711558833,0.459469083231115,128-128-128,512,1000,651,6739.958559209001
8,869,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.3540741227621167,0.35703814296259956,0.18243200599797707,0.18017567013485145,0.07066107560043498,0.07066107560043498,0.6697282832880613,128-128-128,512,1000,406,3629.6168582809987
9,926,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.3982153068194815,0.41895355503435433,0.19750543277190125,0.1919546891175027,0.07028818821694861,0.07028818821694861,0.5450345719057287,128-128-128,512,1000,439,4101.433165998002
10,933,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.5029318542452244,0.5087503035974265,0.2207121690091901,0.21970009723203518,0.01930921808614458,0.01930921808614458,0.21476830685987847,128-128-128,512,1000,637,5854.863189862001
