run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,sliced_Wasserstein_mean,sliced_Wasserstein_std,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.5326985020356143,0.5411646340139029,0.2269347638030704,0.2253415389269245,0.0259124851002352,0.0259124851002352,0.0318333738270484,0.016739650306053,0.3524714296301524,128-128-128,512,1000,478,5699.70983921
2,187,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.3764781237326607,0.4021008639415896,0.1916438325497852,0.1816215215310267,0.0719570934964901,0.0719570934964901,0.0837137030721149,0.0497296146680891,0.7849474860465719,128-128-128,512,1000,427,4810.949314947001
3,377,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.4472453685464613,0.4554260029329546,0.2082519934067148,0.2057662393994826,0.0267032215079111,0.0267032215079111,0.030725531698939,0.015456844075973,0.2185345493372376,128-128-128,512,1000,564,6489.821502779001
4,440,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.4984018642149092,0.5098326314588711,0.2193427514618376,0.2153745558815521,0.0307062051615424,0.0307062051615424,0.0355092646536874,0.018890793971666,0.3163694776638558,128-128-128,512,1000,461,5208.471076153997
5,520,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.3616837930588068,0.3949217368544531,0.1904278787638714,0.1789204126906811,0.0526405231200591,0.0526405231200591,0.0629157221211938,0.0370926305299022,0.7287017425786543,128-128-128,512,1000,451,5137.689531177999
6,541,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.3261134715131391,0.3230382603243537,0.1660369418404935,0.1692736868738271,0.0973273546931566,0.0973273546931566,0.1021219541201485,0.0551086615850292,0.8405729971065496,128-128-128,512,1000,511,5701.746883119999
7,721,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.4943341687034994,0.4988344869459118,0.214045056241426,0.2150720076625034,0.0342911399862877,0.0342911399862877,0.0402028899967851,0.0207143972476516,0.4075436959043714,128-128-128,512,1000,651,6739.958559209001
8,869,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.3789914149840057,0.3885355323451415,0.1930487137136425,0.1865288088993336,0.0708717950334081,0.0708717950334081,0.0894408373834955,0.0527089932861348,0.7008103797159235,128-128-128,512,1000,406,3629.616858280999
9,926,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.400765436769334,0.4044918824758713,0.1923354642122178,0.1892752412115634,0.0707152100030478,0.0707152100030478,0.0736115650902436,0.0407258834530772,0.5866631788247154,128-128-128,512,1000,439,4101.433165998002
10,933,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.4830794784697495,0.4883061722340642,0.2166536948443497,0.2165278355546281,0.0162081835973261,0.0162081835973261,0.0183341722241725,0.0068115716128635,0.2039591007252821,128-128-128,512,1000,637,5854.863189862001
