run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1.0,0.5004806992294358,0.4874670110459285,0.2189616177186224,0.216556812788384,0.0181416597847962,0.0181416597847962,0.0186688862595521,128-128-128,512,1000,586.0,6558.004040126
2,187,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1.0,0.4950271115017978,0.5021290783676498,0.2252804141097493,0.2217760636152398,0.0199084512832364,0.0199084512832364,0.0272639806125388,128-128-128,512,1000,710.0,8006.757890181
3,377,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1.0,0.5105347833965032,0.5274446024846229,0.2149500666969744,0.2168985765185012,0.0432077594018715,0.0432077594018715,0.0604175383722068,128-128-128,512,1000,557.0,6234.317406802998
4,440,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1.0,0.5485603093667957,0.5309644285999233,0.2293015931836596,0.2283081798091732,0.0198439322413178,0.0198439322413178,0.0348721861919038,128-128-128,512,1000,583.0,6424.209780878002
5,520,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1.0,0.5150083408991581,0.5088178348601956,0.2180618724703083,0.2185744146419289,0.0249771628453934,0.0249771628453934,0.0333491473715395,128-128-128,512,1000,739.0,8112.709880262999
6,541,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1.0,0.505745050275776,0.5257761720904959,0.2184096624625573,0.2192208129284483,0.0441007630162784,0.0441007630162784,0.0396232520247307,128-128-128,512,1000,569.0,5556.502038184
7,721,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1.0,0.5160322095486155,0.51204764955906,0.2223480477398638,0.221487622556984,0.0194611173111408,0.0194611173111408,0.0305089054731866,128-128-128,512,1000,638.0,5707.487971826995
8,869,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1.0,0.5068757985629735,0.5028866687266711,0.2240546515816349,0.2212069769244907,0.0207481958280485,0.0207481958280485,0.0229129905418845,128-128-128,512,1000,513.0,4724.206410180996
9,926,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1.0,0.5233666268290992,0.520250841566455,0.2205392803157668,0.219126925195136,0.0172297903926042,0.0172297903926042,0.0254023336195944,128-128-128,512,1000,483.0,4387.348118355003
10,933,8,100000,corr,5,MAFN,relu,8,-5,0,None,,,,,,,,,128-128-128,512,1000,,
