run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
1,0,1,4,100000,,5,MAFN,relu,8,-5,0,,0.5018287723929606,0.3433065471969946,0.190174445125022,0.0982344829539604,0.02361136009092,0.008495791085911,0.0242356555574768,0.0093440358606473,0.0430110247085678,0.013210873851354,128-128-128,512,1000,712,2072.710502295988,6.6602269189897925,2104.006028928008,NVIDIA A40
2,0,1,4,100000,,5,MAFN,relu,8,-5,0,,0.1771240011442874,0.2218130296497293,0.1060308090598951,0.110165315396218,0.0327824423290052,0.0116268785372836,0.0337952817037912,0.0125506128649425,0.0269597480242586,0.009743967544952,256-256-256,512,1000,270,814.4886012790084,4.876127355993958,835.0952424599964,NVIDIA A40
3,0,1,4,100000,,10,MAFN,relu,8,-5,0,,4.1276906346077765e-55,1.640761014653706e-54,0.001,0.0,0.6037242057463761,0.1593620277518906,0.5864911671667119,0.2522855986831208,1.0005796462973475,0.0195669637044756,128-128-128,512,1000,24,139.34563568400335,5.839120566990459,176.97503371202038,NVIDIA A40
4,985772,985773,4,100000,,10,MAFN,relu,8,-5,0,,0.3442608193361656,0.316366664804357,0.1687576412168366,0.0916440301503829,0.0345627537331766,0.0136323815837022,0.0340711229657863,0.0171000432346667,0.0306666816031643,0.009836261998404,256-256-256,512,1000,396,2172.3788481490046,4.827608067018446,2219.7238423289964,NVIDIA A40
5,187,188,4,100000,,5,MAFN,relu,8,-5,0,,0.5166955972723093,0.250027970166794,0.2408536634877822,0.0311608151199813,0.0275035454100598,0.0076682386559069,0.0281045719753588,0.0094015292744666,0.0280584397542948,0.0031313254697922,128-128-128,512,1000,600,1772.8959362939931,5.955732178990729,1794.4483038780163,NVIDIA A40
6,187,188,4,100000,,5,MAFN,relu,8,-5,0,,0.4301517183492819,0.2319586943811368,0.2202549044715352,0.0599332161137927,0.0207429979156037,0.0050917064479943,0.0220170456741865,0.0066527167928711,0.0247407454268755,0.007265450456749,256-256-256,512,1000,391,1170.2571685299918,4.753371202008566,1189.91186073501,NVIDIA A40
7,187,188,4,100000,,10,MAFN,relu,8,-5,0,,0.3897163725000085,0.2644203215780584,0.2106507636484738,0.0643553531075288,0.0316310299241706,0.0079961151319219,0.0313063619647138,0.0122101934523471,0.068295313906485,0.0165358097146199,128-128-128,512,1000,661,3580.8691305149987,4.885067512979731,3616.5216933219926,NVIDIA A40
8,187,188,4,100000,,10,MAFN,relu,8,-5,0,,0.3071148713098863,0.2206993179133537,0.1538748235629855,0.0998075998260077,0.0423063459017776,0.0179882043814353,0.0432153904116677,0.0185513969028743,0.153716773928056,0.0174069483492823,256-256-256,512,1000,450,2479.573361924995,4.817862264026189,2516.093699018995,NVIDIA A40
9,377,378,4,100000,,5,MAFN,relu,8,-5,0,,0.3761193753675915,0.3125318321271424,0.1675742537731117,0.0892471819250396,0.0317691791356626,0.014078780671185,0.0304133702640052,0.0169798089256324,0.0351115818383092,0.0201124064829748,128-128-128,512,1000,533,1597.6798780789832,5.785890187020414,1620.9422065359831,NVIDIA A40
10,377,378,4,100000,,5,MAFN,relu,8,-5,0,,0.4637861161327016,0.2958917741867239,0.2117030796892161,0.06834899139516,0.0261410694058904,0.0102602355774318,0.0246543096313972,0.0121297649740353,0.0337543603265695,0.0161173159438977,256-256-256,512,1000,404,1219.6166861969978,4.751058857014868,1239.12651912999,NVIDIA A40
11,377,378,4,100000,,10,MAFN,relu,8,-5,0,,0.306687471416961,0.2570538649785245,0.1596827095437499,0.0948556525468114,0.037594402620388,0.014186071650269,0.0389064156455193,0.0153321302533597,0.1548024576211983,0.0272208067813617,128-128-128,512,1000,643,3478.8194148909824,5.4925339040055405,3514.8390431090083,NVIDIA A40
12,377,378,4,100000,,10,MAFN,relu,8,-5,0,,0.3730157585738874,0.27783212397928,0.1724275084489986,0.092148653665201,0.0379122283703684,0.0145592812967297,0.0392379056574276,0.0171037645496336,0.1317584337519661,0.0262767824404693,256-256-256,512,1000,342,1874.1249477959936,4.796067051996943,1912.0588357689849,NVIDIA A40
13,440,441,4,100000,,5,MAFN,relu,8,-5,0,,0.3034988377809809,0.2821143705393067,0.1419920873297192,0.0972825348524959,0.0366387470739156,0.0172013468435348,0.0364224501669123,0.0198406271339233,0.0310302694012636,0.0065454221485173,128-128-128,512,1000,502,1495.8796212050074,5.5575669259997085,1516.6392738779832,NVIDIA A40
14,440,441,4,100000,,5,MAFN,relu,8,-5,0,,0.1801705089682182,0.1945740268191852,0.1125631997152736,0.0963822670445636,0.0385470160000403,0.0131872565918115,0.0353314099939358,0.0154270712204983,0.0291179015202175,0.0100871770474793,256-256-256,512,1000,360,1062.8363672480043,5.778420303977327,1086.0321732820012,NVIDIA A40
15,978294,978295,4,100000,,10,MAFN,relu,8,-5,0,,0.2022950098128909,0.1935349469234005,0.1283406562809937,0.0986981310607722,0.0413248497903651,0.0208737130737872,0.0422506829171081,0.016749883590121,0.141117373036973,0.0142729261761349,128-128-128,512,1000,491,2635.1482138120045,4.792107112007216,2680.171392936987,NVIDIA A40
16,978294,978295,4,100000,,10,MAFN,relu,8,-5,0,,0.0001174663857586,0.0003429063253792,0.0018475564480592,0.003655507246054,0.0767279133725697,0.0286199068777059,0.083146385417374,0.0292356348523738,0.1047643558519838,0.0062232589774847,256-256-256,512,1000,50,289.94290486501995,4.813909786986187,330.71316621199367,NVIDIA A40
17,520,521,4,100000,,5,MAFN,relu,8,-5,0,,0.0869827310234665,0.1227973773323388,0.0589354997125244,0.0798546474269967,0.0410748886216654,0.0092610147273753,0.0422555870162955,0.0125155715054106,0.0478720544444046,0.008622972993398,128-128-128,512,1000,292,892.7840447630151,5.793200304004131,914.2427092379947,NVIDIA A40
18,520,521,4,100000,,5,MAFN,relu,8,-5,0,,0.3892716084156474,0.2728071467392767,0.1952766981630108,0.0761923933142797,0.0288143326895298,0.0091674840429859,0.0269208306143295,0.0116333505638471,0.0377392047948797,0.0169887020956515,256-256-256,512,1000,386,1142.4254768239916,4.772454221994849,1162.173979827989,NVIDIA A40
19,520,521,4,100000,,10,MAFN,relu,8,-5,0,,0.5081695294842608,0.22448536579786,0.2293929541770025,0.0528324998777457,0.0246068599753,0.0068837061330602,0.0246269348124682,0.0084325742168853,0.0419111891837509,0.0176317035232707,128-128-128,512,1000,720,3939.937775327999,4.788190023013158,3974.9949445460234,NVIDIA A40
20,520,521,4,100000,,10,MAFN,relu,8,-5,0,,0.4740155986995299,0.2988602214396289,0.1807535200195218,0.0905491548916063,0.0320951874490656,0.0129188293852059,0.0335373410421415,0.0116078639884833,0.1256046141677222,0.0239362062946264,256-256-256,512,1000,430,2355.043134027015,5.70861971800332,2391.1783200299838,NVIDIA A40
21,541,542,4,100000,,5,MAFN,relu,8,-5,0,,0.3745636231332516,0.1919174643732365,0.2148943563871245,0.0604575066025974,0.0316032667962973,0.0121550215321333,0.0317211863730339,0.0156405333108091,0.0390400763633402,0.0134794718312919,128-128-128,512,1000,503,1492.2433054169817,5.748545401991578,1517.1934635570217,NVIDIA A40
22,541,542,4,100000,,5,MAFN,relu,8,-5,0,,0.3781006299630473,0.2945695900330364,0.1603757664673384,0.0961970333163076,0.034751598227196,0.012123112085774,0.0376254720834205,0.0132403982223484,0.0500341063833135,0.0067615760288723,256-256-256,512,1000,560,1709.0883627790026,4.788867243012646,1728.9392328389804,NVIDIA A40
23,541,542,4,100000,,10,MAFN,relu,8,-5,0,,0.2011681799031409,0.2090092728771435,0.1240777155016227,0.1062802797119609,0.0421458186101677,0.0178201066791932,0.0432816487581938,0.0188385710876736,0.1219374125504441,0.0233937455395762,128-128-128,512,1000,819,4377.618501148012,4.781412078998983,4412.9628989629855,NVIDIA A40
24,541,542,4,100000,,10,MAFN,relu,8,-5,0,,0.0008471771409076,0.0029534953357219,0.0010505096016721,0.0001715368831684,0.0821844577076912,0.0278797898718069,0.0813865823937645,0.0333943495590899,0.1478487495674044,0.0214788711083645,256-256-256,512,1000,101,569.9021555440268,4.871364316000836,609.8354061259888,NVIDIA A40
25,721,722,4,100000,,5,MAFN,relu,8,-5,0,,0.4657772846514006,0.2899916274309595,0.1949183290682437,0.0803415428034708,0.0239741944747849,0.0067090702083903,0.0242277321426485,0.0088870216486488,0.0349863669470535,0.00603121112742,128-128-128,512,1000,550,1674.00682563,4.850346951017855,1694.9582407690175,NVIDIA A40
