run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,batch_size,activation,eps_regulariser,regulariser,dist_seed,test_seed,training_device
102,541,542,16,100000,,5,MAFN,8,-5,256-256-256,512,relu,0,,0,542,NVIDIA A40
103,541,542,16,100000,,10,MAFN,8,-5,128-128-128,512,relu,0,,0,542,NVIDIA A40
104,541,542,16,100000,,10,MAFN,8,-5,256-256-256,512,relu,0,,0,542,NVIDIA A40
105,721,722,16,100000,,5,MAFN,8,-5,128-128-128,512,relu,0,,0,722,NVIDIA A40
106,721,722,16,100000,,5,MAFN,8,-5,256-256-256,512,relu,0,,0,722,NVIDIA A40
107,721,722,16,100000,,10,MAFN,8,-5,128-128-128,512,relu,0,,0,722,NVIDIA A40
108,721,722,16,100000,,10,MAFN,8,-5,256-256-256,512,relu,0,,0,722,NVIDIA A40
109,869,870,16,100000,,5,MAFN,8,-5,128-128-128,512,relu,0,,0,870,NVIDIA A40
110,869,870,16,100000,,5,MAFN,8,-5,256-256-256,512,relu,0,,0,870,NVIDIA A40
111,869,870,16,100000,,10,MAFN,8,-5,128-128-128,512,relu,0,,0,870,NVIDIA A40
112,869,870,16,100000,,10,MAFN,8,-5,256-256-256,512,relu,0,,0,870,NVIDIA A40
112,235536,235537,16,100000,,10,MAFN,8,-5,256-256-256,512,relu,0,,0,235537,NVIDIA A40
113,926,927,16,100000,,5,MAFN,8,-5,128-128-128,512,relu,0,,0,927,NVIDIA A40
114,926,927,16,100000,,5,MAFN,8,-5,256-256-256,512,relu,0,,0,927,NVIDIA A40
115,926,927,16,100000,,10,MAFN,8,-5,128-128-128,512,relu,0,,0,927,NVIDIA A40
116,926,927,16,100000,,10,MAFN,8,-5,256-256-256,512,relu,0,,0,927,NVIDIA A40
117,933,934,16,100000,,5,MAFN,8,-5,128-128-128,512,relu,0,,0,934,NVIDIA A40
118,933,934,16,100000,,5,MAFN,8,-5,256-256-256,512,relu,0,,0,934,NVIDIA A40
119,933,934,16,100000,,10,MAFN,8,-5,128-128-128,512,relu,0,,0,934,NVIDIA A40
120,933,934,16,100000,,10,MAFN,8,-5,256-256-256,512,relu,0,,0,934,NVIDIA A40
121,0,1,32,100000,,5,MAFN,8,-5,128-128-128,512,relu,0,,0,1,NVIDIA A40
122,0,1,32,100000,,5,MAFN,8,-5,256-256-256,512,relu,0,,0,1,NVIDIA A40
123,0,1,32,100000,,10,MAFN,8,-5,128-128-128,512,relu,0,,0,1,NVIDIA A40
124,0,1,32,100000,,10,MAFN,8,-5,256-256-256,512,relu,0,,0,1,NVIDIA A40
125,187,188,32,100000,,5,MAFN,8,-5,128-128-128,512,relu,0,,0,188,NVIDIA A40
126,187,188,32,100000,,5,MAFN,8,-5,256-256-256,512,relu,0,,0,188,NVIDIA A40
