run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.5228516604643699,0.5179737418973043,0.2196650932850529,0.2168539318696972,0.01692055564611248,0.01692055564611248,0.008438990925688193,128-128-128,512,1000,360,1878.5890498929657
2,0,4,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.5258556194244987,0.5197401245077955,0.21843359025556658,0.22106469751716354,0.02272520292381419,0.02272520292381419,0.021179184376873477,256-256-256,512,1000,298,1617.4819011907093
3,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.47715330269986744,0.47676283816685416,0.2187966958132766,0.21317700395930084,0.025960212910977817,0.025960212910977817,0.012226298427858216,128-128-128,512,1000,330,1752.661989740096
4,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.47947180529203404,0.4712809937849365,0.20966476799269002,0.21264051212572574,0.014930514557604854,0.014930514557604854,0.021019125924697176,256-256-256,512,1000,237,1297.4489617031068
5,0,8,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.5207725551175579,0.5385230687841689,0.223509522540826,0.22166498331106468,0.023875277288022197,0.023875277288022197,0.04276255112439093,128-128-128,512,1000,222,1177.691033339128
6,0,8,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.39859765034414185,0.39602238504644205,0.1944569258904122,0.1978653141815156,0.033125531203196855,0.033125531203196855,0.07146142092613901,256-256-256,512,1000,138,751.3254277640954
7,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.5106085878566988,0.5250949764011275,0.22169860441653688,0.21907989738039318,0.02363445441046627,0.02363445441046627,0.037776969945605636,128-128-128,512,1000,190,1017.419503540732
8,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.40608373548786575,0.42761354335940716,0.19377428922343531,0.1834299456862374,0.06911229358741822,0.06911229358741822,0.0850430461945418,256-256-256,512,1000,151,819.1812866972759
9,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.5085478466533986,0.5076587794852159,0.2218134932344832,0.21898492575721348,0.008823618509195212,0.008823618509195212,0.08976568049039253,128-128-128,512,1000,184,980.4920187131502
10,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.42628729438935076,0.41535724533796037,0.18767846603071225,0.1944628818021314,0.02918645791094772,0.02918645791094772,0.11329977694490248,256-256-256,512,1000,128,692.3701705839485
11,0,16,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4424961941455918,0.458061428045039,0.20778362220137386,0.2005542909900682,0.023508607586147656,0.023508607586147656,0.467780317708594,128-128-128,512,1000,133,699.219254292082
12,0,16,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.42373688953945654,0.47911514976495556,0.2086871271761951,0.19283497657607476,0.02026516007918322,0.02026516007918322,0.28321234278448476,256-256-256,512,1000,104,552.7049644161016
13,0,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4602013060137831,0.4691862422125711,0.20813642934267798,0.2059499198908699,0.020534201483223595,0.020534201483223595,0.21196851512147757,128-128-128,512,1000,220,1148.842104929965
14,0,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.37232030035510033,0.38512523407549465,0.19025032130332015,0.17756417536657643,0.03677326791044173,0.03677326791044173,0.5657778502650924,256-256-256,512,1000,119,640.3925593760796
15,0,32,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.3470889670390142,0.3545911561525018,0.18148168313268176,0.1723913275277278,0.06008948729420263,0.06008948729420263,0.3292607451889103,128-128-128,512,1000,137,731.9855848280713
16,0,32,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.35651972112518554,0.39883910856873117,0.18614767519053815,0.168621074947129,0.03738150281898669,0.03738150281898669,0.4156249210975252,256-256-256,512,1000,100,540.5163118038327
17,0,64,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4484410587338092,0.46144484683737297,0.20345275481783134,0.2014838051732146,0.017485452861417644,0.017485452861417644,0.2701708562667358,128-128-128,512,1000,189,999.5255199987441
18,0,64,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.36571858048293704,0.3870101058199248,0.18568094622379644,0.17538742117181563,0.0656042498465327,0.0656042498465327,0.6558614588336533,256-256-256,512,1000,115,620.1156345349737
19,0,64,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.485036430914226,0.47999534035000935,0.21550249051611092,0.21441535648742915,0.02933801836182299,0.02933801836182299,0.29619628079518984,128-128-128,512,1000,173,930.4164833221585
20,0,64,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.3165425707427886,0.2999212050763589,0.1635722393416929,0.16287433771308413,0.08738174338101859,0.08738174338101859,0.9717951560222754,256-256-256,512,1000,115,621.7894674870186
