run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.4952167249518929,0.2514352379614176,0.2162094297345766,0.0669111936444704,0.0268422397828102,0.012459572905024,0.0272672767031718,0.0116797389623283,0.0179260972879166,0.0102550225645308,128-128-128,512,1000,360,1878.5890498929657
2,0,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.4378442707129574,0.2507924358240089,0.1984639045577029,0.0883746683316008,0.0280819396084546,0.0095965116319548,0.0281902450608613,0.0120047374771239,0.0322468037155,0.0142575158264584,256-256-256,512,1000,298,1617.481901190709
3,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,0.3467802014564901,0.2769136619993136,0.1749031743987173,0.0971766369693227,0.0362378887188434,0.0186563790947594,0.0359481335428542,0.0194912086418729,0.0208731120727937,0.0081003691572905,128-128-128,512,1000,330,1752.661989740096
4,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,0.4163769313863094,0.3170107362694375,0.178140620832901,0.0837600826224427,0.0253788786727189,0.0081522111004544,0.0249217681439414,0.0104070484339853,0.0324307917893132,0.0101122069364133,256-256-256,512,1000,237,1297.4489617031068
5,0,8,100000,corr,2,MsplineN,relu,8,-16,0,None,0.3442335185394565,0.2982465554152227,0.1723041910507337,0.0897935491433945,0.0362343889863466,0.0217256932292701,0.0388139354087285,0.0210361853543556,0.0749236037607389,0.0225908284413958,128-128-128,512,1000,222,1177.691033339128
6,0,8,100000,corr,2,MsplineN,relu,8,-16,0,None,0.1665310650808863,0.216464076196185,0.0865404884580266,0.092190534341952,0.0423062289026496,0.02061979634186,0.0446801726716176,0.0218980956694907,0.1119302711569951,0.0166859335345348,256-256-256,512,1000,138,751.3254277640954
7,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.3593216557977502,0.2911974556367278,0.185506883422435,0.0840897832891052,0.0348216775371184,0.0219970508109297,0.0375488969013405,0.0216936924114501,0.0691037047332933,0.0228105482544703,128-128-128,512,1000,190,1017.419503540732
8,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.0331504270136868,0.0801031925964954,0.0200479265097891,0.0434663033114347,0.0762388957535802,0.0404242473818537,0.0758786682394801,0.0456759034733317,0.1215225324372375,0.0351807951790314,256-256-256,512,1000,151,819.1812866972759
9,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,0.3898072912955931,0.3002054454115937,0.1819675867435641,0.0928866860694102,0.0212580942348625,0.0150352689022126,0.0218756577501913,0.0122316660230096,0.214692078966781,0.0747977211390306,128-128-128,512,1000,184,980.4920187131502
10,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,0.1433748286147022,0.2325105876192421,0.0659769890831984,0.0919760384122529,0.0307319622302136,0.0188374197851582,0.0316025380527522,0.0179177849379349,0.2498270677089725,0.0691982161086277,256-256-256,512,1000,128,692.3701705839485
11,0,16,100000,corr,2,MsplineN,relu,12,-16,0,None,0.1412395618744115,0.2113659375950981,0.0772459181319752,0.0963228134299768,0.0314254427332926,0.0178444604964188,0.0335452924503075,0.0163430468097587,0.619669180803342,0.1764471265403059,128-128-128,512,1000,133,699.219254292082
12,0,16,100000,corr,2,MsplineN,relu,12,-16,0,None,0.1572353988721459,0.2179464863889039,0.0810428931317267,0.0957925961443607,0.0323026908062629,0.0194834001223691,0.034459542024253,0.0163597464813944,0.3746231688786363,0.1463445570145169,256-256-256,512,1000,104,552.7049644161016
13,0,32,100000,corr,2,MsplineN,relu,8,-16,0,None,0.3696932781138423,0.2822256481028046,0.1811800562546088,0.09168031448943,0.0296493287797532,0.0159344031994993,0.0300546829618445,0.015022574153887,0.3829189621246421,0.1125870847671089,128-128-128,512,1000,220,1148.842104929965
14,0,32,100000,corr,2,MsplineN,relu,8,-16,0,None,0.136019036484514,0.2181875937855864,0.0655274336569453,0.0901643193525191,0.0446356672426057,0.0237156302584689,0.0469335773374584,0.021850485187441,0.8560167476362655,0.0841234712192912,256-256-256,512,1000,119,640.3925593760796
15,0,32,100000,corr,2,MsplineN,relu,12,-16,0,None,0.0632042936202159,0.1364130444215402,0.0426969258163014,0.0723015084283712,0.0675315507447951,0.0377981824480597,0.0657338375475792,0.0378945226989677,0.5083394317133102,0.0988239126926278,128-128-128,512,1000,137,731.9855848280713
16,0,32,100000,corr,2,MsplineN,relu,12,-16,0,None,0.1197256717964536,0.1992472662296384,0.0606331270357344,0.0886292216093956,0.0472214687597463,0.0245477110156296,0.0485670924320711,0.0245438858159869,0.6637547931733051,0.0972956567091002,256-256-256,512,1000,100,540.5163118038327
17,0,64,100000,corr,2,MsplineN,relu,8,-16,0,None,0.4076371866063194,0.2886455277286904,0.192802782228,0.0826901428836753,0.0335066903381773,0.0185557519830266,0.0352097865458738,0.019492460763196,0.5517067576219825,0.1062391788008931,128-128-128,512,1000,189,999.525519998744
18,0,64,100000,corr,2,MsplineN,relu,8,-16,0,None,0.0584440149364665,0.1179871088392806,0.0453982349781144,0.0742851280625494,0.072714909225207,0.0369468246228077,0.0717649509577752,0.0400691705460072,0.9283804774307888,0.0937362562674014,256-256-256,512,1000,115,620.1156345349737
19,0,64,100000,corr,2,MsplineN,relu,12,-16,0,None,0.3002968289543255,0.2530122057470085,0.1628631272214827,0.093561765356828,0.0427009621931725,0.0216738629850022,0.043420557770323,0.0239932799629515,0.5856548715500779,0.0545259787760965,128-128-128,512,1000,173,930.4164833221585
20,0,64,100000,corr,2,MsplineN,relu,12,-16,0,None,0.0255155210421816,0.0719617299226032,0.0205899271496743,0.0506928912042535,0.0976263417299302,0.0551676325047141,0.0997979161828751,0.0575764305575681,1.3102476657301585,0.1478399279411438,256-256-256,512,1000,115,621.7894674870186
21,0,100,100000,corr,2,MsplineN,relu,8,-16,0,None,0.2002025190833569,0.2422291547229189,0.1094860088773116,0.1016374319754609,0.0568571947735637,0.0327631187053582,0.0577143036383592,0.036428601432328,2.1385686661084757,0.4509682634881157,128-128-128,512,1000,219,1174.8416780666448
22,0,100,100000,corr,2,MsplineN,relu,8,-16,0,None,0.0990901116401696,0.1770811123470947,0.0567622213747819,0.0846360804255471,0.063217460984471,0.0336134353988478,0.0630034548738517,0.035125693517556,2.125832878361598,0.3193294002172939,256-256-256,512,1000,115,624.038099178113
23,0,100,100000,corr,2,MsplineN,relu,12,-16,0,None,0.266420029854356,0.2643811696628932,0.1390563791826696,0.0997424274709294,0.0482978274668174,0.0297433142992443,0.0490338669530379,0.0327427218136022,1.332807192757783,0.3898778098875631,128-128-128,512,1000,226,1213.5491429832764
24,0,100,100000,corr,2,MsplineN,relu,12,-16,0,None,0.1839147638080425,0.2064024309150797,0.1152797419847454,0.099288305790469,0.0588977876362377,0.0335395183994595,0.0599294564755347,0.0366586150851215,2.103272800082979,0.4276876588766236,256-256-256,512,1000,149,911.7337052631192
25,0,200,100000,corr,2,MsplineN,relu,8,-16,0,None,0.3012334260671729,0.2616280184141652,0.1563697752801745,0.0990472600667181,0.0389078199555953,0.0200262533935454,0.0378266817633961,0.0206653677364666,2.2758407963154808,0.5935412308356585,128-128-128,512,1000,269,1604.2154389200732
26,0,200,100000,corr,2,MsplineN,relu,8,-16,0,None,0.2024658117212249,0.2363032268022638,0.1178697734289907,0.102565528373946,0.0549230114630893,0.032131341884963,0.0533401825789551,0.0348568345222754,2.463272147701072,0.6861521630209099,256-256-256,512,1000,199,1192.310504738707
27,0,200,100000,corr,2,MsplineN,relu,12,-16,0,None,0.368939695364369,0.2860131708094686,0.1773802369003918,0.0933534554483889,0.0325751483625335,0.0169974700092449,0.0320419207353049,0.0164446518470341,1.8532368811312403,0.4936398616205504,128-128-128,512,1000,263,1554.6522844950669
28,0,200,100000,corr,2,MsplineN,relu,12,-16,0,None,0.3266508112895896,0.277652140698406,0.1639756382306356,0.0971456703267184,0.0402459622173075,0.0242946770264785,0.0392058687015352,0.025390166005227,1.975305217754216,0.5849075288367536,256-256-256,512,1000,200,1296.113276346121
