run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.3101545215308255,0.3305867436045769,0.16580249015711762,0.1540077029542735,0.09569228371674413,0.09569228371674413,1.188555762254675,256-256-256,512,1000,133,572.0367812449113
2,187,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.39555372698373553,0.4254607434852955,0.20396492294360413,0.18527118397963896,0.06169784571766992,0.06169784571766992,0.820049891717834,256-256-256,512,1000,135,610.8382888417691
3,377,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.3573243436352425,0.3832295454630573,0.1837613419845921,0.17112442148126075,0.06138823324034015,0.06138823324034015,1.0550372814990565,256-256-256,512,1000,134,1179.5916102980264
4,440,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.39516976035080503,0.40962942345359454,0.20049302810777112,0.1879533193701709,0.05806048396238741,0.05806048396238741,1.1866319313997773,256-256-256,512,1000,144,1212.2873120619915
5,520,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.4828217582112516,0.4932819753537663,0.21552911113159856,0.2129473574221244,0.03801722955672805,0.03801722955672805,0.780701806237825,256-256-256,512,1000,177,1737.1681003738195
6,541,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.39322408290613164,0.4313705891941853,0.19900406346047775,0.18589986419426602,0.035499010072351525,0.035499010072351525,1.0122717053361896,256-256-256,512,1000,128,831.9404280078597
7,721,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.4897368529348529,0.4974428794711152,0.2170741762575556,0.21394464030489854,0.029050795572457225,0.029050795572457225,0.6710643785744868,256-256-256,512,1000,170,1108.6974428649992
8,869,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.3991050471402123,0.44574705350402766,0.20419388958092916,0.18531242557682254,0.06099453867418156,0.06099453867418156,0.8787477415299496,256-256-256,512,1000,119,911.9952976801433
9,926,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.37386603354380477,0.3951216067475376,0.19211012316179504,0.17968030142552047,0.07071264888655063,0.07071264888655063,0.949096361591985,256-256-256,512,1000,133,1023.7004614500329
10,933,100,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.3727881014728946,0.3828977449943567,0.18837050163050512,0.1806359109466812,0.06428859875520782,0.06428859875520782,1.045465399525221,256-256-256,512,1000,136,864.2616904368624
