run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,sliced_Wasserstein_mean,sliced_Wasserstein_std,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4554324199213512,0.452526385315177,0.2124366737358796,0.2018274593382521,0.0303528787780436,0.0303528787780436,0.0324911255713143,0.0140377420552433,0.2899948041630081,128-128-128,512,1000,216,1426.4092951770872
2,187,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4988794479476608,0.5015319622471035,0.2191638830550442,0.2179103516815214,0.0169303485114872,0.0169303485114872,0.0162159631845217,0.0051350471430165,0.2201909974561856,128-128-128,512,1000,231,1527.6889389841815
3,377,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4911227335537388,0.5070521057600789,0.221478191318735,0.2112808933325111,0.0242235385304689,0.0242235385304689,0.0223943253378915,0.0085696430343555,0.4130201885371359,128-128-128,512,1000,214,1459.478776529897
4,440,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4944442665888541,0.4981151616959066,0.2191248435662572,0.2133640838378916,0.0148270866931112,0.0148270866931112,0.0155529095061604,0.0050008200261366,0.2077376607793184,128-128-128,512,1000,260,1867.2067370070145
5,520,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4757300965084495,0.4850937943135605,0.204946942461194,0.2051769498139149,0.0162857764986646,0.0162857764986646,0.0234408483299471,0.0097786318709454,0.1628371586178054,128-128-128,512,1000,228,1652.4978010132909
6,541,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.5001897117217465,0.5180521960936741,0.2235154737228173,0.2183922895530105,0.018357550105577,0.018357550105577,0.019021929058317,0.0077474165406887,0.1766234371102592,128-128-128,512,1000,223,1565.249789361842
7,721,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4936812301969758,0.4949084392820937,0.2183001393229046,0.2186718046782888,0.0223219906142109,0.0223219906142109,0.0243932523191047,0.0103630688062771,0.2976817248635223,128-128-128,512,1000,249,1817.518630431965
8,869,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.5066473986020251,0.4996319864220222,0.2168241598042584,0.2135890293276474,0.0105587322684897,0.0105587322684897,0.0168678287160451,0.0073546510420032,0.0757634450292405,128-128-128,512,1000,243,1857.210107771214
9,926,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.5139515428502509,0.5173705558964878,0.2282999181967778,0.2200446170139031,0.0166009173321479,0.0166009173321479,0.019980289777216,0.0080226508003383,0.2378471368736784,128-128-128,512,1000,208,1447.3190981708467
10,933,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4844662346053095,0.481190500975547,0.21189236326748,0.2099919428185231,0.0208145747627818,0.0208145747627818,0.0328923539460506,0.0196565716980195,0.1954885458426429,128-128-128,512,1000,212,1391.4610720188357
