run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1.0,0.4396216584398232,0.4433037653118941,0.1997805912242228,0.2000588777618322,0.0234772850735552,0.0234772850735552,0.2249950262784837,128-128-128,512,1000,241.0,1593.8463816652074
2,187,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1.0,0.4348569999784343,0.4394470391131642,0.1996732040713237,0.1979503604471369,0.036091619675917,0.036091619675917,0.2454539190624654,128-128-128,512,1000,220.0,1441.8314167340286
3,377,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1.0,0.4626322840883231,0.4693476060943081,0.2070964736625513,0.2066436734291821,0.0350316575770112,0.0350316575770112,0.1999089909772815,128-128-128,512,1000,224.0,1491.8230757787824
4,440,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1.0,0.4400669489870959,0.4405674251127779,0.2017308050522674,0.2013917462109689,0.0190550739434812,0.0190550739434812,0.2475363072575805,128-128-128,512,1000,227.0,1578.8851605542004
5,520,32,100000,corr,2,MsplineN,relu,8,-16,0,None,,,,,,,,,128-128-128,512,1000,,
6,541,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1.0,0.4750349393414824,0.476043802231667,0.2158842252235215,0.2120395575194686,0.0340766103393336,0.0340766103393336,0.4310625460893599,128-128-128,512,1000,248.0,1804.0810174699875
7,721,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1.0,0.4750187948621412,0.4801448622285081,0.2103072515696202,0.2105713470107613,0.0268916446768523,0.0268916446768523,0.3003580184714098,128-128-128,512,1000,261.0,1968.8791993889024
8,869,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1.0,0.4626194187421024,0.4612209983234948,0.2096948866792659,0.2085754436797854,0.0200954571929797,0.0200954571929797,0.3019446689098789,128-128-128,512,1000,248.0,1841.8380507580005
9,926,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1.0,0.4665255768375786,0.4682832936166048,0.2075641565753433,0.2063680581036923,0.0320832721528457,0.0320832721528457,0.3643115118258383,128-128-128,512,1000,258.0,1821.416939765215
10,933,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1.0,0.4824793072725467,0.4844664296163458,0.2142226734644143,0.2141210477563278,0.0180387003182666,0.0180387003182666,0.1695831159422115,128-128-128,512,1000,234.0,1653.501913663
