run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.2907073227154191,0.2736864172853021,0.11876157241385572,0.10287339081317329,0.04310560440414233,0.022799241218642793,0.04318833023628139,0.024184647681411507,27.728445198480905,3.2733970076940677,256-256-256,512,1000,184,1431.1560401418246
2,187,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.359161277227999,0.2954067111552231,0.1654210103735317,0.09860868449694403,0.03027171685204852,0.017712857195107796,0.031423923070295526,0.018329208114155712,11.850481139737251,3.141839511783431,256-256-256,512,1000,207,1681.2091757012531
3,377,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.2384470856150216,0.22938840417369577,0.11008242016110513,0.0983536141283415,0.04717492345046382,0.02485015321310859,0.04571131174697381,0.02701838302028012,25.76021362997942,3.2829264329697447,256-256-256,512,1000,198,1710.2284647021443
4,440,400,100000,corr,2,MsplineN,relu,12,-16,0,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256-256-256,512,1000,nan,nan
4,440,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.11215645495501647,0.18270632438153767,0.07042932072564233,0.08647111361139098,0.06854406556650101,0.03717663650491685,0.06517495840929852,0.04037786663971407,20.61293877615406,3.251366544308833,256-256-256,512,1000,217,1700.7339148172177
5,520,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.2232983623082695,0.228207781598316,0.10739264091246921,0.09830536187560275,0.05182594313613899,0.02907601267058281,0.050837116338179215,0.031113315404929974,25.61345639443646,3.2520452145738536,256-256-256,512,1000,214,1707.2627953761257
6,541,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.28458074223653707,0.2573047208813948,0.14441087714617482,0.10187134303165021,0.0414094604793157,0.020870341851844353,0.039797455940647236,0.02262852589766744,12.371993129428178,3.1731922130820363,256-256-256,512,1000,200,1559.247074733954
7,721,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.5173644890747269,0.2862311876063204,0.21202565531363127,0.07167774001726973,0.027261115452113377,0.016469573841411796,0.027760343912145338,0.01702938461113976,12.2625939952238,3.22605847538687,256-256-256,512,1000,463,3370.2949422979727
8,869,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.44872095971998227,0.29732807084080193,0.18675794553672972,0.08818521754525342,0.03026411425166587,0.017702251461694594,0.02967824325480697,0.018318479557084287,15.024906895813,3.242089336766589,256-256-256,512,1000,237,1836.4514430239797
9,926,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.47617293525155935,0.288991306353063,0.20576056326165099,0.07584690513648505,0.03063600116245584,0.019724956466617986,0.030678132850903445,0.02114827413482032,11.81615054971157,3.226347233584307,256-256-256,512,1000,478,3699.1630286187865
10,933,400,100000,corr,2,MsplineN,relu,12,-16,0,None,0.2741449811068377,0.2554958920752639,0.14356614770778242,0.102066119314212,0.04088811689430633,0.021067806779735476,0.03845331190211167,0.02275226947320805,9.192351706398997,3.019302429174364,256-256-256,512,1000,226,1771.2321464382112
