run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.48284883291532166,0.4777677889228169,0.2095301221134207,0.20651039210950908,0.041914718162544294,0.041914718162544294,0.014799874342115266,256-256-256,512,1000,273,1783.2462343489751
3,377,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.45367566249219166,0.49308346527881797,0.2136464735495482,0.20557254642233147,0.017183171462166767,0.017183171462166767,0.025857695173006935,256-256-256,512,1000,308,2045.686634323094
4,440,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4472565707270065,0.44901301137226635,0.19764671731153405,0.19849568193515812,0.03637036953276282,0.03637036953276282,0.033280731981154076,256-256-256,512,1000,337,2123.1360258581117
2,187,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.509375016341763,0.5233177492715739,0.2231353885374805,0.22190929390895925,0.015669839951472857,0.015669839951472857,0.007930059943476132,256-256-256,512,1000,316,2116.481111877132
2,187,400,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.49326490939962464,0.4943802051296642,0.21603120471269402,0.21427147189714835,0.039749668789131956,0.039749668789131956,16.016002237473018,128-128-128,512,1000,442,3765.6970442160964
5,520,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.5080946101789342,0.5086699456724069,0.22179444206498017,0.22074992902462556,0.019543892625621315,0.019543892625621315,0.013560302827331122,256-256-256,512,1000,264,1827.074292934034
7,721,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4623716928853627,0.47164506883946977,0.2139047386622035,0.21397816606856193,0.019200489996370713,0.019200489996370713,0.0055564986056274345,256-256-256,512,1000,327,2277.604162381962
8,869,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.5060736230491066,0.5064936068978565,0.22241090015467155,0.2233815523876167,0.011113002699083644,0.011113002699083644,0.016815519729240457,256-256-256,512,1000,273,1849.6399143533781
9,926,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.43794010481886747,0.4392290278923896,0.20459171674128157,0.20312576396004153,0.04113900941104325,0.04113900941104325,0.031894663180431757,256-256-256,512,1000,293,1969.5974884908646
10,933,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.5072690510580997,0.5171185145245455,0.2210113529080011,0.22022501488676624,0.02290775221361626,0.02290775221361626,0.017134348760788957,256-256-256,512,1000,301,2164.8548554079607
2,187,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.5038938285605469,0.5304108986305465,0.22609480815651434,0.22080543716243312,0.01582614638691264,0.01582614638691264,0.008829835610061027,256-256-256,512,1000,262,1663.759745275136
6,541,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4760482369960015,0.4653961957394993,0.21319265133445242,0.21162432942522338,0.04740619906098638,0.04740619906098638,0.024714204135997658,256-256-256,512,1000,306,2049.8378018359654
