run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.5776862825372722,0.2508399893997525,0.2318893018286463,0.0479620591351233,0.0239656785373741,0.0075439254553976,0.0228778234411301,0.0098671521709155,0.0242255375579675,0.0134276942894111,128-128-128,512,1000,383,2062.193303341046
2,187,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.3894276984997261,0.3468483533648253,0.1810783208917735,0.0925047112601137,0.0279147746466454,0.0142511250175195,0.0305593736440035,0.0129857766875944,0.0241152179779086,0.0111525531962204,128-128-128,512,1000,414,2351.063909365796
3,377,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.2741279087759966,0.2646708308935397,0.1515419661426605,0.0867078561197162,0.0291809350971551,0.0099546458451762,0.0325289960989388,0.0130660538341652,0.0279918567894574,0.0050243048062229,128-128-128,512,1000,331,1908.379539419897
4,440,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.1415107506835377,0.1542965404047188,0.1370593188771956,0.0912699458784438,0.0321487416477512,0.0132063094126702,0.0327723811288405,0.0148362698751389,0.0309017418885012,0.0107279027707503,128-128-128,512,1000,346,2036.6871302314105
5,520,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.6045114646134968,0.2726659000406402,0.2362142599527545,0.0397491361806719,0.0188392411531022,0.0058629880743239,0.0203843517858422,0.0081533559315844,0.0236803692495783,0.0060458383883255,128-128-128,512,1000,459,2687.7372131240554
6,541,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.1314449254678635,0.1516796777761292,0.0949615127939691,0.0881514662025864,0.0435858231737017,0.0121820110194816,0.0406962001207343,0.0207044327442471,0.0344592433915484,0.0181908452094388,128-128-128,512,1000,406,2082.2062950041145
7,721,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.4662006943631273,0.2907895527154572,0.2272414485393283,0.0531618251205501,0.0225706283526191,0.006372623955583,0.0253247757700658,0.0096220741457346,0.0715779801297541,0.0191983203794993,128-128-128,512,1000,408,2495.0637829089537
8,869,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.553435894435177,0.2428181208857815,0.2222707948203469,0.0650724157037804,0.0230273932181895,0.0102500084108527,0.0233423134600751,0.0102067925927135,0.0288630668844082,0.010758832369378,128-128-128,512,1000,531,3099.090439912863
9,926,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.6196363732287746,0.1971890733331445,0.2431401415880887,0.0298156182110338,0.0226284166483761,0.0069579225977934,0.0236281455705336,0.0101587406953706,0.033252957294465,0.0180449848884196,128-128-128,512,1000,405,3004.3290493870154
10,933,4,100000,corr,2,MsplineN,relu,8,-16,0,None,0.4755491059404999,0.2799747362794712,0.2016267983735477,0.0737736493791466,0.0267002454947232,0.0081320333019997,0.023998559321775,0.0099686196635303,0.027600969986132,0.0108512144564921,128-128-128,512,1000,377,2931.5763821182773
