run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.5776862825372722,0.2508399893997525,0.23188930182864637,0.04796205913512338,0.023965678537374108,0.007543925455397677,0.02287782344113015,0.009867152170915586,0.024225537557967552,0.013427694289411155,128-128-128,512,1000,383,2062.193303341046
2,187,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.38942769849972614,0.34684835336482533,0.18107832089177353,0.09250471126011371,0.027914774646645418,0.014251125017519562,0.030559373644003594,0.012985776687594408,0.02411521797790861,0.011152553196220402,128-128-128,512,1000,414,2351.0639093657956
3,377,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.27412790877599663,0.26467083089353977,0.15154196614266055,0.08670785611971629,0.029180935097155174,0.009954645845176267,0.03252899609893887,0.01306605383416525,0.027991856789457446,0.005024304806222994,128-128-128,512,1000,331,1908.379539419897
4,440,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.14151075068353772,0.15429654040471888,0.13705931887719564,0.09126994587844389,0.032148741647751236,0.013206309412670203,0.03277238112884059,0.014836269875138964,0.030901741888501255,0.01072790277075036,128-128-128,512,1000,346,2036.6871302314103
5,520,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.6045114646134968,0.27266590004064023,0.23621425995275452,0.039749136180671996,0.018839241153102277,0.005862988074323921,0.02038435178584222,0.0081533559315844,0.023680369249578337,0.0060458383883255406,128-128-128,512,1000,459,2687.7372131240554
6,541,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.13144492546786352,0.1516796777761292,0.09496151279396917,0.08815146620258642,0.04358582317370177,0.012182011019481694,0.040696200120734306,0.020704432744247197,0.03445924339154847,0.018190845209438884,128-128-128,512,1000,406,2082.2062950041145
7,721,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.4662006943631273,0.29078955271545726,0.2272414485393283,0.053161825120550184,0.022570628352619117,0.006372623955583009,0.025324775770065876,0.009622074145734629,0.07157798012975415,0.019198320379499305,128-128-128,512,1000,408,2495.0637829089537
8,869,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.553435894435177,0.2428181208857815,0.22227079482034692,0.06507241570378047,0.02302739321818951,0.01025000841085271,0.02334231346007519,0.010206792592713582,0.02886306688440829,0.010758832369378005,128-128-128,512,1000,531,3099.090439912863
9,926,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.6196363732287746,0.1971890733331445,0.24314014158808872,0.029815618211033824,0.022628416648376188,0.0069579225977934415,0.02362814557053367,0.01015874069537065,0.033252957294465035,0.018044984888419643,128-128-128,512,1000,405,3004.3290493870154
10,933,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.4755491059404999,0.2799747362794712,0.20162679837354772,0.07377364937914664,0.02670024549472329,0.00813203330199976,0.023998559321775078,0.009968619663530352,0.027600969986132002,0.010851214456492139,128-128-128,512,1000,377,2931.5763821182773
