run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,1,64,100000,,2,MsplineN,relu,8,-16,0,,0.33310407406786274,0.28346133434684817,0.16540302941821924,0.09792463364950096,0.03661408452091548,0.018632474369206155,0.035647775242278586,0.020486830024658415,0.5269241473717917,0.05777702791818822,"128-128-128",512,2,233,39.46938439831138
2,187,188,64,100000,,2,MsplineN,relu,8,-16,0,,0.2994769405311442,0.27750175699808244,0.15598974550216227,0.09785126271697228,0.04059872206997406,0.02163690241158709,0.0414341515490938,0.02478582264795169,0.5299987360503231,0.09914500810400283,"128-128-128",512,2,284,35.49799698870629
3,377,378,64,100000,,2,MsplineN,relu,8,-16,0,,0.37057541749511796,0.28696660645661315,0.17830882450992175,0.09005119331262705,0.03000674928908494,0.01284158557886215,0.03122127288887826,0.013279895690541369,0.497191983008614,0.043226177167007857,"128-128-128",512,2,245,33.59356783982366
4,440,441,64,100000,,2,MsplineN,relu,8,-16,0,,0.3901153075092725,0.26553713317801947,0.19404191065158063,0.08304905255231873,0.03396887542485011,0.01720726026726283,0.033013009483270135,0.018692061639117925,0.5311106678115352,0.0852661125098774,"128-128-128",512,2,225,33.6218502279371
5,520,521,64,100000,,2,MsplineN,relu,8,-16,0,,0.39312192174595506,0.28345303779337194,0.18075149655977235,0.08746722900262016,0.031365081304380725,0.016770579578264787,0.031014340741098812,0.017388780424443744,0.4566948961478771,0.07842778727027078,"128-128-128",512,2,239,30.697084854356945
6,541,542,64,100000,,2,MsplineN,relu,8,-16,0,,0.26923305602216296,0.2612483722086268,0.1516352097383633,0.09862069859782636,0.04681783018858693,0.028439767277819203,0.04614989663825662,0.029020574026940325,0.6851948590523346,0.16188776300064442,"128-128-128",512,2,233,37.346916555427015
7,721,722,64,100000,,2,MsplineN,relu,8,-16,0,,0.31023953064383525,0.2904758191652923,0.15063522968927584,0.10175189836165062,0.036350535511548876,0.021218147958012776,0.038262102206525185,0.0220342834926772,0.48755853075868627,0.08829824648204466,"128-128-128",512,2,209,30.098154630512
8,869,870,64,100000,,2,MsplineN,relu,8,-16,0,,0.40563262817294155,0.30337251664789505,0.1887564591909615,0.08650835201601477,0.028358659672841773,0.012693987223329336,0.029028839179697646,0.01429173841585635,0.44454306755288153,0.06588159587963308,"128-128-128",512,2,298,38.92432437930256
9,926,927,64,100000,,2,MsplineN,relu,8,-16,0,,0.4071337256850175,0.30484143942971,0.18713754004339642,0.089004519479415,0.030112832285702367,0.017818877487084182,0.029725165307371893,0.018476061330086564,0.42559912761264435,0.10331186827163054,"128-128-128",512,2,230,32.330694547854364
10,933,934,64,100000,,2,MsplineN,relu,8,-16,0,,0.11123150600288154,0.19863821118517255,0.07395521672010572,0.09053870197127631,0.06836186600781118,0.03623713991422179,0.06127057481408402,0.04234525041696673,0.7870601409944001,0.18046739890233426,"128-128-128",512,2,244,34.95085331890732
