run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,1,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.3672486875296964,0.2765985897632096,0.1940043440507469,0.0841091890095719,0.0394747138164962,0.023975875450981,0.0395991052507227,0.0252940503867125,0.058275694185931,0.0170026614571383,128-128-128,512,2,269,73.44374976300605
2,187,188,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.3442674653025279,0.2830610668709731,0.1806112350440044,0.0911249151151074,0.0316731780000753,0.0201619009409521,0.0341296900101747,0.0178111838051084,0.070436344517843,0.0186808072213811,128-128-128,512,2,261,104.28541688800031
3,377,378,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.2255060558706247,0.2271988280367192,0.1524131235052732,0.0926384106273679,0.0369475131801819,0.0200223446589376,0.0376055763924582,0.019294658458629,0.0824781899729766,0.0135194496657426,128-128-128,512,2,262,102.4660991760029
4,440,441,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.2357508050103794,0.2737381172528172,0.131122177755253,0.1114227694621986,0.0388871790737131,0.0226822207760286,0.0421066620770479,0.0199495190213713,0.0791040130267349,0.0177436672825798,128-128-128,512,2,277,101.78040623099514
5,520,521,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.3580935606454336,0.2927247599270205,0.1887522144797968,0.0852489509920926,0.0297178210952586,0.0171277657301627,0.0307649262110012,0.0160218685556243,0.0494497456998344,0.015860507144061,128-128-128,512,2,294,99.0428671970003
6,541,542,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.3940107712770629,0.275748329180415,0.1908288585462907,0.0907908518170407,0.0318639068526936,0.0196657385204609,0.0335918583434137,0.0192068953901358,0.0824535106622289,0.0281508229421008,128-128-128,512,2,278,97.97841975600022
7,721,722,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.4458886379977981,0.2807259034963484,0.2092923125661687,0.0697214584558176,0.0277843912397751,0.0136257450910741,0.0295379432806377,0.0141979818150792,0.0635946633649859,0.0170357954956192,128-128-128,512,2,303,84.73867560899816
8,869,870,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.4747743376064869,0.2639793833906922,0.2229647980252811,0.0569328449157588,0.0310371503734064,0.0213168893070841,0.0328099376712548,0.0209637876958469,0.0640153657481921,0.0136558806264269,128-128-128,512,2,283,88.12702990300022
9,926,927,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.3415804018509947,0.2835490610160284,0.201921729549712,0.0728151924558394,0.0363301812038377,0.0234440239371532,0.0368146529458311,0.0221568467543083,0.0563195398022143,0.0177267744340757,128-128-128,512,2,224,86.14730719399813
10,933,934,8,100000,None,2,MsplineN,relu,12,-16,0,None,0.4189548939351102,0.31605529091818,0.1862598476456044,0.0916205423982014,0.027217875886918,0.013166085065097,0.0275552564018179,0.0135256673790432,0.0664352256942939,0.0122541838058111,128-128-128,512,2,314,101.78587215000152
