run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
1,0,1,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.18142398075307664,0.21509970549723084,0.12742280056357652,0.10114110659656393,0.037153256779355756,0.013895955672007684,0.03508490212329244,0.017998411004043216,0.04348184684058411,0.012496277246424263,128-128-128,512,1000,426,3093.601101201988,6.0723624840029515,3122.435355544003,NVIDIA A40
2,0,1,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.4260619178869631,0.2997786741093846,0.20375555978275353,0.0730978045376664,0.02684231593962,0.010327566529239137,0.028083444741679287,0.01101329991969661,0.04764301330452657,0.015083269887234262,256-256-256,512,1000,334,2458.1196311349922,5.489712770999176,2486.6541101909825,NVIDIA A40
3,0,1,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.1520551278912936,0.1921855802655956,0.12059539240695953,0.10106253233000859,0.0425857779749392,0.017366325245693943,0.040659469301138174,0.021995266168591817,0.0272698019494311,0.00904965316850845,128-128-128,512,1000,350,2607.357635522989,4.7068269760056864,2634.6197482279968,NVIDIA A40
4,0,1,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.2854086467617193,0.2887633545699411,0.1687893036568831,0.09764806843775882,0.02997182470128592,0.011637192479865341,0.028651744686351607,0.014770758933964819,0.024745286338910388,0.01060369003954504,256-256-256,512,1000,273,2008.6267150979838,5.631283413997153,2037.6676199450158,NVIDIA A40
5,187,188,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.5129721724928313,0.28460691899854673,0.22450116044957139,0.05612243848564552,0.021018904117701513,0.006544526437111986,0.020603485091708364,0.006900490797946771,0.022874071645492728,0.009094590363347711,128-128-128,512,1000,434,3217.5850141789997,5.695405303005828,3244.751666377997,NVIDIA A40
6,187,188,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.5285986788237705,0.26465101648492206,0.23168397157407306,0.039242679795072774,0.02408789945748293,0.006286124874955177,0.02356615001066829,0.008703498028369483,0.055485145822449455,0.01743246556537476,256-256-256,512,1000,266,1951.8654808860156,5.4891336529981345,1978.6754135770025,NVIDIA A40
7,187,188,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.44658294963349715,0.2906663896923304,0.21733593747067337,0.06004080693009215,0.02614292423990326,0.008653274193626603,0.025850127377481418,0.011152688818758121,0.021350985033076243,0.006821312800888137,128-128-128,512,1000,399,2995.9352554260113,4.786769461003132,3026.6517598140053,NVIDIA A40
8,187,188,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.34506265715894047,0.21955374220362234,0.1977175019418918,0.07148780525898585,0.038802272480693616,0.011530943633055808,0.03689591009054927,0.017916335918097215,0.032934509808466614,0.014323912471390322,256-256-256,512,1000,315,2347.933135107014,4.802547318016877,2375.0323584449943,NVIDIA A40
9,377,378,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.38864436818492243,0.3560425436426835,0.1547835896934986,0.10318876093499595,0.030855281995899875,0.012799861176955028,0.032466376146591536,0.014388545541075772,0.043769649113462886,0.01966767026544182,128-128-128,512,1000,390,2896.820216633001,5.469454030011548,2924.045716220018,NVIDIA A40
10,377,378,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.4206146102666096,0.34798845707277054,0.1794064018714711,0.09261092964261829,0.02861899095134346,0.011403967990147581,0.02777841727470244,0.013970633737128308,0.035919348711537555,0.014602952046843415,256-256-256,512,1000,431,3243.954714770982,5.650234596017981,3271.664250778005,NVIDIA A40
11,377,378,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.3996367158933059,0.28696807524637064,0.19721932888247737,0.08197431728130555,0.03102751686843408,0.014901224559872686,0.029856332667439766,0.018324241772580328,0.037562832626512166,0.02019646305608731,128-128-128,512,1000,375,2771.8722759139782,5.6880187790084165,2802.533343768009,NVIDIA A40
12,377,378,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.40964076893024626,0.2795917695555984,0.21460301253824512,0.06151384105734084,0.0251469605374387,0.007574439376848583,0.024371348590962037,0.009600816694103514,0.037363211281930875,0.022853648256445983,256-256-256,512,1000,321,2384.385560674011,5.525834386004135,2415.553298176994,NVIDIA A40
13,440,441,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.33967018331217486,0.2523568213902654,0.19478508045116757,0.08375294902307853,0.032366292467219795,0.014049896684394571,0.03035927597835459,0.01825696088884217,0.025702459607841687,0.0075434091990909755,128-128-128,512,1000,465,3509.722683494998,4.978828503983095,3536.0327871019836,NVIDIA A40
14,440,441,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.24436861126851528,0.2440890039722333,0.14472628786947098,0.0954458859734994,0.04487757076800249,0.019214881135846306,0.041802266112207304,0.02587029660647629,0.02842675099379809,0.009007909303618625,256-256-256,512,1000,315,2404.808800250001,5.527703892992577,2432.0736392190156,NVIDIA A40
15,440,441,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.23871864496637887,0.24723680166091822,0.14972351094615974,0.08831923795651661,0.03086406244215677,0.01239740102436239,0.030665386368488277,0.014751926167735597,0.03657965233121419,0.010857432094752475,128-128-128,512,1000,427,3193.3137821859855,5.7203133500006516,3219.8612862589944,NVIDIA A40
16,440,441,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.17238297081821496,0.21888514260364916,0.11558805341575462,0.10975905375230648,0.036343438648059175,0.013773036632556876,0.03463815992567263,0.017943098374307846,0.026486809526978523,0.0068622021587114446,256-256-256,512,1000,274,2086.0382926700113,5.665177165006753,2112.8020125609764,NVIDIA A40
17,520,521,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.5583589849781049,0.23377164147367976,0.2376317011154298,0.04255067489633986,0.02553594210490817,0.008610752491551656,0.0250738738782991,0.011322589500840054,0.028810868069169344,0.012561310078282822,128-128-128,512,1000,392,2929.3662852559937,5.636307622015011,2955.6026374770154,NVIDIA A40
18,520,521,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.5920132297347491,0.25224975703375735,0.23916242492901613,0.04464220771055877,0.023204924414398188,0.0079520480346114,0.023946722462589415,0.010167015218772332,0.03479802753440231,0.015395826193578268,256-256-256,512,1000,315,2405.9234157239844,4.78660414100159,2432.3565801290097,NVIDIA A40
19,520,521,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.5773409689580777,0.28731930786768417,0.236661844520693,0.034561706580932355,0.022035939231378365,0.007219249105204132,0.020894855537511376,0.00925749629965314,0.029337560020258658,0.014984481760802007,128-128-128,512,1000,379,2862.185771789984,5.57751887399354,2888.6239496550115,NVIDIA A40
