run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
1,0,1,4,100000,,2,MsplineN,relu,8,-16,0,,0.1814239807530766,0.2150997054972308,0.1274228005635765,0.1011411065965639,0.0371532567793557,0.0138959556720076,0.0350849021232924,0.0179984110040432,0.0434818468405841,0.0124962772464242,128-128-128,512,1000,426,3093.601101201988,6.072362484002952,3122.435355544003,NVIDIA A40
2,0,1,4,100000,,2,MsplineN,relu,8,-16,0,,0.4260619178869631,0.2997786741093846,0.2037555597827535,0.0730978045376664,0.02684231593962,0.0103275665292391,0.0280834447416792,0.0110132999196966,0.0476430133045265,0.0150832698872342,256-256-256,512,1000,334,2458.119631134992,5.489712770999176,2486.6541101909825,NVIDIA A40
3,0,1,4,100000,,2,MsplineN,relu,12,-16,0,,0.1520551278912936,0.1921855802655956,0.1205953924069595,0.1010625323300085,0.0425857779749392,0.0173663252456939,0.0406594693011381,0.0219952661685918,0.0272698019494311,0.0090496531685084,128-128-128,512,1000,350,2607.357635522989,4.7068269760056864,2634.6197482279968,NVIDIA A40
4,0,1,4,100000,,2,MsplineN,relu,12,-16,0,,0.2854086467617193,0.2887633545699411,0.1687893036568831,0.0976480684377588,0.0299718247012859,0.0116371924798653,0.0286517446863516,0.0147707589339648,0.0247452863389103,0.010603690039545,256-256-256,512,1000,273,2008.626715097984,5.631283413997153,2037.667619945016,NVIDIA A40
5,187,188,4,100000,,2,MsplineN,relu,8,-16,0,,0.5129721724928313,0.2846069189985467,0.2245011604495713,0.0561224384856455,0.0210189041177015,0.0065445264371119,0.0206034850917083,0.0069004907979467,0.0228740716454927,0.0090945903633477,128-128-128,512,1000,434,3217.585014179,5.695405303005828,3244.751666377997,NVIDIA A40
6,187,188,4,100000,,2,MsplineN,relu,8,-16,0,,0.5285986788237705,0.264651016484922,0.231683971574073,0.0392426797950727,0.0240878994574829,0.0062861248749551,0.0235661500106682,0.0087034980283694,0.0554851458224494,0.0174324655653747,256-256-256,512,1000,266,1951.865480886016,5.489133652998135,1978.6754135770025,NVIDIA A40
7,187,188,4,100000,,2,MsplineN,relu,12,-16,0,,0.4465829496334971,0.2906663896923304,0.2173359374706733,0.0600408069300921,0.0261429242399032,0.0086532741936266,0.0258501273774814,0.0111526888187581,0.0213509850330762,0.0068213128008881,128-128-128,512,1000,399,2995.9352554260117,4.786769461003132,3026.6517598140053,NVIDIA A40
8,187,188,4,100000,,2,MsplineN,relu,12,-16,0,,0.3450626571589404,0.2195537422036223,0.1977175019418918,0.0714878052589858,0.0388022724806936,0.0115309436330558,0.0368959100905492,0.0179163359180972,0.0329345098084666,0.0143239124713903,256-256-256,512,1000,315,2347.933135107014,4.802547318016877,2375.0323584449943,NVIDIA A40
9,377,378,4,100000,,2,MsplineN,relu,8,-16,0,,0.3886443681849224,0.3560425436426835,0.1547835896934986,0.1031887609349959,0.0308552819958998,0.012799861176955,0.0324663761465915,0.0143885455410757,0.0437696491134628,0.0196676702654418,128-128-128,512,1000,390,2896.820216633001,5.469454030011548,2924.045716220018,NVIDIA A40
10,377,378,4,100000,,2,MsplineN,relu,8,-16,0,,0.4206146102666096,0.3479884570727705,0.1794064018714711,0.0926109296426182,0.0286189909513434,0.0114039679901475,0.0277784172747024,0.0139706337371283,0.0359193487115375,0.0146029520468434,256-256-256,512,1000,431,3243.954714770982,5.650234596017981,3271.664250778005,NVIDIA A40
11,377,378,4,100000,,2,MsplineN,relu,12,-16,0,,0.3996367158933059,0.2869680752463706,0.1972193288824773,0.0819743172813055,0.031027516868434,0.0149012245598726,0.0298563326674397,0.0183242417725803,0.0375628326265121,0.0201964630560873,128-128-128,512,1000,375,2771.8722759139782,5.6880187790084165,2802.533343768009,NVIDIA A40
12,377,378,4,100000,,2,MsplineN,relu,12,-16,0,,0.4096407689302462,0.2795917695555984,0.2146030125382451,0.0615138410573408,0.0251469605374387,0.0075744393768485,0.024371348590962,0.0096008166941035,0.0373632112819308,0.0228536482564459,256-256-256,512,1000,321,2384.385560674011,5.525834386004135,2415.553298176994,NVIDIA A40
13,440,441,4,100000,,2,MsplineN,relu,8,-16,0,,0.3396701833121748,0.2523568213902654,0.1947850804511675,0.0837529490230785,0.0323662924672197,0.0140498966843945,0.0303592759783545,0.0182569608888421,0.0257024596078416,0.0075434091990909,128-128-128,512,1000,465,3509.722683494998,4.978828503983095,3536.032787101984,NVIDIA A40
14,440,441,4,100000,,2,MsplineN,relu,8,-16,0,,0.2443686112685152,0.2440890039722333,0.1447262878694709,0.0954458859734994,0.0448775707680024,0.0192148811358463,0.0418022661122073,0.0258702966064762,0.028426750993798,0.0090079093036186,256-256-256,512,1000,315,2404.808800250001,5.527703892992577,2432.073639219016,NVIDIA A40
15,440,441,4,100000,,2,MsplineN,relu,12,-16,0,,0.2387186449663788,0.2472368016609182,0.1497235109461597,0.0883192379565166,0.0308640624421567,0.0123974010243623,0.0306653863684882,0.0147519261677355,0.0365796523312141,0.0108574320947524,128-128-128,512,1000,427,3193.313782185985,5.720313350000652,3219.8612862589944,NVIDIA A40
16,440,441,4,100000,,2,MsplineN,relu,12,-16,0,,0.1723829708182149,0.2188851426036491,0.1155880534157546,0.1097590537523064,0.0363434386480591,0.0137730366325568,0.0346381599256726,0.0179430983743078,0.0264868095269785,0.0068622021587114,256-256-256,512,1000,274,2086.0382926700117,5.665177165006753,2112.8020125609764,NVIDIA A40
17,520,521,4,100000,,2,MsplineN,relu,8,-16,0,,0.5583589849781049,0.2337716414736797,0.2376317011154298,0.0425506748963398,0.0255359421049081,0.0086107524915516,0.0250738738782991,0.01132258950084,0.0288108680691693,0.0125613100782828,128-128-128,512,1000,392,2929.3662852559937,5.636307622015011,2955.6026374770154,NVIDIA A40
