run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input,epochs_output,training_time,prediction_time,total_time,best_train_loss,best_val_loss,best_train_epoch,best_val_epoch,logprob_ref_ref_sum_list,logprob_ref_alt_sum_list,logprob_alt_alt_sum_list,lik_ratio_list,lik_ratio_norm_list,ks_means,ks_stds,ad_means,ad_stds,wd_means,wd_stds,swd_means,swd_stds
327,187,188,0,0,1000,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,9352304,0,512,relu,,0.0,NVIDIA A40,1000,1000,17294.40648193704,40.11374825891107,17334.52023019595,383.507080078125,386.9280700683594,999,946,,,,,,,,,,,,,
332,377,378,0,0,1000,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,18765680,0,512,relu,,0.0,NVIDIA A40,1000,1000,17924.717900434975,47.736136944033206,17972.454037379008,381.2347106933594,388.8985595703125,999,989,,,,,,,,,,,,,
336,440,441,0,0,1000,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,18765680,0,512,relu,,0.0,NVIDIA A40,1000,1000,17726.556842862163,27.177126453258097,17753.73396931542,382.91436767578125,386.94580078125,993,992,,,,,,,,,,,,,
339,520,521,0,0,1000,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,9352304,0,512,relu,,0.0,NVIDIA A40,1000,1000,17328.10497385217,36.1642924901098,17364.26926634228,383.4747314453125,386.548828125,980,950,,,,,,,,,,,,,
342,541,542,0,0,1000,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,12597680,0,512,relu,,0.0,NVIDIA A40,1000,994,15615.47276391089,55.35481943190098,15670.82758334279,382.14434814453125,387.90216064453125,992,893,,,,,,,,,,,,,
346,721,722,0,0,1000,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,12597680,0,512,relu,,0.0,NVIDIA A40,1000,1000,15963.143078653142,46.88107533659786,16010.02415398974,382.8526916503906,387.1062927246094,999,989,,,,,,,,,,,,,
349,869,870,0,0,1000,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,6256304,0,512,relu,,0.0,NVIDIA A40,1000,1000,15599.900984387845,48.09139210823923,15647.992376496084,384.1496887207031,386.13653564453125,999,989,,,,,,,,,,,,,
353,926,927,0,0,1000,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,6256304,0,512,relu,,0.0,NVIDIA A40,1000,1000,15559.29802142689,45.148167851846665,15604.446189278737,384.7304382324219,386.8019714355469,976,989,,,,,,,,,,,,,
356,926,927,0,0,1000,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,18765680,0,512,relu,,0.0,NVIDIA A40,1000,944,17323.389384801034,56.14321303507313,17379.532597836107,381.98675537109375,387.7655944824219,942,843,,,,,,,,,,,,,
359,933,934,0,0,1000,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,9352304,0,512,relu,,0.0,NVIDIA A40,1000,1000,17460.76379524218,30.742851042654365,17491.506646284834,383.2196350097656,386.5206298828125,992,993,,,,,,,,,,,,,
