run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4485460546033351,0.4542771590654183,0.21328834283051412,0.20850166808171428,0.01818050542083677,0.01818050542083677,0.016597970158428742,128-128-128,256,1000,268,1424.0547421057709
2,0,4,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4449046176213434,0.4571180515681247,0.20484426947505038,0.19643465286310607,0.020438494272708913,0.020438494272708913,0.01688019177704202,256-256-256,256,1000,377,1941.3347414270975
3,0,4,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.49998232476911153,0.497468492017315,0.2168694706996401,0.2175647014429803,0.021466835128515206,0.021466835128515206,0.007302766011197694,128-128-128,256,1000,283,2756.2922809021547
4,0,4,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.5162153940811518,0.5151208803798029,0.21744437601819167,0.21695199149849803,0.019516769523061188,0.019516769523061188,0.006645498075073921,256-256-256,256,1000,337,3307.4658600520343
5,0,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.5108651243791291,0.4934623514577522,0.22067952464395763,0.22217906244709193,0.01872716781153541,0.01872716781153541,0.04589769815389581,128-128-128,256,1000,325,1735.637262927834
6,0,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.45925558436187797,0.468890848981939,0.20440307266818053,0.20354918297685687,0.02320473304485396,0.02320473304485396,0.06006131652413593,256-256-256,256,1000,257,1344.7210844280198
7,0,8,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.44871401017489815,0.454882686320243,0.20983254945639418,0.207264029987463,0.026137561510840193,0.026137561510840193,0.04498031977239876,128-128-128,256,1000,198,2016.5098664984107
8,0,8,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.3070278050383105,0.32910761539605915,0.1711206349717795,0.157643060017595,0.06316209502568201,0.06316209502568201,0.08293069720269183,256-256-256,256,1000,155,1541.3749292800203
9,0,16,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.3864479493527688,0.40740826196068747,0.19491364021918545,0.18609085354119542,0.032122303752462666,0.032122303752462666,0.7910102012563407,128-128-128,256,1000,147,740.2151051829569
10,0,16,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.30330425866352717,0.27533072973845224,0.15753324937591945,0.16050209740339277,0.04333688350347824,0.04333688350347824,0.4107409396674483,256-256-256,256,1000,118,619.043305719737
11,0,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.3776856248462363,0.38471707575312597,0.1910308184029415,0.17846088355121495,0.027130078635013682,0.027130078635013682,0.5300922615735741,128-128-128,256,1000,147,1403.0853386679664
12,0,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.2636429158942249,0.21846363230917512,0.1063863902088485,0.12770076830459384,0.03853551590083023,0.03853551590083023,0.4822847846232939,256-256-256,256,1000,91,920.5234222277068
13,0,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.44181126018792743,0.47084816757057524,0.20894857209580986,0.20035157763699143,0.023864736450246858,0.023864736450246858,0.1991799085126011,128-128-128,256,1000,207,1104.2100491998717
14,0,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.27705243657342843,0.2780915711063998,0.17031360649965832,0.14611458466598043,0.060166739073559114,0.060166739073559114,0.5975015438918679,256-256-256,256,1000,114,594.1312179891393
15,0,32,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.29289191273646775,0.30104084246603124,0.162232460160728,0.14819245811876414,0.04925563216505485,0.04925563216505485,0.4916475225444586,128-128-128,256,1000,143,1357.8447110261768
16,0,32,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.251630989219583,0.2703813463519689,0.1550616946176261,0.1336867995575452,0.08201409598202519,0.08201409598202519,0.7605103131144766,256-256-256,256,1000,114,1156.982228192035
17,0,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4149401961226699,0.4426222020925175,0.2031399085655321,0.19400346979812966,0.01882185467787441,0.01882185467787441,0.30016802050686214,128-128-128,256,1000,245,1175.3355621481314
18,0,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.26174383089811365,0.303199284909332,0.15912102467808192,0.1350364869554613,0.0661569210567343,0.0661569210567343,0.8514360452043425,256-256-256,256,1000,125,781.1742582917213
19,0,64,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.35097950781208015,0.3842863513266279,0.18976848304222682,0.16735324066213467,0.050754392093540206,0.050754392093540206,0.6764440000061583,128-128-128,256,1000,188,2084.5052265040576
20,0,64,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.23521275724808344,0.27395285338828235,0.15221505928016754,0.1268952615758776,0.08021072706130446,0.08021072706130446,0.8470935155723809,256-256-256,256,1000,127,1444.768197145313
21,0,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4197094591532733,0.44814991345925387,0.20846276858377522,0.19556512423286254,0.04220484269757061,0.04220484269757061,0.5872746819642384,128-128-128,256,1000,429,2414.611815307755
22,0,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.33952286341572774,0.39524937182030107,0.19062126607627805,0.1664422357548023,0.06800891040219836,0.06800891040219836,0.987852767267347,256-256-256,256,1000,316,1856.2962636137381
23,0,100,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.42671037183370947,0.45096618806417216,0.21105238599759457,0.19751964728287386,0.055013473917070906,0.055013473917070906,1.1992562620667742,128-128-128,256,1000,245,2720.529771722853
24,0,100,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.2933133674728434,0.3438542190458519,0.18001867197981947,0.14593019407659716,0.08229145231517368,0.08229145231517368,1.0377309056784823,256-256-256,256,1000,201,2318.97349005891
25,0,200,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.00505949463918661,2.846885475976793e-19,0.0010000000000000002,0.0033800571633992604,0.8114484181325661,0.8114484181325661,25.56995678261327,128-128-128,256,1000,670,3921.4301185039803
26,0,200,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.076869670426481,0.03321194990281297,0.02538559580635109,0.04730018351916935,0.18631719058514,0.18631719058514,11.026044969526092,256-256-256,256,1000,82,480.33094187406823
27,0,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.3624822410362941,0.39907471833197083,0.19446854201954542,0.1686390550735295,0.041051421300586644,0.041051421300586644,2.2885353426360906,128-128-128,256,1000,239,2761.962029209826
28,0,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.5000962861993458,0.5304727013219306,0.22210574473841266,0.21225092634255222,0.035339452264878835,0.035339452264878835,2.091150240939503,256-256-256,256,1000,548,6051.910729699768
29,0,400,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.010292876832635692,3.9165490831399544e-07,0.0010000000000000002,0.0067930941187325225,0.424651802561265,0.424651802561265,40.95971566513498,128-128-128,256,1000,153,867.0077782659791
30,0,400,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.12150530750500688,0.10486954384614673,0.05046423681893698,0.06579449317522848,0.15737283288098633,0.15737283288098633,42.039045288769515,256-256-256,256,1000,412,2372.3503220379353
31,0,400,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.1858395522296287,0.16699916096006845,0.09778918957617239,0.09588084251240793,0.16131819870962266,0.16131819870962266,29.161183264584842,128-128-128,256,1000,350,3943.314110109117
32,0,400,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.23839986856474044,0.26298147750876677,0.1312810559945935,0.1143443280996057,0.10834359428569318,0.10834359428569318,44.78950824638339,256-256-256,256,1000,163,1833.522157351952
33,0,1000,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.0012750285292029318,6.665264789688551e-16,0.0010000000000000002,0.0016652932315988549,0.6326882318236918,0.6326882318236918,144.5336713570237,128-128-128,256,1000,77,489.03993066074327
34,0,1000,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.003803116294509211,8.247460528190537e-10,0.0010000000000000002,0.0035041123472120453,0.4948592362204084,0.4948592362204084,125.60262805024921,256-256-256,256,1000,75,640.8296904950403
35,0,1000,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.331278049197579,0.35353798109418877,0.18165468000057333,0.16671308480787247,0.07674447412608185,0.07674447412608185,13.42779091484689,128-128-128,256,1000,592,8504.73350052908
36,0,1000,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.06930855501792961,0.033322850363145265,0.026672111329723476,0.049304348063072656,0.19535006515712897,0.19535006515712897,32.04224267428945,256-256-256,256,1000,233,3732.4494111011736
