run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.28445016819658,0.3237086168482143,0.1342766185736442,0.1082939446900532,0.0287568753704428,0.014820206428368,0.0290546534983827,0.0134485070746975,0.0263775914834296,0.0066664584410252,128-128-128,256,1000,268,1424.0547421057709
2,0,4,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.1848146314455492,0.2364632752610182,0.1023268948372296,0.1126529320858843,0.0323138096255063,0.0124106112496384,0.0322854641405422,0.0125655204074721,0.0280905072890845,0.0100925389680471,256-256-256,256,1000,377,1941.3347414270968
3,0,4,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.2957525883572774,0.2440706980124939,0.1542550144341603,0.0993035829576953,0.0288679427301883,0.0092210675794729,0.0280522233183599,0.0126848412263123,0.0185621694830867,0.00696321923609,128-128-128,256,1000,283,2756.2922809021547
4,0,4,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.3078172443759161,0.2555189481300076,0.1880320047735156,0.0801010694443879,0.0266373977324366,0.0081385534902442,0.0268581724225587,0.0110764385895961,0.0184899473834281,0.0086628949386362,256-256-256,256,1000,337,3307.4658600520343
5,0,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.3759504409736526,0.2983136263203748,0.183055923330554,0.0816192804387755,0.0340444951704481,0.0186211111321632,0.0355212814565257,0.0173689148777097,0.0765551007036693,0.0234891324236237,128-128-128,256,1000,325,1735.637262927834
6,0,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.2728704616007659,0.2337249446285272,0.1505697904856325,0.0948519763493559,0.0335844097742709,0.0182032759046184,0.0365979641980479,0.0191701701614112,0.0932696001132524,0.0237872469394027,256-256-256,256,1000,257,1344.7210844280198
7,0,8,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.2093791539590325,0.2255834820016103,0.1226939813582224,0.0989591900402611,0.040152371965724,0.0215082399224873,0.0423211886219707,0.0211736497047397,0.0800215086540862,0.0203166041821826,128-128-128,256,1000,198,2016.5098664984107
8,0,8,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.0135178633450609,0.0425811510758767,0.0106212725409394,0.0259560523345,0.072744391643258,0.0369949436663392,0.078336768238183,0.0365326419899279,0.1201452705250189,0.0289602640192763,256-256-256,256,1000,155,1541.3749292800203
9,0,16,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.062229242846269,0.1271169094937612,0.0330438033152901,0.062277011184281,0.0394783132578697,0.0209004597152494,0.0423955699987403,0.0189087099768324,1.066256265138537,0.1801416004636163,128-128-128,256,1000,147,740.2151051829569
10,0,16,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.0313176260402444,0.0907025949104718,0.0227419775329916,0.0582970588109631,0.0530731096477714,0.0333225366951849,0.055225362291754,0.0295436792021669,0.5769584880441194,0.1261500662779466,256-256-256,256,1000,118,619.043305719737
