run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.0678450985285809,0.1450984036306798,0.0371666957108998,0.0745320427721043,0.0458584238473429,0.0234626088784146,0.0490613288837145,0.0236304289599697,0.682922261061236,0.1631977791898726,128-128-128,256,1000,138,1589.1563663370907
2,187,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.0757944264108388,0.1856903174288203,0.0355767892556077,0.0742516725262088,0.0368074797977836,0.0211458211937164,0.038214752689732,0.019185842676461,0.4318138913479062,0.1401938236573543,128-128-128,256,1000,139,1591.966072096955
3,377,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.1518138637255681,0.2268703320741113,0.073395167747031,0.093817948325034,0.0389404484507474,0.0281849921761683,0.0414182890664271,0.0202969079182739,0.4863426591242552,0.1608466438744744,128-128-128,256,1000,146,1695.4360719136894
4,440,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.0587412013777798,0.179119614240606,0.0252924734917964,0.0688228377871066,0.0472201432708859,0.0273882319653089,0.0474649463398194,0.0242508548500645,0.6094652785212299,0.1708087596396593,128-128-128,256,1000,108,1177.2011302807368
5,520,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.1995609510126907,0.2419833495806291,0.0958020445631257,0.0985719228415965,0.0302096096253419,0.0202228688344382,0.0321966055896672,0.0163197955495209,0.2909561381396778,0.0590097225382157,128-128-128,256,1000,166,1808.4124711188488
6,541,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.0825031304767618,0.1606454396844595,0.0440524047662371,0.0743930463681228,0.0356555333758466,0.0180964709162755,0.0362199836174834,0.0176779733558358,0.4085711341315862,0.1449062055000564,128-128-128,256,1000,118,1409.9420250211842
7,721,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.1017769577378444,0.1977042796053858,0.0512780481267431,0.0827483395076096,0.0416258206532521,0.0219675588910291,0.0420480731120274,0.0209710791274859,1.0295786059153222,0.1785341655507969,128-128-128,256,1000,128,1462.6493302681483
8,869,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.0503390092506425,0.1371216455991072,0.028706795670661,0.0666978709842147,0.0548878601258477,0.041974083554891,0.064377811910676,0.031001337889225,0.9679774893643116,0.1785215974406169,128-128-128,256,1000,111,1271.0302509698083
9,926,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.0616441246577591,0.1566051723643676,0.0300458362627432,0.0650206049672321,0.0431598853278859,0.0236696708541095,0.0409432358209681,0.0192848502330632,0.352298321469349,0.0515273442134857,128-128-128,256,1000,125,1447.0759199289605
10,933,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.1395973330787143,0.2201917537735822,0.0650482421323816,0.0896399163887181,0.0426404810588436,0.026643504726635,0.0451371863467328,0.0241774127878076,0.5629110542168014,0.1758772562597935,128-128-128,256,1000,142,1626.5718248239718
