run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.04128601148348411,0.11286821969732166,0.02936132716455968,0.06073605019951814,0.085649618101787,0.04525122803472265,0.08465319671992444,0.05101544566707217,4.1002263895260835,0.5003620962562425,128-128-128,256,1000,324,4221.409643471998
2,187,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.01963469094210766,0.07937438126561744,0.014769817704597062,0.04484455063061968,0.1073197010250969,0.05828965217866033,0.1009080361810695,0.06411664541556412,3.598437137637938,0.3584271774425619,128-128-128,256,1000,184,2389.2063710920047
3,377,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.11299879304019035,0.17588844673272025,0.07585777670648809,0.09017106998587764,0.06268347739006434,0.03664478600618387,0.061122723933501426,0.036349074299863476,3.6212202836558816,0.6693702859103206,128-128-128,256,1000,320,4029.988018898992
4,440,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.10828455101124143,0.18188631551023035,0.07178774273055626,0.0915861259111128,0.06615002346568498,0.038212768688583296,0.06230419119944252,0.039765547344348055,2.452728530355826,0.4594350232103725,128-128-128,256,1000,307,3597.098134474014
5,520,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.025512173994129594,0.10138828112465524,0.01670009649459842,0.0491381026913443,0.1238398579807178,0.07554636100425743,0.11727392927058028,0.07987241617964921,7.507920060454653,0.811629505031725,128-128-128,256,1000,571,6342.754883276997
6,541,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.018648938738008134,0.09683128897883822,0.012502268496338634,0.04508335179264035,0.14510803532284713,0.09225947801100663,0.14706730877163818,0.10343504231255206,4.036115851375915,0.32107784046747195,128-128-128,256,1000,346,3854.585829660995
7,721,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.0038658902491697233,0.03427835337292256,0.0032332800532107477,0.017406233722899036,0.2168593204589258,0.1344708513833278,0.21602786167745044,0.14333102520243465,18.525192140617833,0.8398252899802074,128-128-128,256,1000,143,1603.651576565986
8,869,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.09719237292974095,0.16540771045480748,0.06853679288876298,0.08992825192766686,0.07138842758013413,0.038389487145300404,0.06654021078485903,0.04063816132873441,3.3420237776040436,0.6543325323109969,128-128-128,256,1000,530,5866.804079647001
9,926,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.043046295978335446,0.13566932822209024,0.029565943606331614,0.0656688349057866,0.10905898763702634,0.06531540604945991,0.10386309899347991,0.06627679877799195,6.393241115029922,0.7838573370822202,128-128-128,256,1000,583,6276.096636369999
10,933,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,0.07356723518703155,0.15402122733486037,0.04004516936545843,0.07405677221771706,0.052250456855534436,0.027609782916909714,0.05237700094376821,0.0262488696528377,3.7642897586727697,0.25348077540298336,128-128-128,256,1000,220,2195.7205994649557
