run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.3147834330919736,0.3541071027881773,0.1829674329888789,0.167205705151408,0.0531227120513802,0.0531227120513802,0.4583769686028559,128-128-128,256,1000,161,1255.0647181193344
2,187,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.3993568096829915,0.4311047843765323,0.2043634497109518,0.1897124376094475,0.0521210446911973,0.0521210446911973,0.3702786278204365,128-128-128,256,1000,198,1372.5607041358016
3,377,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4151070897820109,0.4432312479975826,0.2047954896068442,0.1944663552704484,0.0368485070353997,0.0368485070353997,0.2974474168740437,128-128-128,256,1000,225,1248.327508515213
4,440,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4206103158885545,0.4529360290261118,0.2090618204293646,0.2033743490730674,0.0388505243167833,0.0388505243167833,0.4734968008105396,128-128-128,256,1000,210,1063.1605284991674
5,520,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.2874543688283937,0.3248354727548801,0.1607801744725411,0.1470051023531389,0.0736346602782078,0.0736346602782078,0.6475147783253453,128-128-128,256,1000,197,1303.0339033240452
6,541,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.3334327596555041,0.3446372143848807,0.1779060043573004,0.1671067854774222,0.0599880074294725,0.0599880074294725,0.6854412894776494,128-128-128,256,1000,194,1273.423388107214
7,721,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.3094956394992405,0.3303338026516291,0.1758411813568048,0.158845182738216,0.0798021797371492,0.0798021797371492,0.7432729137673952,128-128-128,256,1000,180,993.6789231463335
8,869,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.3722802066790333,0.3919938892205843,0.195851958764088,0.182331911766667,0.033050382715706,0.033050382715706,0.3327033248917201,128-128-128,256,1000,210,1376.0627263220958
9,926,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4509821844891551,0.4745769157540213,0.2127287504929872,0.2076673944171244,0.0253951716261018,0.0253951716261018,0.2395301998789279,128-128-128,256,1000,248,1656.129638471175
10,933,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.3178648619276816,0.3391293951886048,0.1731544416906019,0.1591550271267462,0.0664345091718962,0.0664345091718962,0.5866111967574864,128-128-128,256,1000,172,1219.6367316436954
