run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.037371522990078204,0.10041557628088056,0.017618298293795145,0.049646364991643065,0.0830197565106163,0.04393425875585027,0.08302341676516889,0.04395457327861662,58.31999933928214,3.1737798134644977,128-128-128,256,1000,158,2004.8879049770185
2,187,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.03013444767122511,0.09588635326182951,0.016667923856909003,0.0443869897281547,0.10190790807955948,0.05467260848049753,0.09813456894610616,0.0606686851818579,31.230717854294276,3.2406852439348945,128-128-128,256,1000,435,5499.67874626501
3,377,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.011336471107036254,0.05746947779002128,0.011084641510165697,0.03641882556957958,0.13456227785923514,0.07397739313078344,0.13032918692778692,0.07995627194365713,55.52367375664183,3.2379236745468574,128-128-128,256,1000,327,4073.8274961690186
4,440,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.004374334857298047,0.0417508620324153,0.003247220274425936,0.020049925207145325,0.2309838864737302,0.15276905253896556,0.22250495598596712,0.16080058266145475,11.54004904508445,1.9164531658596131,128-128-128,256,1000,202,2446.042474946007
5,520,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.17314119006349188,0.22829433803145505,0.08614335063287265,0.09746843119596829,0.048777823694079805,0.032724576109810125,0.048750506493291074,0.0257317693327584,20.355170105996866,3.2071651780714587,128-128-128,256,1000,343,4165.701273744984
6,541,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.002439347174920205,0.027463198022870568,0.0019404253392694489,0.01156466447822216,0.22599519106219973,0.11947087683810886,0.21077640479113705,0.13321600020757396,49.68925488572111,3.232430051826552,128-128-128,256,1000,387,4708.563244346005
7,721,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.006069134588217534,0.04687773995879266,0.003071721513705965,0.019381987348417257,0.22123181049408316,0.12750376133710165,0.2163663354873066,0.1404842472701356,54.47120555156714,3.1869968597712117,128-128-128,256,1000,259,3123.057222949981
8,869,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.027758314039770377,0.08394174907260747,0.016741892561070136,0.045563611501184896,0.0996275471085036,0.0502899789747021,0.09183029663550048,0.05029215825385927,35.632964515477106,3.2284534981640003,128-128-128,256,1000,251,3050.1635385589907
9,926,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.009302022225455408,0.05849183505623593,0.004360260854292655,0.02163571826975099,0.15568613542507148,0.07979156876000876,0.14480581699270323,0.08788556100079452,52.565823104722064,3.163037804582767,128-128-128,256,1000,157,1929.4075723520364
10,933,400,100000,corr,10,RealNVPN,relu,8,-5,0,,0.39583935135849946,0.31218093645643474,0.17777961032172607,0.09516788972602795,0.024230573056321446,0.02147223613662611,0.026224977950290912,0.014737750737857446,10.400337139361083,0.5654000257108966,128-128-128,256,1000,588,6860.2997059609625
