run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,1,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.2709311307789689,0.2672757959331894,0.1554287006993562,0.0926235699664899,0.0271368995979619,0.0078068357752395,0.027166866612199,0.0101391614855987,0.0454042571483963,0.0180742708590862,256-256-256,256,2,456,108.90970395800105
2,187,188,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.1206214063499442,0.2050978390263623,0.0695187846159239,0.0894296529339576,0.0407196378122144,0.0127765381933139,0.0390910809819843,0.0179812970769884,0.0269134168551051,0.0099490586263063,256-256-256,256,2,247,175.6186708640016
3,377,378,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.3140345893704684,0.2570164976388504,0.165078447774294,0.0924937596815101,0.0290207268718973,0.0098630753009313,0.028488912946463,0.0143021308786716,0.0322318929767575,0.0111447937793238,256-256-256,256,2,455,164.40175371900114
4,440,441,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.2877883021530133,0.3563138606083811,0.1092021658298029,0.1159741077423137,0.0345558303904799,0.0213389288942454,0.0375715627162906,0.017784882074455,0.0285209497828659,0.0152142860846738,256-256-256,256,2,222,164.50040356000682
5,520,521,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.2799776352502308,0.2811644133308383,0.1521410803841951,0.1006661418936663,0.0312961695524452,0.0125046032175264,0.0284117862101883,0.0163310969378893,0.0222944008205307,0.0083739298300739,256-256-256,256,2,204,160.68268906799494
6,541,542,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.5023048156869588,0.3187588229285978,0.2049347432280069,0.0785259080895426,0.0266848730579617,0.0105427499696251,0.0278876637345944,0.013042330513789,0.0318594499179324,0.0141886463296959,256-256-256,256,2,382,151.54056199999468
7,721,722,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.3427443523981632,0.2371178121728895,0.1795445815367281,0.072924884499942,0.0302669127739973,0.0103075163059647,0.0278549497577543,0.0110859907898087,0.026085358874105,0.0149194207794965,256-256-256,256,2,342,117.57385828199769
8,869,870,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.2078009634096741,0.2387164710615076,0.1258994939245564,0.1007416147530502,0.0327761743206422,0.0111191630292384,0.035821987110038,0.0154305745693263,0.045335013895035,0.0090319998529233,256-256-256,256,2,214,93.51427052399958
9,926,927,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.2318623895209137,0.1950387037031612,0.1243046648418443,0.1014536875918168,0.0320434104331583,0.0094655033811247,0.0296331802582264,0.0142424906708114,0.0357143865073007,0.0108718298187118,256-256-256,256,2,351,89.97108348199981
10,933,934,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.2770172654929496,0.292607668521829,0.1642721553305021,0.1065732712760967,0.0251438366164774,0.008201246221632,0.0259049258638162,0.0094393002065042,0.0348218060646263,0.0147052991940875,256-256-256,256,2,365,85.32569588000479
