run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.49052789050700935,0.4900482143562216,0.2133579233750627,0.21284793248571007,0.02015319429123591,0.02015319429123591,0.015944261423442255,128-128-128,256,1000,547,3400.6728208842687
2,187,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.5087719411858541,0.5064693450358807,0.21964734954584308,0.21825922235972287,0.016918816510305603,0.016918816510305603,0.005275524491697116,128-128-128,256,1000,443,2684.346163159702
3,377,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.42504042480860194,0.4274455548528915,0.2115131643184102,0.19583405252494057,0.039445892616637446,0.039445892616637446,0.04773964787411496,128-128-128,256,1000,454,3504.6814075340517
4,440,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.4789933151806842,0.48398797406391647,0.21358314358478925,0.21489983756284187,0.020143596157177996,0.020143596157177996,0.019145852177251507,128-128-128,256,1000,311,2110.599157048855
5,520,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.46126513649978607,0.48241500631140866,0.20601687604534064,0.20977096077017057,0.028005491707168394,0.028005491707168394,0.03578395994177046,128-128-128,256,1000,418,2209.2089265063405
6,541,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.5188478207786901,0.5080600866147607,0.22410930914982957,0.22451979014477164,0.019762453577251884,0.019762453577251884,0.015059061845083871,128-128-128,256,1000,415,2688.63811552478
7,721,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.5414599293736848,0.5547573836544827,0.2239861856030293,0.22022503627228598,0.018817101744884768,0.018817101744884768,0.03794731917091274,128-128-128,256,1000,379,2306.873550893739
8,869,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.5189946153853867,0.5107901152395175,0.22681312863647585,0.22668189563839686,0.019828974371134636,0.019828974371134636,0.029534844278066,128-128-128,256,1000,391,2744.497229638975
9,926,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.5147049040746954,0.5283290073399718,0.2198958075960883,0.2148374856032008,0.0185215945937972,0.0185215945937972,0.01650689183146896,128-128-128,256,1000,444,2823.6636304967105
10,933,4,100000,corr,5,RealNVPN,relu,8,-5,0,,-1,0.5112070122740664,0.5267294672438971,0.21319843261705362,0.2148972310461159,0.01692116647033685,0.01692116647033685,0.017990081560386357,128-128-128,256,1000,390,2461.794042558875
