run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,sliced_Wasserstein_mean,sliced_Wasserstein_std,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4191896215276735,0.4493724949356441,0.2069109662160951,0.1983030376129304,0.0331884059230101,0.0331884059230101,0.0378944323164779,0.0192245079143073,0.3798009879704916,128-128-128,256,1000,257,1928.629989040084
2,187,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4229272983873944,0.459566649778809,0.2119910572021675,0.1987295189448576,0.0378244796372992,0.0378244796372992,0.034188220346417,0.014809907171153,0.4362131174040541,128-128-128,256,1000,273,1880.8893548203632
3,377,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.390085975977136,0.4156253017544482,0.1971963374698637,0.1885027459756074,0.0652434698098312,0.0652434698098312,0.0798982089323876,0.0486671162671611,0.7803994682973119,128-128-128,256,1000,236,1684.0758892050944
4,440,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4487312441309531,0.4770980792847796,0.2128509544655813,0.2052701204936412,0.0225637080362438,0.0225637080362438,0.0240394235132416,0.0099253629359317,0.3372544903931783,128-128-128,256,1000,232,1742.214949928224
5,520,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.3436849803505528,0.3709327689401721,0.1868553581739828,0.1713975832377327,0.0522601543990233,0.0522601543990233,0.058649704021515,0.0295787586275715,0.598813259753018,128-128-128,256,1000,216,1550.4254755121656
6,541,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4606974091187454,0.4927121281793118,0.2163757231131205,0.2073208648183192,0.0271466404860248,0.0271466404860248,0.027307140999144,0.0129218865430615,0.3255370370765816,128-128-128,256,1000,313,2181.3120776289143
7,721,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4253146602289404,0.4594989362958108,0.2116708379214429,0.1990053028001247,0.0374531893991015,0.0374531893991015,0.0395195341486719,0.0200568062148826,0.4103212491159707,128-128-128,256,1000,235,1617.4999925969169
8,869,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4346057676929828,0.4659649279708642,0.210265423143788,0.2003970881214623,0.0390281251581042,0.0390281251581042,0.0434170793102753,0.0221983140412343,0.5152385832394801,128-128-128,256,1000,261,1826.7764742989093
9,926,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4855036771915215,0.5060352592612418,0.2193301799531603,0.212355217745795,0.021265662958704,0.021265662958704,0.0238631035546186,0.0103125872362498,0.2712657248918049,128-128-128,256,1000,253,1691.9365308261476
10,933,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4218034315935588,0.4561063538636444,0.2072907830781576,0.1944059661688324,0.0343540588069404,0.0343540588069404,0.0346974705624099,0.0164304794784154,0.3358247291886088,128-128-128,256,1000,236,1592.5997130949982
