run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,1,64,100000,,5,RealNVPN,relu,8,-5,0,,0.09919999560310812,0.16023487533551786,0.07841225349007333,0.09349918704832387,0.05971951728730672,0.03009040892531318,0.055801430110189856,0.03270331520933161,0.8758810950417908,0.14759882239943262,"128-128-128",256,2,259,72.6193746880017
2,187,188,64,100000,,5,RealNVPN,relu,8,-5,0,,0.2525930029467496,0.26421983536880517,0.13024966985829653,0.10517886844398626,0.04332556172654235,0.022835368423639864,0.04229785084319193,0.02553730397931477,0.6909854304389026,0.09365623574515389,"128-128-128",256,2,275,77.43647896499897
3,377,378,64,100000,,5,RealNVPN,relu,8,-5,0,,0.1664589381818958,0.21938941099904308,0.10602369449709093,0.09983205143660998,0.05020148279298984,0.030342025005915582,0.05194425890717729,0.030730487559803735,0.8732352310969048,0.09257735370918639,"128-128-128",256,2,238,67.76566963599907
4,440,441,64,100000,,5,RealNVPN,relu,8,-5,0,,0.16553768315817777,0.23532567071193966,0.09622197068840603,0.10314827072557124,0.05485646835614104,0.030888399081234672,0.05189314201294644,0.031967350204298056,0.7324096452221796,0.12997681069143693,"128-128-128",256,2,234,75.38888760899863
5,520,521,64,100000,,5,RealNVPN,relu,8,-5,0,,0.11751717488833754,0.20209909473976184,0.07094355933258253,0.09517068407480368,0.048990122326421096,0.027076455159233757,0.04980484766373765,0.025597391737619882,0.9432742312033005,0.06312826221741227,"128-128-128",256,2,218,69.09901984300086
6,541,542,64,100000,,5,RealNVPN,relu,8,-5,0,,0.3004627493779948,0.2982409655577119,0.14369777025286107,0.10518831044006727,0.033555530222965445,0.01602590133332948,0.03296340593963268,0.014883071833927357,0.569929561682851,0.06384418142619697,"128-128-128",256,2,315,83.77684713200142
7,721,722,64,100000,,5,RealNVPN,relu,8,-5,0,,0.2841691476251412,0.2911388939537187,0.13971537344382262,0.10672113024471244,0.0332739825764926,0.015838514451304866,0.03264387423961833,0.016790316767314656,0.5743427216121417,0.0689461229501483,"128-128-128",256,2,237,82.51707526000246
8,869,870,64,100000,,5,RealNVPN,relu,8,-5,0,,0.1661112488423258,0.2366200663710954,0.09452323935927573,0.09997239332600653,0.0554489807541268,0.032028435418572226,0.055550292100732784,0.03518885670169149,0.8954086539435275,0.1388433810640586,"128-128-128",256,2,263,84.45288844900642
9,926,927,64,100000,,5,RealNVPN,relu,8,-5,0,,0.27469234568734524,0.2904759186954759,0.1407260693141005,0.10705645699243693,0.03412452262068768,0.018026827410546602,0.03431262386207706,0.018356373085968235,0.7482723170695185,0.05151204264271801,"128-128-128",256,2,255,78.3428914249962
10,933,934,64,100000,,5,RealNVPN,relu,8,-5,0,,0.12192465125870297,0.1883760653612272,0.08788294351566846,0.09975568596391406,0.05642577928788621,0.031244848803840604,0.050973269289256024,0.0347622236979227,0.7276075873963633,0.14070445777961973,"128-128-128",256,2,238,67.95684381599858
