run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4852043869673976,0.5021151710981011,0.21655948592202434,0.2124004212233292,0.023015658531390044,0.023015658531390044,0.07125222742444663,128-128-128,256,1000,255,1480.5007027140819
2,187,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4952334342115169,0.5104357165315325,0.22361409052348824,0.22342527707263382,0.03669378398483976,0.03669378398483976,0.027935291699752375,128-128-128,256,1000,328,1934.1291945818812
3,377,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4710627359004309,0.4742063174069707,0.20913590663200143,0.20906802265823848,0.028611121900696073,0.028611121900696073,0.06498522815739012,128-128-128,256,1000,309,1824.5229781232774
4,440,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.41278679716411687,0.4027075056947504,0.20609243130568,0.20479649644565673,0.04910169803556487,0.04910169803556487,0.05818141173586342,128-128-128,256,1000,327,1873.7023895028979
5,520,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4003617955704204,0.4309648499917968,0.19816940580144166,0.1941665995436065,0.032655957180664566,0.032655957180664566,0.09365822874630209,128-128-128,256,1000,199,1154.4550753626972
6,541,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.5246789535128686,0.5264607423908942,0.22979715191504982,0.2265223814567002,0.02741557216234268,0.02741557216234268,0.03084568984159373,128-128-128,256,1000,246,1522.729702600278
7,721,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.49351502852432577,0.49447060566323,0.2166111808987467,0.21757136178880315,0.0236133839361041,0.0236133839361041,0.05823218677676332,128-128-128,256,1000,258,1544.4899027617648
8,869,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.46198076076869365,0.49256877460152854,0.21059157292464803,0.21085521881139702,0.03346501159032622,0.03346501159032622,0.053719120580203665,128-128-128,256,1000,328,1992.3920978866518
9,926,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4435222939307697,0.4461726453074082,0.21178904158673711,0.20897330864610558,0.02202903346736448,0.02202903346736448,0.0699019660666233,128-128-128,256,1000,275,1633.3993449420668
10,933,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4336336778281673,0.43221596021692216,0.20117947924633678,0.20360894738453086,0.026705202505564643,0.026705202505564643,0.04106083484524033,128-128-128,256,1000,278,1475.2620733710937
