run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
1,0,1,4,100000,None,5,RealNVPN,relu,8,-5,0,None,0.2577498298404671,0.2283221223391389,0.151042969644611,0.0917349205284293,0.0364022198583738,0.0102055268694442,0.0337922175054376,0.0121735848128427,0.0598224418495592,0.0191065950784671,128-128-128,256,1000,489,3493.847601616988,5.532377155002905,3511.3160727479844,NVIDIA A40
2,0,1,4,100000,None,5,RealNVPN,relu,8,-5,0,None,0.2470643074261753,0.2424768076262317,0.1286797945859007,0.1048855232323873,0.0366204111657681,0.0111750440307608,0.0326387088092172,0.0128178707746845,0.0413035204689574,0.0156973857651148,256-256-256,256,1000,427,3054.6869226849813,4.920519860985223,3070.008904996997,NVIDIA A40
3,0,1,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.4048487177791478,0.2875321427507525,0.1963661262141089,0.0734329505090932,0.0251578280061941,0.0075480848920271,0.0264481696617341,0.0104690209578887,0.0407317478678513,0.0180659636168732,128-128-128,256,1000,337,4274.903208641015,5.62548798500211,4298.195369198977,NVIDIA A40
4,0,1,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.3215330984997808,0.2195558487400794,0.1819890253452721,0.0795414114080007,0.0286289154724364,0.0118278949676809,0.027636334100089,0.0144052754649789,0.0247114782415415,0.0082804990826894,256-256-256,256,1000,324,4111.864736289979,5.7370811279979534,4135.839289185009,NVIDIA A40
5,187,188,4,100000,None,5,RealNVPN,relu,8,-5,0,None,0.3877135124629486,0.2895604781311242,0.1936330643140552,0.0805152123226503,0.0274002995448425,0.012189158432801,0.0282743601835048,0.0122689625777908,0.02520539510552,0.0087991478505044,128-128-128,256,1000,441,3148.726286059973,4.713767923996784,3162.5573930050014,NVIDIA A40
6,187,188,4,100000,None,5,RealNVPN,relu,8,-5,0,None,0.3430660615641391,0.2666377216156367,0.1783646463347188,0.0934376916008897,0.0356818819515209,0.0117001097412603,0.0349491707214011,0.0147634381885045,0.024009293516772,0.0126964882020678,256-256-256,256,1000,411,2938.147331425018,5.808847268024692,2953.7290621620195,NVIDIA A40
7,187,188,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.4853044295625633,0.3075349308514908,0.2127428622990298,0.076046553377931,0.0259742987280345,0.0087765718601855,0.0275404048223041,0.0110503170839013,0.0429568436699217,0.0171251831054639,128-128-128,256,1000,265,3371.7393907140067,5.648492448002799,3395.277925114002,NVIDIA A40
8,187,188,4,100000,None,10,RealNVPN,relu,8,-5,0,None,0.3626501495410204,0.2831321227142637,0.2046976072013797,0.0773852213268936,0.0228978829697585,0.0086719225299066,0.022851477101325,0.0087110270871881,0.0271915345153022,0.0070804283541313,256-256-256,256,1000,223,2799.6077227860224,5.713006026984658,2825.0207711830158,NVIDIA A40
9,377,378,4,100000,None,5,RealNVPN,relu,8,-5,0,None,0.2463938562871544,0.2016954226164257,0.1330068473340694,0.0974041112750069,0.0322040580120041,0.0100007080903558,0.0326918286332692,0.0118975283151038,0.0450331597685847,0.0165301780040517,128-128-128,256,1000,353,2426.8824059609906,4.91175143700093,2441.693317086989,NVIDIA A40
10,377,378,4,100000,None,5,RealNVPN,relu,8,-5,0,None,0.4236165933095551,0.2861721093926865,0.1898069978534549,0.0838236491332462,0.0287675161676227,0.009573909985981,0.0269476589754889,0.0111634016819772,0.0313047819173295,0.0120152328341562,256-256-256,256,1000,426,3021.9992234840174,5.753320635994896,3037.913687774999,NVIDIA A40
