run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
1,0,1,4,100000,,5,RealNVPN,relu,8,-5,0,,0.2577498298404671,0.22832212233913896,0.15104296964461109,0.09173492052842937,0.03640221985837387,0.010205526869444226,0.03379221750543762,0.012173584812842758,0.05982244184955928,0.01910659507846711,128-128-128,256,1000,489,3493.847601616988,5.532377155002905,3511.3160727479844,NVIDIA A40
2,0,1,4,100000,,5,RealNVPN,relu,8,-5,0,,0.2470643074261753,0.24247680762623172,0.1286797945859007,0.10488552323238731,0.036620411165768155,0.011175044030760804,0.032638708809217286,0.012817870774684513,0.04130352046895748,0.015697385765114875,256-256-256,256,1000,427,3054.6869226849813,4.920519860985223,3070.0089049969974,NVIDIA A40
3,0,1,4,100000,,10,RealNVPN,relu,8,-5,0,,0.4048487177791478,0.2875321427507525,0.1963661262141089,0.07343295050909328,0.02515782800619416,0.007548084892027199,0.02644816966173411,0.010469020957888741,0.04073174786785137,0.0180659636168732,128-128-128,256,1000,337,4274.903208641015,5.62548798500211,4298.195369198977,NVIDIA A40
4,0,1,4,100000,,10,RealNVPN,relu,8,-5,0,,0.3215330984997808,0.21955584874007944,0.18198902534527214,0.07954141140800078,0.02862891547243644,0.011827894967680944,0.027636334100089085,0.014405275464978955,0.0247114782415415,0.008280499082689472,256-256-256,256,1000,324,4111.864736289979,5.7370811279979534,4135.839289185009,NVIDIA A40
5,187,188,4,100000,,5,RealNVPN,relu,8,-5,0,,0.38771351246294866,0.2895604781311242,0.1936330643140552,0.08051521232265031,0.02740029954484256,0.012189158432801092,0.028274360183504883,0.012268962577790882,0.025205395105520036,0.00879914785050446,128-128-128,256,1000,441,3148.726286059973,4.713767923996784,3162.5573930050014,NVIDIA A40
6,187,188,4,100000,,5,RealNVPN,relu,8,-5,0,,0.34306606156413916,0.2666377216156367,0.17836464633471888,0.09343769160088974,0.035681881951520986,0.011700109741260359,0.03494917072140119,0.014763438188504592,0.024009293516772022,0.012696488202067887,256-256-256,256,1000,411,2938.147331425018,5.808847268024692,2953.7290621620195,NVIDIA A40
7,187,188,4,100000,,10,RealNVPN,relu,8,-5,0,,0.4853044295625633,0.30753493085149086,0.2127428622990298,0.07604655337793102,0.025974298728034584,0.00877657186018552,0.027540404822304163,0.011050317083901303,0.042956843669921765,0.01712518310546394,128-128-128,256,1000,265,3371.7393907140067,5.6484924480027985,3395.277925114002,NVIDIA A40
8,187,188,4,100000,,10,RealNVPN,relu,8,-5,0,,0.3626501495410204,0.28313212271426375,0.20469760720137975,0.07738522132689361,0.02289788296975854,0.008671922529906692,0.02285147710132501,0.008711027087188112,0.027191534515302235,0.007080428354131386,256-256-256,256,1000,223,2799.6077227860224,5.713006026984658,2825.0207711830153,NVIDIA A40
9,377,378,4,100000,,5,RealNVPN,relu,8,-5,0,,0.24639385628715446,0.20169542261642573,0.13300684733406945,0.09740411127500695,0.032204058012004155,0.01000070809035587,0.03269182863326923,0.011897528315103866,0.04503315976858472,0.01653017800405179,128-128-128,256,1000,353,2426.8824059609906,4.91175143700093,2441.693317086989,NVIDIA A40
10,377,378,4,100000,,5,RealNVPN,relu,8,-5,0,,0.4236165933095551,0.2861721093926865,0.18980699785345492,0.08382364913324629,0.028767516167622707,0.009573909985981031,0.026947658975488994,0.011163401681977271,0.03130478191732951,0.012015232834156281,256-256-256,256,1000,426,3021.9992234840174,5.753320635994896,3037.913687774999,NVIDIA A40
11,377,378,4,100000,,10,RealNVPN,relu,8,-5,0,,0.4151257857440541,0.2884214388738883,0.19216611739149725,0.08043484096124766,0.028365191785573653,0.014312115231572201,0.02822431382975862,0.01492073309821753,0.03168101572098888,0.010343008411603762,128-128-128,256,1000,262,3330.5226605670177,5.688440147991059,3356.104754781991,NVIDIA A40
12,377,378,4,100000,,10,RealNVPN,relu,8,-5,0,,0.36778922258189106,0.27965220957631076,0.17678499808352283,0.09028370866268688,0.02656700659107968,0.00779435903952757,0.026182237193503568,0.01027093342396593,0.033244347630866034,0.016662135336585934,256-256-256,256,1000,324,4126.455826414982,5.610986371000763,4150.3099587179895,NVIDIA A40
13,440,441,4,100000,,5,RealNVPN,relu,8,-5,0,,0.31007879690757206,0.22400649983305734,0.16314046152271508,0.0918226112924812,0.038919429252854784,0.014845964738565115,0.03917264901422331,0.018530364062730578,0.07273126051042592,0.019861283638330996,128-128-128,256,1000,327,2259.0440521209966,5.6302002720185556,2273.9093488829967,NVIDIA A40
14,440,441,4,100000,,5,RealNVPN,relu,8,-5,0,,0.4108335038224675,0.29791267598886817,0.20242971998634993,0.07973830606356738,0.02811791970185268,0.010736559977324912,0.027830376463519643,0.012907703808896834,0.03393713906398988,0.01293307048824187,256-256-256,256,1000,459,3249.2666532959847,5.748394702008227,3266.573839263001,NVIDIA A40
15,440,441,4,100000,,10,RealNVPN,relu,8,-5,0,,0.2655799402087709,0.24968885276306896,0.1441997939504564,0.09650627824541537,0.03942256601683679,0.01725825437600239,0.03802958956587078,0.02156349655463073,0.05127257745296865,0.02027298465005892,128-128-128,256,1000,437,5570.711860117997,4.72675002500182,5592.0878270639805,NVIDIA A40
16,440,441,4,100000,,10,RealNVPN,relu,8,-5,0,,0.2719769344710668,0.27768954591205924,0.14012792055445558,0.1013733016812061,0.03197652975422104,0.015414164964910642,0.0314561702372077,0.01707848393490443,0.02327437221080979,0.009251264322933193,256-256-256,256,1000,452,5774.204780608998,5.721740220993524,5797.801358145021,NVIDIA A40
