run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input,epochs_output,training_time,prediction_time,total_time,best_train_loss,best_val_loss,best_train_epoch,best_val_epoch,logprob_ref_ref_sum_list,logprob_ref_alt_sum_list,logprob_alt_alt_sum_list,lik_ratio_list,lik_ratio_norm_list,ks_means,ks_stds,ad_means,ad_stds,wd_means,wd_stds,swd_means,swd_stds
259,520,521,0,0,200,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,717520,0,256,relu,,0.0,NVIDIA A40,1000,1000,23097.78372539702,25.67426672199508,23123.457992119016,90.54363250732422,90.26881408691406,998,997,"[-8037663.5, -8040562.0, -8033919.0, -8029145.0, -8037730.0, -8034292.0, -8044241.0, -8042215.5, -8039491.5, -8033236.0]","[-199759392.0, -197836144.0, -194919616.0, -208445680.0, -212441184.0, -207682528.0, -196920352.0, -203623712.0, -207705152.0, -201753200.0]","[-9178887.0, -9183087.0, -9186868.0, -9174660.0, -9191370.0, -9172372.0, -9188070.0, -9183492.0, -9180456.0, -9180306.0]","[381161024.0, 377306112.0, 371465504.0, 398542048.0, 406499616.0, 397020288.0, 375464576.0, 388880416.0, 397049376.0, 385145792.0]","[1205337.0, 1193146.625, 1174677.0, 1260300.625, 1285464.625, 1255488.375, 1187323.25, 1229747.875, 1255580.375, 1217937.875]","[0.00022987305419519544, 9.989499812945724e-05, 6.26373293926008e-05, 0.0001196402299683541, 0.00012519002484623343, 4.345297929830849e-05, 3.2563806598773226e-05, 4.250586061971262e-05, 9.194255108013749e-05, 4.6880843001417816e-05]","[0.002374519594013691, 0.001054459484294057, 0.0006594305159524083, 0.0009020855650305748, 0.0013448484241962433, 0.000499884074088186, 0.00021370319882407784, 0.00031544233206659555, 0.0008358617778867483, 0.0006001622532494366]",,,,,"[0.07370069622993469, 0.0655931830406189, 0.06763893365859985, 0.06838013231754303, 0.06964647024869919, 0.07310270518064499, 0.07526307553052902, 0.07117068022489548, 0.07367382198572159, 0.06595712900161743]","[0.03701480105519295, 0.03237428143620491, 0.03445944935083389, 0.033558230847120285, 0.03420606628060341, 0.03631263226270676, 0.03894565999507904, 0.037409085780382156, 0.03713084012269974, 0.031761329621076584]"
272,869,870,0,0,200,100000,30000,100000,,10,RealNVPN,--,-5,256-256-256,2088400,0,256,relu,,0.0,NVIDIA A40,1000,1000,23532.81363271398,24.126447957998607,23556.94008067198,88.14044952392578,88.32115936279297,988,973,"[-8035857.5, -8041229.0, -8037340.0, -8039091.0, -8037587.0, -8043933.0, -8043332.0, -8028240.0, -8035068.0, -8038210.0]","[-177879760.0, -173605088.0, -173965312.0, -193286368.0, -190057008.0, -186494432.0, -189743024.0, -187731056.0, -176289248.0, -194022592.0]","[-8937826.0, -8932629.0, -8925412.0, -8929876.0, -8928298.0, -8924952.0, -8927604.0, -8929846.0, -8932385.0, -8933094.0]","[337883872.0, 329344928.0, 330079808.0, 368712960.0, 362257408.0, 355138976.0, 361630848.0, 357602432.0, 334713728.0, 370179008.0]","[1068482.625, 1041480.125, 1043804.0, 1165972.75, 1145558.5, 1123048.0, 1143577.125, 1130838.125, 1058457.75, 1170608.75]","[0.001837799558416009, 4.256009924574755e-05, 8.505046571372077e-05, 7.704585732426494e-05, 0.0006754070636816323, 7.771730452077463e-05, 0.00021051942894700915, 0.0003046360507141799, 0.00023324190988205373, 0.0011185127077624202]","[0.025678031146526337, 0.0003618780174292624, 0.0007714215898886323, 0.0008451484027318656, 0.009150504134595394, 0.000996330170892179, 0.002840002067387104, 0.003908294718712568, 0.0021824657451361418, 0.014777185395359993]",,,,,"[0.1102449968457222, 0.10134726762771606, 0.11729571223258972, 0.1148165762424469, 0.11039428412914276, 0.10871239006519318, 0.11735469102859497, 0.10351225733757019, 0.11257583647966385, 0.10062456130981445]","[0.062139276415109634, 0.05982533097267151, 0.07508087903261185, 0.06405068933963776, 0.06664656102657318, 0.06597743183374405, 0.06925669312477112, 0.06153936684131622, 0.0633082240819931, 0.05957936868071556]"
282,0,1,0,0,400,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,1429200,0,256,relu,,0.0,NVIDIA A40,1000,1000,13516.210815348953,28.501242675003596,13544.712058023957,197.18243408203125,197.94766235351562,996,991,"[-17904994.0, -17901434.0, -17892036.0, -17884406.0, -17896296.0, -17897446.0, -17899898.0, -17906676.0, -17901816.0, -17918696.0]","[-3555956736.0, -3556810496.0, -3541905408.0, -3549744640.0, -3558960640.0, -3632783872.0, -3580088064.0, -3508569856.0, -3527289344.0, -3546265088.0]","[-21006956.0, -21006266.0, -21005798.0, -21007724.0, -21011892.0, -21012840.0, -21003464.0, -20999812.0, -21011076.0, -21009968.0]","[7069899264.0, 7071608320.0, 7041799168.0, 7057474048.0, 7075897344.0, 7223542272.0, 7118169088.0, 6975140352.0, 7012556800.0, 7050510336.0]","[22356984.0, 22362388.0, 22268124.0, 22317692.0, 22375952.0, 22842846.0, 22509626.0, 22057330.0, 22175652.0, 22295672.0]","[1.8507838831283152e-05, 0.0009372159838676453, 0.00021387875312939286, 0.000797745306044817, 0.000337702629622072, 0.0003538763558026403, 0.0008154058596119285, 4.487067417358048e-05, 0.0002830600715242326, 7.415443542413414e-05]","[0.00033011529012583196, 0.01789459027349949, 0.003642069408670068, 0.014554987661540508, 0.005896198097616434, 0.00497944513335824, 0.01566324196755886, 0.0008666653884574771, 0.0046304501593112946, 0.0013720572460442781]",,,,,"[0.19337788224220276, 0.1941782534122467, 0.1874411255121231, 0.204014852643013, 0.1992127001285553, 0.20286673307418823, 0.19749866425991058, 0.1823233813047409, 0.19163841009140015, 0.18701952695846558]","[0.13925701379776, 0.14007245004177094, 0.13362403213977814, 0.15625517070293427, 0.13974353671073914, 0.1374671757221222, 0.1387721747159958, 0.13060016930103302, 0.13780543208122253, 0.12770125269889832]"
291,377,378,0,0,400,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,1103520,0,256,relu,,0.0,NVIDIA A40,1000,1000,23565.84783952101,27.243458161014132,23593.091297682025,201.78024291992188,201.80740356445312,992,995,"[-17903976.0, -17895448.0, -17896212.0, -17892884.0, -17901270.0, -17903366.0, -17889124.0, -17896980.0, -17899152.0, -17896174.0]","[-1239316736.0, -1341688320.0, -1288061696.0, -1267344384.0, -1316247296.0, -1283202688.0, -1317100288.0, -1291898880.0, -1298199040.0, -1343339648.0]","[-20304410.0, -20299942.0, -20299742.0, -20306936.0, -20294224.0, -20308742.0, -20308230.0, -20304182.0, -20290368.0, -20303696.0]","[2438024704.0, 2642776576.0, 2535523840.0, 2494074880.0, 2591906304.0, 2525787904.0, 2593584128.0, 2543189248.0, 2555817216.0, 2646071808.0]","[7709711.0, 8357193.0, 8018030.5, 7886957.0, 8196327.5, 7987242.5, 8201633.0, 8042270.5, 8082203.5, 8367613.5]","[0.0011200237786397338, 0.0015257417690008879, 0.0009750720928423107, 0.000270173535682261, 0.0007385399658232927, 0.0008603365859016776, 0.0016798150027170777, 0.0005346138495951891, 0.0030769510194659233, 0.0010957458289340138]","[0.01921907626092434, 0.0235026553273201, 0.012134437449276447, 0.003432384692132473, 0.008719234727323055, 0.012421108782291412, 0.0222482793033123, 0.007509113289415836, 0.03823418542742729, 0.014335845597088337]",,,,,"[0.08874054253101349, 0.07668878883123398, 0.08595923334360123, 0.08102576434612274, 0.07712416350841522, 0.0859677791595459, 0.08982422202825546, 0.08303847163915634, 0.07910335808992386, 0.08228466659784317]","[0.04870093613862991, 0.04032954201102257, 0.0471898578107357, 0.04728527367115021, 0.041396431624889374, 0.04553629085421562, 0.04754185676574707, 0.04704738408327103, 0.04166340082883835, 0.04480793699622154]"
306,721,722,0,0,400,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,1429200,0,256,relu,,0.0,NVIDIA A40,1000,283,3760.245373295038,22.406722054933198,3782.652095349971,208.6345672607422,208.7625732421875,182,182,"[-17893558.0, -17892892.0, -17902608.0, -17899924.0, -17899880.0, -17906906.0, -17901216.0, -17898712.0, -17889888.0, -17902000.0]","[-15229317120.0, -15272591360.0, -15324052480.0, -15390418944.0, -15356751872.0, -15152527360.0, -15241623552.0, -15396539392.0, -15419734016.0, -15482198016.0]","[-22576680.0, -22570180.0, -22583356.0, -22588668.0, -22572968.0, -22584060.0, -22580600.0, -22586948.0, -22583744.0, -22571216.0]","[30413479936.0, 30500042752.0, 30602938368.0, 30735659008.0, 30668357632.0, 30259886080.0, 30438086656.0, 30747904000.0, 30794301440.0, 30919251968.0]","[96175864.0, 96449600.0, 96774984.0, 97194688.0, 96981864.0, 95690160.0, 96253680.0, 97233408.0, 97380128.0, 97775256.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4901161415892261e-09, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9765045539420498e-08, 0.0]",,,,,"[0.3049008548259735, 0.31604984402656555, 0.30362603068351746, 0.3121350407600403, 0.30927523970603943, 0.30881816148757935, 0.2918012738227844, 0.29950064420700073, 0.3100607693195343, 0.30522260069847107]","[0.1933853030204773, 0.1999921202659607, 0.18761198222637177, 0.21071003377437592, 0.18954411149024963, 0.1884358525276184, 0.17730414867401123, 0.18806889653205872, 0.18677805364131927, 0.18202055990695953]"
308,721,722,0,0,400,100000,30000,100000,,10,RealNVPN,--,-5,256-256-256,2858400,0,256,relu,,0.0,NVIDIA A40,1000,1000,22767.882661362994,31.67695365997497,22799.55961502297,194.39320373535156,195.18873596191406,999,998,"[-17893558.0, -17892892.0, -17902608.0, -17899924.0, -17899880.0, -17906906.0, -17901216.0, -17898712.0, -17889888.0, -17902000.0]","[-934162944.0, -993386112.0, -927467584.0, -996541952.0, -942289408.0, -970241728.0, -951429568.0, -928222336.0, -948835136.0, -940183168.0]","[-19672334.0, -19678712.0, -19680846.0, -19671616.0, -19673788.0, -19671560.0, -19665458.0, -19671856.0, -19675012.0, -19674516.0]","[1828981248.0, 1947414784.0, 1815573504.0, 1953740672.0, 1845231232.0, 1901140224.0, 1863528320.0, 1817100928.0, 1858320128.0, 1841017344.0]","[5783746.5, 6158266.0, 5741347.5, 6178270.5, 5835133.5, 6011933.0, 5892994.0, 5746177.5, 5876524.0, 5821808.0]","[0.0002827528223861009, 0.0003997975727543235, 4.1166542359860614e-05, 3.481656312942505e-05, 0.0006508684018626809, 8.24868675408652e-06, 1.5476643966394477e-05, 0.00020570964261423796, 7.832765550119802e-05, 5.62220793653978e-06]","[0.004026494920253754, 0.005728563293814659, 0.000494587526191026, 0.00042282059439457953, 0.012918856926262379, 0.00012648988922592252, 0.00019404946942813694, 0.003834950737655163, 0.0014068451710045338, 8.401794184464961e-05]",,,,,"[0.08881769329309464, 0.10079178959131241, 0.09545782953500748, 0.08212226629257202, 0.09322932362556458, 0.08116060495376587, 0.07911016792058945, 0.09130749106407166, 0.0917648896574974, 0.09521772712469101]","[0.051512666046619415, 0.05768440663814545, 0.0554671585559845, 0.047278109937906265, 0.05250317603349686, 0.045167215168476105, 0.04490220174193382, 0.054862942546606064, 0.05404527112841606, 0.05484463647007942]"
323,0,1,0,0,1000,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,2261520,0,256,relu,,0.0,NVIDIA A40,1000,1000,22844.799029751914,145.14942752802745,22989.94845727994,437.80712890625,438.5483703613281,997,980,[],[],[],[],[],[],[],[],[],[],[],[],[]
333,440,441,0,0,1000,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,1130760,0,256,relu,,0.0,NVIDIA A40,1000,871,11651.693803946953,93.76845776801929,11745.462261714973,457.7853088378906,459.56866455078125,869,770,[],[],[],[],[],[],[],[],[],[],[],[],[]
334,440,441,0,0,1000,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,2584200,0,256,relu,,0.0,NVIDIA A40,1000,134,1735.1543127179611,189.41002645599656,1924.5643391739577,477.501708984375,478.8221130371094,33,33,"[-38478112.0, -38478600.0, -38475608.0, -38475260.0, -38472016.0, -38467208.0, -38482592.0, -38456260.0, -38469972.0, -38482488.0]","[-66690752512.0, -65852358656.0, -66532687872.0, -66461704192.0, -66667663360.0, -66332299264.0, -66398142464.0, -66251866112.0, -66587607040.0, -66661556224.0]","[-51050248.0, -51047112.0, -51034256.0, -51045988.0, -51026704.0, -51036820.0, -51043572.0, -51046504.0, -51015992.0, -51041428.0]","[133279399936.0, 131602620416.0, 132963303424.0, 132821311488.0, 133233278976.0, 132562518016.0, 132694196224.0, 132401643520.0, 133073182720.0, 133221031936.0]","[421466496.0, 416164064.0, 420466912.0, 420017888.0, 421320640.0, 419199520.0, 419615904.0, 418690784.0, 420814368.0, 421281920.0]","[5.445539954962442e-06, 4.7125697165029123e-05, 6.800472874601837e-06, 0.0002983161830343306, 2.1895766622037627e-06, 8.389234608330298e-06, 1.6474008589284495e-05, 5.21481013038283e-07, 3.2866715628188103e-05, 9.298086297349073e-06]","[0.00010851671686396003, 0.0008675879216752946, 0.0001937468914547935, 0.009253855794668198, 6.150812259875238e-05, 0.0002300351916346699, 0.0003598083567339927, 9.488551768299658e-06, 0.001025209086947143, 0.00028081817436031997]",,,,,"[0.24632973968982697, 0.24620045721530914, 0.2428021878004074, 0.2563782036304474, 0.2514752745628357, 0.2440607249736786, 0.2625826299190521, 0.2507142126560211, 0.2552591562271118, 0.24686287343502045]","[0.15599429607391357, 0.15490423142910004, 0.15631085634231567, 0.16230688989162445, 0.1599196195602417, 0.1553463339805603, 0.1682683527469635, 0.15555350482463837, 0.16637590527534485, 0.1607849895954132]"
337,520,521,0,0,1000,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,1130760,0,256,relu,,0.0,NVIDIA A40,1000,644,8662.177398224012,158.99408837698866,8821.171486601,458.6129150390625,461.37615966796875,633,543,"[-38483748.0, -38473944.0, -38481760.0, -38480628.0, -38487484.0, -38466460.0, -38467816.0, -38473044.0, -38485508.0, -38474384.0]","[-55513563136.0, -55521943552.0, -56582430720.0, -56415764480.0, -55846363136.0, -55888814080.0, -56240345088.0, -55744176128.0, -56003149824.0, -55287398400.0]","[-48926176.0, -48929032.0, -48923936.0, -48920228.0, -48924264.0, -48931176.0, -48916324.0, -48912272.0, -48937932.0, -48944228.0]","[110929272832.0, 110946025472.0, 113067016192.0, 112733691904.0, 111594872832.0, 111679766528.0, 112382861312.0, 111390531584.0, 111908421632.0, 110476910592.0]","[350789184.0, 350842176.0, 357549312.0, 356495264.0, 352893984.0, 353162464.0, 355385824.0, 352247808.0, 353885536.0, 349358688.0]","[3.954338899347931e-05, 0.00010273349471390247, 8.329952106578276e-05, 3.74938863387797e-05, 1.3662100172950886e-05, 0.00019178312504664063, 7.680040289415047e-05, 7.738309795968235e-05, 4.9122332711704075e-05, 0.00016784184845164418]","[0.0008054303470999002, 0.0029441979713737965, 0.0021993659902364016, 0.0005524071748368442, 0.0003251543967053294, 0.003971358761191368, 0.0013919605407863855, 0.0015230730641633272, 0.0009833617368713021, 0.003531483467668295]",,,,,"[0.15024694800376892, 0.15447503328323364, 0.14819218218326569, 0.14986160397529602, 0.14839911460876465, 0.1507941633462906, 0.1356731653213501, 0.14470034837722778, 0.15539802610874176, 0.14175131916999817]","[0.10009364783763885, 0.09853417426347733, 0.09874580800533295, 0.09600726515054703, 0.09633328765630722, 0.09974473714828491, 0.08773831278085709, 0.09617723524570465, 0.1024203673005104, 0.0942053347826004]"
