run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.013378120929578869,0.051290130350478275,0.015563300064494407,0.042765981878903826,0.14033797277474033,0.06892682988485835,0.14270775846896003,0.06171356033334871,0.4993236376933834,0.03614732654088565,128-128-128,512,1000,762,4166.7528756180545
2,187,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.013144493134917723,0.037601899728827576,0.01816375270000891,0.04515400747493497,0.14888649810089394,0.07506048620181954,0.14942529670178817,0.08157492580235656,0.5301911642778234,0.02764288459789942,128-128-128,512,1000,901,4939.18867447204
3,377,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.006603480778044542,0.021788900109248506,0.006873001886589458,0.018764661274416266,0.15766123636511217,0.06630435259558043,0.1525709331934344,0.08121762898100017,0.7074152122975187,0.04050303987154797,128-128-128,512,1000,828,4351.854974290938
4,440,16,100000,corr,10,MAFN,relu,8,-5,0,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128-128-128,512,1000,nan,nan
5,520,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.01775152120711207,0.061349664114837485,0.02174585761831486,0.05341068511850522,0.1383728226738436,0.05665953826647679,0.14068547909877743,0.06272504783887634,0.5660298715248453,0.0425177915513155,128-128-128,512,1000,1000,5127.285742086009
6,541,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.01217549106280848,0.04688760988095083,0.017263983059441067,0.057966635771648824,0.12973089422969553,0.040827443194384694,0.12019402746792102,0.049461767661658065,0.5453383812464552,0.02793548674410968,128-128-128,512,1000,767,3707.6314850680064
7,721,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.02329242607886544,0.11090622977521215,0.01763211155873788,0.06018818920071961,0.1607400467681611,0.06739698907017742,0.15637796044671914,0.07691952607537388,0.6458633808915809,0.03567498781456181,128-128-128,512,1000,926,3893.014665286988
8,869,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.05209214746666113,0.10853395249130662,0.03859853303005521,0.0750489271756947,0.10714174877568769,0.04507760893801027,0.1063804816492558,0.05047622975312336,0.40020994277779576,0.02961639902503041,128-128-128,512,1000,1000,4251.259122576099
9,926,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.04298250573657368,0.11149458234804392,0.03373588157609046,0.06746556481868544,0.10802290916934623,0.043743543347266656,0.10482231657570203,0.04936981248006927,0.4393017166005538,0.02507267127879407,128-128-128,512,1000,1000,4132.902208312065
10,933,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.04661046460777492,0.09063390962353833,0.04834002270710371,0.07382773997716417,0.09283380114150105,0.041983390543221,0.0970346854690764,0.039535847107650054,0.448433867802717,0.03775066182160973,128-128-128,512,1000,906,3705.6697432670044
4,440,16,100000,corr,10,MAFN,relu,8,-5,0,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128-128-128,512,1000,nan,nan
4,None,16,100000,corr,10,MAFN,relu,8,-5,0,None,0.048007100436582836,0.10634579673463526,0.04307276950793332,0.07271888438658979,0.09613648006367169,0.04233220600045148,0.09625553895662017,0.042666345227768056,0.45244518589718774,0.06323305087938656,128-128-128,512,1000,923,3860.5096208949108
