run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,MAFN,relu,8,-5,0,,0.03450725565788086,0.05838638144197302,0.03586426100283961,0.039420345160394346,0.07657920394530855,0.021882096767395953,0.07774157397391974,0.02492181475841793,0.08678334020137125,0.010203510698605485,256-256-256,512,1000,546,1625.6441829029936
2,187,4,100000,corr,5,MAFN,relu,8,-5,0,,0.03553335849910353,0.05330671974449768,0.02233767381551145,0.04720773525291576,0.0934434096165527,0.03503427861862036,0.08672056364992163,0.026814409213065937,0.08989960348245567,0.008844781763297213,256-256-256,512,1000,673,2029.063342316891
3,377,4,100000,corr,5,MAFN,relu,8,-5,0,,7.060502306378195e-13,3.5607928547301813e-12,0.001,0.0,0.369892850276063,0.15663705716014104,0.3762824234100377,0.10781102475634816,0.8073370481432354,0.009473787195775718,256-256-256,512,1000,90,273.6534985860344
4,440,4,100000,corr,5,MAFN,relu,8,-5,0,,0.0002573181300584102,0.0013032312172115022,0.001033101608349396,0.00020671947788574596,0.11902107059709113,0.04767592388190627,0.12440216115805106,0.036749121973528164,0.10409192982976256,0.010568971513204893,256-256-256,512,1000,311,931.9400326180039
5,520,4,100000,corr,5,MAFN,relu,8,-5,0,,1.5048372978602268e-05,5.971341462894766e-05,0.001,0.0,0.1202977095670753,0.03512401964749983,0.11224117755593332,0.0332231645660691,0.07172088020899788,0.008061372414177178,256-256-256,512,1000,263,806.364374264027
6,541,4,100000,corr,5,MAFN,relu,8,-5,0,,0.0008844614486222754,0.003161448103896238,0.0016570237734428051,0.0023119861566700695,0.14583981914714753,0.0719582515018042,0.1477136474317528,0.06791875867324922,0.061884091039266696,0.011559916787079476,256-256-256,512,1000,588,1778.4675772000337
7,721,4,100000,corr,5,MAFN,relu,8,-5,0,,4.732255206809035e-31,1.7828232991511394e-30,0.001,0.0,0.44095215655021036,0.09041733748286426,0.39411782254017275,0.12020337751386359,0.4773730884950306,0.00812561566565915,256-256-256,512,1000,77,241.75229168997612
8,869,4,100000,corr,5,MAFN,relu,8,-5,0,,0.00039223038416875576,0.0009330452917428996,0.001,0.0,0.1530791222823563,0.03337649439174878,0.15129557772179458,0.036155758553269135,0.27521201389486316,0.012816604926476237,256-256-256,512,1000,254,817.653098559007
9,926,4,100000,corr,5,MAFN,relu,8,-5,0,,0.03971807693497923,0.0645248405218629,0.017168748349203112,0.02432454816762594,0.08107958847768762,0.032594533865175204,0.081331730788263,0.02533744183663465,0.12784499632261342,0.007403885598231992,256-256-256,512,1000,424,1356.2977803570684
10,933,4,100000,corr,5,MAFN,relu,8,-5,0,,0.0024368229931764004,0.006465375595588027,0.0034633891677376557,0.005225452776854455,0.10207147143052162,0.014955105178874011,0.0952530662917635,0.02079182559726903,0.1029072058061741,0.012167884136426527,256-256-256,512,1000,428,1350.4437346350169
