run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4863548174511894,0.4853670017123109,0.21772240235661688,0.21839167429488437,0.033409475181619276,0.033409475181619276,0.03644982000213584,256-256-256,512,1000,361,2041.8427118221298
2,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.48095487495805317,0.46780549780847935,0.2082312327767519,0.20869485878151212,0.024873037814104864,0.024873037814104864,0.04369987184120789,128-128-128,512,1000,255,1426.234129072167
3,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.5245058086187189,0.521248775458662,0.22146693193799877,0.22167182502315447,0.0366109287901003,0.0366109287901003,0.14059090560912185,128-128-128,512,1000,293,1590.9743303665891
4,0,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.49427986555337433,0.48915865659038166,0.21240179535824155,0.21413209966029936,0.04027238502902658,0.04027238502902658,0.2526461981247398,128-128-128,512,1000,301,1648.9275523982942
5,0,64,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.3291578672257541,0.34494526479559495,0.17810481948489978,0.17191753919994718,0.09911221041154526,0.09911221041154526,1.1708762628930574,128-128-128,512,1000,227,1675.731898168102
6,0,100,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4026582452478352,0.4072907523818129,0.19542507506328174,0.19455677458510554,0.07322217848184305,0.07322217848184305,1.3939312229469303,256-256-256,512,1000,193,1118.0094420537353
7,0,200,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.055017339671488745,0.026707510812239717,0.02353212864079002,0.04315962011377214,0.28252257479521525,0.28252257479521525,14.972183271607937,128-128-128,512,1000,790,4954.668043574318
8,0,400,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.05718287291430567,0.024054427243007527,0.028505848013659324,0.046532870558876796,0.2633186710942359,0.2633186710942359,24.871900501845587,128-128-128,512,1000,701,4781.352154515684
10,0,4,100000,corr,2,MsplineN,relu,32,-16,0,None,-1,0.45274984652242195,0.466021224159483,0.21669641627058955,0.207021041810118,0.050102044053907266,0.050102044053907266,0.04276324751756399,512-512-512,512,1000,227,1213.98649836611
11,0,4,100000,corr,2,MsplineN,relu,64,-16,0,None,-1,0.4758544541334474,0.48596009211134455,0.2205282140885846,0.21533992923301248,0.027560971678412646,0.027560971678412646,0.012370410673872368,512-512-512,512,1000,275,1471.5260485298932
12,0,8,100000,corr,2,MsplineN,relu,32,-16,0,None,-1,0.42938159647345786,0.43702511240039543,0.20785401697761657,0.19974115507575008,0.06806731360078877,0.06806731360078877,0.07172347533113643,512-512-512,512,1000,124,684.0962981283665
13,0,8,100000,corr,2,MsplineN,relu,64,-16,0,None,-1,0.4386685176464309,0.4265109749649074,0.2137779619715377,0.20713344854902407,0.055430371158380745,0.055430371158380745,0.08220755475981584,512-512-512,512,1000,127,701.7073426712304
14,0,16,100000,corr,2,MsplineN,relu,32,-16,0,None,-1,0.47542516370973975,0.4778651916973545,0.2145713477427812,0.21337631404081467,0.04039348633330162,0.04039348633330162,0.1768949535151006,512-512-512,512,1000,101,558.371592531912
15,0,16,100000,corr,2,MsplineN,relu,64,-16,0,None,-1,0.34511031887079835,0.364489814482492,0.1778731149920934,0.17525269042422592,0.10026904818258062,0.10026904818258062,0.3530410968054323,512-512-512,512,1000,110,628.3430437259376
16,0,32,100000,corr,2,MsplineN,relu,32,-16,0,None,-1,0.39761164292611983,0.42446043370170305,0.20026446730937836,0.19358381532668265,0.06195837833381193,0.06195837833381193,0.5813521291047594,512-512-512,512,1000,104,584.8571719387546
17,0,32,100000,corr,2,MsplineN,relu,64,-16,0,None,-1,0.4498050851133609,0.4611755085758077,0.21039889767528508,0.2050803761116581,0.04504318835916374,0.04504318835916374,0.25186284285663735,512-512-512,512,1000,110,642.0673649366945
18,0,64,100000,corr,2,MsplineN,relu,32,-16,0,None,-1,0.4161297744832929,0.4422139338875698,0.2126475704643136,0.19847197564550811,0.07016060778547001,0.07016060778547001,0.8598835335101987,512-512-512,512,1000,108,632.7980411667377
19,0,64,100000,corr,2,MsplineN,relu,64,-16,0,None,-1,0.4224944664794478,0.4604943079610812,0.21172187986050095,0.19529301961837411,0.059587495142540206,0.059587495142540206,0.9917326557895415,512-512-512,512,1000,116,797.0040651448071
20,0,100,100000,corr,2,MsplineN,relu,32,-16,0,None,-1,0.3883067071881801,0.40510771563018627,0.1977703335374532,0.18912760458475814,0.05257402245939073,0.05257402245939073,0.9998380354470574,512-512-512,512,1000,95,637.5094875311479
21,0,100,100000,corr,2,MsplineN,relu,64,-16,0,None,-1,0.3051662151840265,0.31318973486246415,0.16894794141759154,0.16262841425405186,0.09626237373444184,0.09626237373444184,2.450132401057794,512-512-512,512,1000,92,734.4591886140406
22,0,200,100000,corr,2,MsplineN,relu,32,-16,0,None,-1,0.2722649474873553,0.2775348595430333,0.15517658115917193,0.1463069384957909,0.1310460010243677,0.1310460010243677,5.6754385136227645,512-512-512,512,1000,98,835.6263262275606
23,0,200,100000,corr,2,MsplineN,relu,64,-16,0,None,-1,0.34237327773940585,0.35339085328000647,0.18333321297877328,0.17607180477574294,0.08934694894527914,0.08934694894527914,5.095035467480188,512-512-512,512,1000,102,1342.103733394295
24,0,400,100000,corr,2,MsplineN,relu,32,-16,0,None,-1,0.1299554469723506,0.11090988262738342,0.08701597344091538,0.09024642144412465,0.18988949946194394,0.18988949946194394,21.71319037770861,512-512-512,512,1000,116,1654.4896872723475
25,0,4,100000,corr,5,MsplineN,relu,12,-16,0,None,-1,0.5086219429849229,0.49755899206083387,0.2251776778506196,0.22355136618807264,0.03803034848763181,0.03803034848763181,0.030741827882243382,128-128-128,512,1000,310,4642.202876954339
26,0,8,100000,corr,5,MsplineN,relu,12,-16,0,None,-1,0.45950774609536515,0.47059460439138723,0.2081397145338042,0.20522536674715805,0.07869282488650353,0.07869282488650353,0.07341108392484282,128-128-128,512,1000,181,2695.132287560962
27,0,16,100000,corr,5,MsplineN,relu,12,-16,0,None,-1,0.5035932532960257,0.5173982263477714,0.21760000257402234,0.21605002491312622,0.047726037064636344,0.047726037064636344,0.1138410199331536,128-128-128,512,1000,200,2944.7828766386956
28,0,32,100000,corr,5,MsplineN,relu,12,-16,0,None,-1,0.4803532174845345,0.48835043846445914,0.21311193125910738,0.21289264176588987,0.03953424563628242,0.03953424563628242,0.2561232043268125,128-128-128,512,1000,202,3076.124506507069
29,0,64,100000,corr,5,MsplineN,relu,12,-16,0,None,-1,0.4264068686942116,0.42214148095933524,0.19910680271631256,0.19864007326825897,0.07321042798077844,0.07321042798077844,0.7871611946290358,128-128-128,512,1000,173,2659.351233743131
30,0,100,100000,corr,5,MsplineN,relu,12,-16,0,None,-1,0.47905764396503747,0.48399562758827347,0.2164425602778104,0.21436115739236092,0.0436423322743697,0.0436423322743697,1.0170991546196546,128-128-128,512,1000,193,2981.4748661248013
31,0,200,100000,corr,5,MsplineN,relu,12,-16,0,None,-1,0.26291307919576923,0.25812822684241543,0.1551492800170758,0.14922671250525774,0.14188436927530396,0.14188436927530396,6.714460429924463,128-128-128,512,1000,191,2990.937485153787
