run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,0.3275947078736611,0.2554438075555487,0.1817467846544753,0.0835523634878996,0.0439738013883295,0.019997316020594,0.0503391546749962,0.0198816869113195,0.0606177520755593,0.012121082953216,256-256-256,512,1000,361,2041.8427118221296
2,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.5111719097181384,0.2785162895633958,0.2221422087131173,0.0583340843862646,0.0396793818783687,0.0152790921121685,0.041402850647644,0.0170393107849197,0.097529893242331,0.0222567556721591,128-128-128,512,1000,255,1426.234129072167
3,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,0.3903855130017243,0.284981620628777,0.198537531883019,0.0796257215827205,0.0457188357284468,0.0197849289927902,0.0448088137806694,0.0196125152754946,0.2113881169568792,0.0308414484100036,128-128-128,512,1000,293,1590.9743303665891
4,0,32,100000,corr,2,MsplineN,relu,8,-16,0,None,0.3259034398419311,0.2784704540849815,0.1737676817507233,0.0932261757694637,0.0523778612076313,0.0240133830786548,0.0539697373259667,0.0270701197392053,0.420999188795719,0.072395872917076,128-128-128,512,1000,301,1648.9275523982942
5,0,64,100000,corr,2,MsplineN,relu,8,-16,0,None,0.0349716350272137,0.0977159363791709,0.0314887872280994,0.0627311671714068,0.1061899159701261,0.0474628727288775,0.1029268460712934,0.0525404031716735,1.6020206726293715,0.1570975587294741,128-128-128,512,1000,227,1675.731898168102
6,0,100,100000,corr,2,MsplineN,relu,12,-16,0,None,0.123713881645007,0.1916522725371508,0.0896472201808986,0.0969661647541529,0.0769429463555317,0.0372995661647525,0.0766161070804575,0.041002605167184,1.8928552630976236,0.1829676777769913,256-256-256,512,1000,193,1118.0094420537353
7,0,200,100000,corr,2,MsplineN,relu,12,-16,0,None,0.0033510575658664,0.0362302953988073,0.0029543469083564,0.0173907560078856,0.2141740374248211,0.1050040955980873,0.2138240001982453,0.1092728046748936,16.38783778342532,0.4929287417500045,128-128-128,512,1000,849,5030.020868727006
8,0,400,100000,corr,2,MsplineN,relu,8,-16,0,None,0.0005426253569389,0.0082133151309909,0.0018498777673578,0.0109459765220812,0.2980267298070702,0.1550980367017897,0.2905986192513301,0.1623409196069958,34.897533743631065,1.1561902187737896,128-128-128,512,1000,701,4781.352154515684
10,0,4,100000,corr,2,MsplineN,relu,32,-16,0,None,0.2754157143338541,0.2688704901034432,0.1485350715468478,0.1066164319622555,0.0594455112301081,0.0335649806385378,0.0626814820068714,0.0300622340738414,0.0564914216256911,0.0178703750797566,512-512-512,512,1000,227,1213.98649836611
11,0,4,100000,corr,2,MsplineN,relu,64,-16,0,None,0.3648202894177184,0.3161849122919034,0.193180129265339,0.0828104925889057,0.0374331034777802,0.0149356612931271,0.0371356902813531,0.0148151020752704,0.0301276302190886,0.0071753848488241,512-512-512,512,1000,275,1471.5260485298932
12,0,8,100000,corr,2,MsplineN,relu,32,-16,0,None,0.0952152412406535,0.11815532381453,0.0666124547675175,0.0777924586318489,0.0687823493010643,0.0202554527667302,0.0674933318246307,0.0263625822286273,0.1174272222292302,0.0125793583794167,512-512-512,512,1000,124,684.0962981283665
13,0,8,100000,corr,2,MsplineN,relu,64,-16,0,None,0.1815378397584529,0.2470644682113668,0.101427205753009,0.0871838298123645,0.0622339543809644,0.02369067640242,0.0648167844556381,0.0265356255611019,0.1218968098481639,0.0101757541731999,512-512-512,512,1000,127,701.7073426712304
14,0,16,100000,corr,2,MsplineN,relu,32,-16,0,None,0.1634098760411958,0.2072242834229556,0.1101411319003341,0.0956287093605961,0.0565538271643565,0.0250211578108777,0.0578500802576994,0.022929462937189,0.2967392346485041,0.0348483313114932,512-512-512,512,1000,101,558.371592531912
15,0,16,100000,corr,2,MsplineN,relu,64,-16,0,None,0.0342166239938422,0.0757915096933218,0.0205988867094422,0.041967294205973,0.112044234025877,0.0481994300306754,0.1081527280738084,0.0493271355163571,0.5340044709300809,0.0571025800339277,512-512-512,512,1000,110,628.3430437259376
16,0,32,100000,corr,2,MsplineN,relu,32,-16,0,None,0.0835470332682052,0.1396018475964157,0.0583234989473969,0.0800784110170226,0.0787495134984923,0.0327775079185971,0.083159900644626,0.0342090793758339,0.8505003857728868,0.0840395418456982,512-512-512,512,1000,104,584.8571719387546
17,0,32,100000,corr,2,MsplineN,relu,64,-16,0,None,0.1749821929737259,0.205147559590129,0.1017928326995663,0.093152469267624,0.0595395245142596,0.0212760616531595,0.0585216417295844,0.0253260352111849,0.4806040137513611,0.0526968075592438,512-512-512,512,1000,110,642.0673649366945
18,0,64,100000,corr,2,MsplineN,relu,32,-16,0,None,0.0698972189872948,0.1270378345943974,0.0453289607422852,0.0703552039330716,0.0831436019744736,0.0345826190909157,0.0803492591359646,0.0360834829535402,1.35375900316996,0.1443972978723697,512-512-512,512,1000,108,632.7980411667377
19,0,64,100000,corr,2,MsplineN,relu,64,-16,0,None,0.094706018011977,0.1562089258215797,0.0581047924256407,0.0822874898207142,0.074001865207129,0.035311475864,0.0758946506094977,0.0361672829975034,1.5665917891911592,0.2381426217056187,512-512-512,512,1000,116,797.0040651448071
20,0,100,100000,corr,2,MsplineN,relu,32,-16,0,None,0.1133246297946347,0.1751931448321708,0.0759817358869495,0.0911923382711686,0.0682312490909923,0.0294998353466485,0.069513307098007,0.0315482928762374,1.626617399667463,0.1369373034384366,512-512-512,512,1000,95,637.5094875311479
21,0,100,100000,corr,2,MsplineN,relu,64,-16,0,None,0.0367194145518963,0.0884079255661103,0.0262541634040387,0.054001338091605,0.107777412378538,0.0504890624922709,0.1088254726246452,0.0493577735343971,3.451745887537187,0.19297960686485,512-512-512,512,1000,92,734.4591886140406
