run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.4683824064949739,0.26898957206303264,0.2173962356397446,0.05964215853408429,0.041228282007763475,0.021500794078364117,0.04360790342446598,0.01953712950616925,0.028843209944003557,0.007115876735030143,128-128-128,512,1000,600,2854.8329811710864
2,187,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.3579839544753319,0.2521078463540006,0.23097114538163693,0.04663100258022666,0.03961390999025573,0.018737425765986016,0.0428740600099657,0.016210621661222738,0.031274803576992916,0.010708529179333964,128-128-128,512,1000,608,2999.6103605888784
3,377,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.4332395542258518,0.22258580314412874,0.2051173724855792,0.07783837898386682,0.04798930718507351,0.024206937099501544,0.047137122933081525,0.021142428384046362,0.036209217825936155,0.009388322617300614,128-128-128,512,1000,578,2981.57946443744
4,440,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.4513633972805648,0.2758034497059632,0.2190943129785948,0.05986523699650289,0.036983773516341675,0.013933944811619109,0.03829479559910305,0.014496722090955863,0.03805596905004152,0.010553593538245969,128-128-128,512,1000,545,2613.7829827647656
5,520,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.23415203420982572,0.21982168043983114,0.15995555816832618,0.1001142455707254,0.054957141311980394,0.018480010270188592,0.0556969120116456,0.021852989134262042,0.04125554070518951,0.0068753702743638906,128-128-128,512,1000,850,4148.334809801541
6,541,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.3577807168902337,0.2740530378479998,0.17323711985256743,0.10097035729950647,0.043076953699847056,0.013264706396319078,0.04872245524265833,0.016732812376536652,0.06383766385204538,0.007795982064051416,128-128-128,512,1000,661,4144.226775260642
7,721,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.4654918829128493,0.2506812986857014,0.23934316000934824,0.03671241119411483,0.039030672276471404,0.022069909005212125,0.04134378101043207,0.019011395468530645,0.028160876469224865,0.005606020943488311,128-128-128,512,1000,582,3483.6219991771504
8,869,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.44114428452780763,0.2531061219511082,0.20966587546766952,0.0677751911610944,0.03937129050716638,0.014208207220815594,0.038966820204993986,0.015540502086031808,0.02490525468585982,0.009422398855201195,128-128-128,512,1000,676,3905.30729446467
9,926,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.51152041603553,0.26780786683965113,0.22462243071374038,0.06129271323826479,0.03634086789680988,0.016491838346870534,0.041095311197119934,0.01661927922272364,0.03812009569494916,0.009580171227687196,128-128-128,512,1000,474,2181.5392517047003
10,933,4,100000,corr,2,MsplineN,relu,8,-16,0,,0.31917246654965964,0.26195888891873353,0.18768402176577617,0.07900354714986148,0.04816886697957792,0.02029716439165287,0.047075830147669355,0.019344816020207118,0.053727459376578156,0.011088920589612954,128-128-128,512,1000,650,3438.800312004052
