run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.29784290153434045,0.2388500395198622,0.1730258914595942,0.08795025930431254,0.05285108123056309,0.02032470414593849,0.05007743708136935,0.02184066664658538,0.11058925210485115,0.02794907939240745,128-128-128,512,1000,436,2071.125586505048
2,187,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.4790459068999571,0.2918079711521814,0.21264978674403362,0.06453073467983893,0.041299974323712005,0.019097389249029338,0.04215063053881315,0.01705710199682365,0.07779104673843829,0.01600474717770393,128-128-128,512,1000,474,2251.949534924701
3,377,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.339152645994588,0.2799242211676905,0.18865765293930736,0.07963821037270864,0.05385722671713498,0.02431680041892209,0.054264558334818934,0.022557721300858622,0.07953584371496403,0.015015189826204416,128-128-128,512,1000,404,2041.1588436905295
4,440,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.2859039761103286,0.28567580847344376,0.14581222668041657,0.09612399466428437,0.06402740351598078,0.03046943244549637,0.060750500591355276,0.028768595018685277,0.09974689358447927,0.017228700223696283,128-128-128,512,1000,404,1896.6256825104356
5,520,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.4445271549766473,0.2898462768208785,0.22237284341289648,0.05999865322033232,0.04298289257622855,0.017404125081386987,0.0419429985079622,0.017696183640331094,0.0711704503427604,0.013917661578949907,128-128-128,512,1000,486,2483.3017885508016
6,541,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.36014823613974656,0.27253305964048175,0.2025943679407045,0.07285691253206733,0.0509372707935179,0.02331912263425008,0.049135621989944984,0.023482095091761482,0.08281545623310693,0.021362233497805083,128-128-128,512,1000,398,2052.8660075794905
7,721,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.3298203832589738,0.28896038384157513,0.1747306957620401,0.08992304225204156,0.05648668119919446,0.026787716547682812,0.05697910053538401,0.028102414411929035,0.0992441439656663,0.02358061975131131,128-128-128,512,1000,426,2031.1067535243928
8,869,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.42020031609849784,0.2867435334841159,0.20692150386199634,0.07611255192766728,0.04564209505720138,0.018266380180480848,0.046421033220984294,0.019066254863939244,0.08795166700598883,0.015099861303151732,128-128-128,512,1000,419,2632.317113392055
9,926,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.5721109582574398,0.27835885313090797,0.23179105208296188,0.050392273499631754,0.03820309562315675,0.017019214819389884,0.03917060925772389,0.01596618164757561,0.07856526517664694,0.013791333411468076,128-128-128,512,1000,395,2551.912515495904
10,933,8,100000,corr,2,MsplineN,relu,12,-16,0,None,0.3809057791321714,0.2713677031706612,0.18447414151714342,0.08865176103391427,0.05183435922996393,0.02077581823467215,0.04974112315664242,0.024090704017641906,0.08235529957637162,0.02024266266147161,128-128-128,512,1000,378,2283.3340811133385
