run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.06844520593959494,0.13586096191392794,0.05144709141331618,0.07935570883487385,0.08507389080837983,0.036310396813271154,0.08292198830051735,0.04093323415725546,2.1023690190893602,0.07205397933785128,128-128-128,256,1000,343,2307.0305364420637
2,187,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.03187088060472146,0.0983741122064913,0.03186274524686937,0.06652509144401433,0.10879647196026825,0.049902927057467,0.10638531549191255,0.05242272954088155,1.8737094478354976,0.1563244350089591,128-128-128,256,1000,261,1737.4854580936953
3,377,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.07536366558182055,0.12578650576517567,0.06189845054449672,0.08061346561986713,0.0742063343233282,0.027417427770793854,0.07313910056063366,0.03218706816802776,1.5614948674874065,0.14246539612310988,128-128-128,256,1000,317,1992.669534153305
4,440,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.04175461240907372,0.10232593600089701,0.03706920210686278,0.0701060150077226,0.10386785198140322,0.05034393836898452,0.10414138454280976,0.05222403593911668,2.0275719216053507,0.18002004462961896,128-128-128,256,1000,363,2260.085564536974
5,520,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.044426780161918145,0.11003436512827776,0.03957039607919166,0.06966879317161383,0.08741037090483032,0.0342027273474494,0.08552163674023007,0.0367004300067711,2.111398024423419,0.21533180992853776,128-128-128,256,1000,430,2852.592177138664
6,541,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.025025795748627695,0.07264912225807661,0.019408415670696982,0.0448895743707128,0.10909037713016949,0.04062916766005846,0.1100025082074661,0.04891934346351623,2.19152102695286,0.07343027107838268,128-128-128,256,1000,317,1885.8126264698803
7,721,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.026998320771147465,0.09569975572374248,0.019390822402457826,0.05072616024957614,0.12749857459397657,0.05830894653538825,0.12222939741954106,0.061980125944230885,2.417620044687316,0.19980601039729554,128-128-128,256,1000,436,2232.557217568159
8,869,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.17705263536052201,0.22680351252331793,0.11645684084433458,0.09944930216805158,0.05782915836220147,0.023418833777077756,0.05657228908637943,0.02431472086166107,1.1339839318594582,0.13321775352722026,128-128-128,256,1000,287,1467.534051827155
9,926,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.05297610455195099,0.11699906386215334,0.04449086473103284,0.07031277752947639,0.09097502554018984,0.03910112103285753,0.09014084926364829,0.04187835416595464,2.219882858030653,0.12343030910867171,128-128-128,256,1000,355,1591.351906048134
10,933,64,100000,corr,5,RealNVPN,relu,8,-5,0,,0.09191078749958928,0.1552067239158969,0.07330084156913781,0.09015139913808065,0.07184280547172198,0.02714671657761305,0.06956603783718535,0.03131236292798332,1.437856496303702,0.1136901441509565,128-128-128,256,1000,287,1232.3462529182434
