run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.06294796424435938,0.11551835592502661,0.04622026223192577,0.0687954539318499,0.07219363384127626,0.023004145147088696,0.0717852920024389,0.02790633288566758,0.1361323158725776,0.016011829374672933,128-128-128,256,1000,359,2672.9859239934012
2,187,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.04950708674523803,0.12799956473635787,0.04423847537167611,0.06896255760714977,0.0780333467862139,0.023319828603578646,0.07703342972221922,0.029511523374797257,0.1489587951865378,0.01614528300373845,128-128-128,256,1000,300,2339.6843696190044
3,377,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.01413216700705371,0.025702308858080267,0.018095141635662094,0.025487763042214624,0.09867035259084318,0.03379436067168945,0.09458077319665574,0.04141454297495412,0.23432849635579228,0.029585873396538197,128-128-128,256,1000,323,2299.297885309905
4,440,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.05404845291921252,0.12018558687199772,0.04531563552569931,0.06933805419123071,0.09021278605121237,0.03219831626149714,0.08539598143528511,0.04299986038979158,0.14723857789900333,0.01416887383862886,128-128-128,256,1000,336,2463.0485511804
5,520,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.027129456759686664,0.061161777889923316,0.026502661423578766,0.05892380351083579,0.11044687036692916,0.038948537734579465,0.11013053620597937,0.05252061233052682,0.3231989990246946,0.02271775288808139,128-128-128,256,1000,302,1988.9097172683105
6,541,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.1179793580648637,0.15310311395257856,0.09548344958859364,0.08757141248432322,0.0601718316095883,0.018696412379287652,0.05788133894366871,0.018246240960201825,0.08797136039653781,0.012670767189560752,128-128-128,256,1000,246,1649.061291873455
7,721,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.08778889132721093,0.11840526411094762,0.058500042652783635,0.06754058159988907,0.0723810189960109,0.025921744412028852,0.0698003125831427,0.027292714132994698,0.13999053899192998,0.02471716040670068,128-128-128,256,1000,366,2252.5068059060723
8,869,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.1036051906614001,0.16030384098598693,0.05862639924086284,0.06851269030974513,0.06679358056505418,0.019059682106614313,0.06654809960648769,0.022855167085838762,0.12153998141848033,0.011194986465324476,128-128-128,256,1000,298,1671.3976475764066
9,926,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.09083296429963124,0.14480490684399933,0.06731455730601965,0.08932412081126614,0.061714543314794146,0.017177984259545576,0.05708182237241283,0.017850735503477332,0.11113168599903908,0.013658415966006792,128-128-128,256,1000,331,1585.546590973623
10,933,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.13930804571757344,0.18332976766282622,0.09893230585017834,0.0896377267038051,0.05542040826233767,0.016004319707998826,0.0510930795863429,0.018858992539189802,0.10335686170002992,0.023474682553995208,128-128-128,256,1000,347,1582.058553405106
