run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,8,100000,corr,2,CsplineN,relu,8,-5,0,None,-1,0.39617925085036665,0.42206621630173663,0.19173970773342325,0.17448856378052716,0.025047203152179717,0.025047203152179717,0.0618426388082434,128-128-128,512,1000,169,1457.6287748431787
2,0,8,100000,corr,2,CsplineN,relu,8,-5,0,None,-1,0.39825392456995895,0.4311146915691047,0.1768263689265384,0.17509449649375694,0.017623982310891156,0.017623982310891156,0.058975100613209534,256-256-256,512,1000,108,951.8663135860116
3,0,8,100000,corr,2,CsplineN,relu,12,-5,0,None,-1,0.4330869383671924,0.4853107665244411,0.2108363350285141,0.1970799478582338,0.02105255378767092,0.02105255378767092,0.08433651160909329,128-128-128,512,1000,115,1136.7775398502126
4,0,8,100000,corr,2,CsplineN,relu,12,-5,0,None,-1,0.3935353605723916,0.4332781505092445,0.19082250769067025,0.17395330600855993,0.030207396850836312,0.030207396850836312,0.054673083564160486,256-256-256,512,1000,126,1266.1713001914322
5,0,8,100000,corr,5,CsplineN,relu,8,-5,0,None,-1,0.3899561410112167,0.375553876406985,0.17107516349723034,0.17622070436020446,0.03665324453239436,0.03665324453239436,0.0818610049272326,128-128-128,512,1000,81,2366.418093137443
6,0,8,100000,corr,5,CsplineN,relu,8,-5,0,None,-1,0.4049411462599608,0.4325768252236705,0.19640720575675927,0.1886601216022283,0.023373080700337872,0.023373080700337872,0.09518887029888937,256-256-256,512,1000,78,2008.4831374846399
7,0,8,100000,corr,5,CsplineN,relu,12,-5,0,None,-1,0.432372062371796,0.4272507580529588,0.19212676004705334,0.19283821761439604,0.019797777951908145,0.019797777951908145,0.07761995286417822,128-128-128,512,1000,78,1917.6205899082127
8,0,8,100000,corr,5,CsplineN,relu,12,-5,0,None,-1,0.4198552054941287,0.43861930313004815,0.20283639039949952,0.200225616425536,0.01795149294614792,0.01795149294614792,0.06790653400450357,256-256-256,512,1000,86,2172.057198818773
9,0,16,100000,corr,2,CsplineN,relu,8,-5,0,None,-1,0.32296929248606204,0.3476177131218584,0.17900684145756313,0.15330797124366408,0.031712878303121514,0.031712878303121514,0.15718771908860246,128-128-128,512,1000,144,1110.5607030773538
10,0,16,100000,corr,2,CsplineN,relu,8,-5,0,None,-1,0.2511043159868033,0.2532548474353375,0.1341797937989538,0.12384688757805075,0.03675830669224262,0.03675830669224262,0.14577486319864685,256-256-256,512,1000,127,1014.9597646752372
11,0,16,100000,corr,2,CsplineN,relu,12,-5,0,None,-1,0.3267872902776213,0.34795867519981466,0.19126492542354154,0.1607373793638803,0.02905678954891515,0.02905678954891515,0.12998174709835786,128-128-128,512,1000,150,1348.5878187371418
12,0,16,100000,corr,2,CsplineN,relu,12,-5,0,None,-1,0.3265048329613891,0.3916300225078333,0.18747207197623364,0.15423921824996842,0.03176862297785433,0.03176862297785433,0.14518326007818033,256-256-256,512,1000,98,904.8642679043114
13,0,16,100000,corr,5,CsplineN,relu,8,-5,0,None,-1,0.39992684999944894,0.4117602142821661,0.19292864845402172,0.18230866845609225,0.029129739282478695,0.029129739282478695,0.1350580090350011,128-128-128,512,1000,83,1780.1880088066684
14,0,16,100000,corr,5,CsplineN,relu,8,-5,0,None,-1,0.3536489955448747,0.3736571132638427,0.17584897611088168,0.16537864091621166,0.039176489444648036,0.039176489444648036,0.15354989162547908,256-256-256,512,1000,77,1676.9909826135265
15,0,16,100000,corr,5,CsplineN,relu,12,-5,0,None,-1,0.4033545823800947,0.4402970718277174,0.20466864024677525,0.18202160078066754,0.030451233015399162,0.030451233015399162,0.1503069366772946,128-128-128,512,1000,76,1942.337950637564
16,0,16,100000,corr,5,CsplineN,relu,12,-5,0,None,-1,0.4099191374070232,0.4186820543801584,0.1976178085406229,0.1837826203426101,0.026866768078319718,0.026866768078319718,0.1695039133364853,256-256-256,512,1000,73,1967.0958043793216
