run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.5270037984993374,0.5235056027202714,0.2197210639481747,0.2201864039621826,0.0055153882991131,0.0055153882991131,0.0267144861134677,128-128-128,512,1000,409,8546.591460535303
2,0,4,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.5298896271488046,0.5300448085955818,0.2203194726410357,0.2206750652229641,0.0051345927874332,0.0051345927874332,0.0318168252018342,256-256-256,512,1000,410,8862.46822377108
3,0,4,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.5061245057653752,0.5004162722654071,0.2160088968580678,0.2144297548275253,0.0086056379798045,0.0086056379798045,0.0243126244030867,512-512-512,512,1000,523,11207.263963364065
4,0,4,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.5169667133290424,0.5221123707403691,0.2185318860389787,0.2173057339518948,0.0065444889776517,0.0065444889776517,0.0277505068643021,128-128-128,512,1000,395,10383.350410586225
5,0,4,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.5055048756015876,0.5079737476469057,0.2170402619413906,0.214727911305199,0.0076501967714768,0.0076501967714768,0.0252541331723884,256-256-256,512,1000,400,9736.437954084948
6,0,4,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.4875365098892163,0.4920441140996808,0.2176430700387744,0.2153054437116383,0.0091853365381256,0.0091853365381256,0.0177417244359037,512-512-512,512,1000,433,10519.272598834708
7,0,4,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.4862967463174256,0.4834494511745558,0.2161078484726659,0.2149578919026999,0.007197804904741,0.007197804904741,0.0192919399782742,128-128-128,512,1000,359,14853.432166270912
8,0,4,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.4842879886529785,0.470052142633842,0.2146449692855579,0.2149914394008803,0.0077473826267527,0.0077473826267527,0.0199787334041373,256-256-256,512,1000,347,14711.10458658822
9,0,4,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.5172170517861338,0.5198426695668221,0.2224407147894606,0.2210832109034503,0.0064490133527378,0.0064490133527378,0.0250892768980973,512-512-512,512,1000,542,25918.37206363678
10,0,4,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.4968886877262463,0.4825302133299725,0.2219824446309754,0.2199669340753881,0.0049464668121352,0.0049464668121352,0.0248367883183372,128-128-128,512,1000,340,19829.78608881682
11,0,4,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.5124100854888294,0.5202441736385557,0.2206453169626447,0.2196490873360729,0.0064058264778476,0.0064058264778476,0.0225704471441714,256-256-256,512,1000,303,16162.758663645014
12,0,4,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.5176442619432107,0.5247467800027402,0.2210368680350415,0.2194941314989223,0.0072854729157706,0.0072854729157706,0.0234946199674266,512-512-512,512,1000,424,24038.70199536532
13,0,8,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.4574507709895054,0.4610273194308782,0.2066607224764454,0.2048066042243494,0.0073682698146903,0.0073682698146903,0.0492647661316614,128-128-128,512,1000,210,4786.116140531376
14,0,8,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.3975076554511458,0.4083686619528163,0.189309137927255,0.1776082983639644,0.0065101164329002,0.0065101164329002,0.0725273580146335,256-256-256,512,1000,276,7203.475349007174
15,0,8,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.4228443027752989,0.4384551884613378,0.1909081114984409,0.1834580053478822,0.008770780031721,0.008770780031721,0.0721909970885479,512-512-512,512,1000,363,10890.470536079258
16,0,8,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.4072855334880922,0.407993228462825,0.1922158551897019,0.1830737547066981,0.0085656010586385,0.0085656010586385,0.06366031636472,128-128-128,512,1000,214,7290.999133832753
17,0,8,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.4672418523314655,0.4705120794423402,0.2063289005084015,0.204850693791153,0.0051171190567988,0.0051171190567988,0.0536618889779642,256-256-256,512,1000,219,8925.027892665938
18,0,8,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.4005558440379733,0.4149248677075032,0.1724224995446167,0.1675782040042575,0.0077598943245806,0.0077598943245806,0.1076816907861476,512-512-512,512,1000,205,8297.728444280103
19,0,8,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.4387803997748418,0.456120245769841,0.1992522544051183,0.1916517403518826,0.0067302524312159,0.0067302524312159,0.0617163769618,128-128-128,512,1000,265,19163.69504341856
20,0,8,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.3958096417709171,0.4171122867271691,0.1696739366702915,0.1721687597887305,0.0127168364966676,0.0127168364966676,0.0736649046400133,256-256-256,512,1000,239,17065.772986570373
21,0,8,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.4473962768583933,0.4341832460610626,0.2117623989985868,0.2002010326800646,0.0050035789007041,0.0050035789007041,0.0507424700979205,512-512-512,512,1000,266,11918.30885968171
22,0,8,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.4442619228464682,0.4641357640757664,0.2024622827207783,0.1979021489111259,0.0080886308812724,0.0080886308812724,0.0592544583485561,128-128-128,512,1000,311,16070.026655431837
23,0,8,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.3768676727080399,0.3886548589978567,0.1668594398820649,0.1640568477864195,0.0131062647389498,0.0131062647389498,0.0649982367086975,256-256-256,512,1000,184,16711.397089552134
24,0,8,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.372410604977431,0.4258657847242854,0.1870864859100842,0.1640383300033817,0.0069574581294151,0.0069574581294151,0.0808042356749881,512-512-512,512,1000,204,11426.392822351308
25,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.2687471664852193,0.2561584363317498,0.1167575476059389,0.1098533123282755,0.0182007877299659,0.0182007877299659,0.1970794145320928,128-128-128,512,1000,209,4620.956891452894
26,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.2905663648041798,0.3314129650998213,0.1338804459451595,0.1240295786779973,0.0151030830088089,0.0151030830088089,0.1901319032150089,256-256-256,512,1000,121,2718.7360763754696
27,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.2685868446447177,0.3076719534313862,0.1456006962532259,0.1184789459644795,0.0185332660296734,0.0185332660296734,0.6842441464944172,512-512-512,512,1000,150,3451.660551963374
28,0,16,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.3085808646894194,0.2954457458299847,0.1522587473654796,0.1338915818157172,0.0094509178286779,0.0094509178286779,0.1598797364394466,128-128-128,512,1000,196,5015.681480076164
29,0,16,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.2856508333253825,0.3281514790363081,0.1511119199829777,0.1201564633402161,0.014307732738037,0.014307732738037,0.1893157674728125,256-256-256,512,1000,129,3380.7102091964334
