run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,MAFN,relu,8,-16,0,None,-1,0.508573909522667,0.5155307727562541,0.2199277001628755,0.2169132319384826,0.0097702667294928,0.0097702667294928,0.017493384724605,128-128-128,512,1000,311,730.4029490351677
2,0,4,100000,corr,5,MAFN,relu,8,-16,0,None,-1,0.5103639812691203,0.4982682334002803,0.218537672853962,0.2138597385656334,0.007895469487605,0.007895469487605,0.0355268016820575,256-256-256,512,1000,188,452.99244684726
3,0,4,100000,corr,10,MAFN,relu,8,-16,0,None,-1,0.517505238728534,0.5317048266687274,0.210508147078262,0.2117203604799766,0.0121337320695152,0.0121337320695152,0.0333447295942539,128-128-128,512,1000,126,556.8584621287882
4,0,4,100000,corr,10,MAFN,relu,8,-16,0,None,-1,0.4800811842714489,0.5002427860777272,0.2120431871894245,0.2013437428117828,0.0085909091598226,0.0085909091598226,0.0505337988364298,256-256-256,512,1000,109,493.0126518327743
5,0,8,100000,corr,5,MAFN,relu,8,-16,0,None,-1,0.2910208409215774,0.3441903706233938,0.1440884702712139,0.1129298983453739,0.0087087762434089,0.0087087762434089,0.0978450787942,128-128-128,512,1000,190,457.4674267526716
6,0,8,100000,corr,5,MAFN,relu,8,-16,0,None,-1,0.2861542845361122,0.3323582748631347,0.1336881738213803,0.1132116384030949,0.0110903671441635,0.0110903671441635,0.1236737657018411,256-256-256,512,1000,224,555.7875047903508
7,0,8,100000,corr,10,MAFN,relu,8,-16,0,None,-1,0.2984967170107922,0.3376138003590783,0.1422295556797478,0.121452291920281,0.0107835726465596,0.0107835726465596,0.082654293732644,128-128-128,512,1000,197,864.9279065318406
8,0,8,100000,corr,10,MAFN,relu,8,-16,0,None,-1,0.2803720895729549,0.346198975303369,0.140895612767237,0.1106877692761124,0.0132022477529128,0.0132022477529128,0.1467383127497366,256-256-256,512,1000,149,681.0361658204347
9,0,16,100000,corr,5,MAFN,relu,8,-16,0,None,-1,3.810226274338677e-06,4.351442640904642e-12,0.001,0.001,0.1422327242754686,0.1422327242754686,5.612034699980722,128-128-128,512,1000,65,161.68250536359847
10,0,16,100000,corr,5,MAFN,relu,8,-16,0,None,-1,0.2166640619641194,0.2385063169442079,0.085700134203486,0.081590187752932,0.0171061919510995,0.0171061919510995,0.2135441906756343,256-256-256,512,1000,169,416.7187145445496
11,0,16,100000,corr,10,MAFN,relu,8,-16,0,None,-1,0.2503317278968516,0.2542070750901897,0.0992005056876582,0.099722267593403,0.0149925297665915,0.0149925297665915,0.2192544509057325,128-128-128,512,1000,304,1390.3754736483097
12,0,16,100000,corr,10,MAFN,relu,8,-16,0,None,-1,0.0539632539029049,0.0032638772141052,0.0011032977116724,0.0171553565726897,0.0470520202148435,0.0470520202148435,1.3245342922476104,256-256-256,512,1000,84,397.8827796988189
13,0,32,100000,corr,5,MAFN,relu,8,-16,0,None,-1,0.2841111286428608,0.3442949496373407,0.134226202098961,0.1080153750272403,0.008630139797811,0.008630139797811,0.2573461921478109,128-128-128,512,1000,687,1686.86591719836
14,0,32,100000,corr,5,MAFN,relu,8,-16,0,None,-1,0.1609564656332093,0.0610607524219309,0.0071995501706596,0.0558108264023597,0.0129995936084112,0.0129995936084112,0.3759342219978409,256-256-256,512,1000,287,702.1485178079456
15,0,32,100000,corr,10,MAFN,relu,8,-16,0,None,-1,0.2660759261987973,0.3173243145516386,0.1177383781600718,0.1012389018821111,0.0085619599233043,0.0085619599233043,0.3217076456624397,128-128-128,512,1000,307,1384.3916935548186
16,0,32,100000,corr,10,MAFN,relu,8,-16,0,None,-1,0.2203004210310486,0.2201936751508139,0.0757389735189675,0.0776635931768665,0.0111914172544979,0.0111914172544979,0.3867863020199357,256-256-256,512,1000,210,974.5075887478888
17,0,64,100000,corr,5,MAFN,relu,8,-16,0,None,-1,0.0841348203403431,0.046632653113984,0.0056872420355287,0.0215584986130399,0.0237695450008641,0.0237695450008641,0.7386916076724006,128-128-128,512,1000,1000,2442.7641315627843
18,0,64,100000,corr,5,MAFN,relu,8,-16,0,None,-1,0.0403088902494739,0.0123256874368863,0.0015840260871187,0.0068343888804811,0.0305118866222302,0.0305118866222302,1.402601100017493,256-256-256,512,1000,190,474.6406558919698
19,0,64,100000,corr,10,MAFN,relu,8,-16,0,None,-1,0.1749511885548194,0.1217982141845677,0.0213787347356011,0.0600307236486852,0.0158434057350528,0.0158434057350528,0.7213174404402938,128-128-128,512,1000,324,1350.491978371516
